"Feature","Weight"
"CYTB",-0.616957604885101
"HV353",0.616154432296753
"HV5X1",-0.604553699493408
"AMPL",-0.598324060440063
"IGHG2",0.593822777271271
"LV746",0.586524665355682
"HV372",0.482365101575851
"GSTM1",0.467306584119797
"LV743",0.460296213626862
"HV601",0.455079674720764
"HV374",0.437832057476044
"ISG15",-0.409934818744659
"TM272",0.400868624448776
"LV545",0.392818421125412
"HV108",0.391888707876205
"HV316",0.384749263525009
"LV218",0.378691762685776
"RLA0",-0.374865353107452
"HBG1",0.37473475933075
"LV211",0.374715149402618
