"","Total_Rows","Phospho_Rows","Percent_Phospho_Rows","Total_Abundance","Phospho_Abundance","Percent_Phospho_Abundance"
"[1] ID108129_02_SPD60_OA10036_6010_100223.htrms.EG.TotalQuantity (Settings)",6182,2603,42.11,183289722.841697,70029695.3687861,38.21
"[2] ID108129_03_SPD60_OA10036_6010_100223.htrms.EG.TotalQuantity (Settings)",6195,2612,42.16,175944406.841669,60518516.8890686,34.4
"[3] ID108129_04_SPD60_OA10036_6010_100223.htrms.EG.TotalQuantity (Settings)",6164,2598,42.15,176736543.951117,54550229.4596072,30.87
