PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	PG.ProteinNames	[1] ID106583_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[2] ID106559_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[3] ID106567_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[4] ID106555_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[5] ID106579_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[6] ID106563_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[7] ID106571_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[8] ID106584_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[9] ID106560_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[10] ID106568_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[11] ID106556_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[12] ID106580_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[13] ID106564_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[14] ID106572_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[15] ID106585_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[16] ID106561_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[17] ID106569_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[18] ID106557_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[19] ID106581_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[20] ID106565_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[21] ID106573_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[22] ID106586_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[23] ID106562_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[24] ID106570_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[25] ID106558_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[26] ID106582_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[27] ID106566_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[28] ID106574_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[29] IDSPQC_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[30] IDSPQC_02_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[31] IDSPQC_03_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[1] ID106583_01_MA10140C_6010_080323.htrms.PG.Quantity	[2] ID106559_01_MA10140C_6010_080323.htrms.PG.Quantity	[3] ID106567_01_MA10140C_6010_080323.htrms.PG.Quantity	[4] ID106555_01_MA10140C_6010_080323.htrms.PG.Quantity	[5] ID106579_01_MA10140C_6010_080323.htrms.PG.Quantity	[6] ID106563_01_MA10140C_6010_080323.htrms.PG.Quantity	[7] ID106571_01_MA10140C_6010_080323.htrms.PG.Quantity	[8] ID106584_01_MA10140C_6010_080323.htrms.PG.Quantity	[9] ID106560_01_MA10140C_6010_080323.htrms.PG.Quantity	[10] ID106568_01_MA10140C_6010_080323.htrms.PG.Quantity	[11] ID106556_01_MA10140C_6010_080323.htrms.PG.Quantity	[12] ID106580_01_MA10140C_6010_080323.htrms.PG.Quantity	[13] ID106564_01_MA10140C_6010_080323.htrms.PG.Quantity	[14] ID106572_01_MA10140C_6010_080323.htrms.PG.Quantity	[15] ID106585_01_MA10140C_6010_080323.htrms.PG.Quantity	[16] ID106561_01_MA10140C_6010_080323.htrms.PG.Quantity	[17] ID106569_01_MA10140C_6010_080323.htrms.PG.Quantity	[18] ID106557_01_MA10140C_6010_080323.htrms.PG.Quantity	[19] ID106581_01_MA10140C_6010_080323.htrms.PG.Quantity	[20] ID106565_01_MA10140C_6010_080323.htrms.PG.Quantity	[21] ID106573_01_MA10140C_6010_080323.htrms.PG.Quantity	[22] ID106586_01_MA10140C_6010_080323.htrms.PG.Quantity	[23] ID106562_01_MA10140C_6010_080323.htrms.PG.Quantity	[24] ID106570_01_MA10140C_6010_080323.htrms.PG.Quantity	[25] ID106558_01_MA10140C_6010_080323.htrms.PG.Quantity	[26] ID106582_01_MA10140C_6010_080323.htrms.PG.Quantity	[27] ID106566_01_MA10140C_6010_080323.htrms.PG.Quantity	[28] ID106574_01_MA10140C_6010_080323.htrms.PG.Quantity	[29] IDSPQC_01_MA10140C_6010_080323.htrms.PG.Quantity	[30] IDSPQC_02_MA10140C_6010_080323.htrms.PG.Quantity	[31] IDSPQC_03_MA10140C_6010_080323.htrms.PG.Quantity
A0A075B6H7	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	A0A075B6H7	KV37_HUMAN	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	2	2	2	2	2	1	1	1	2	1	1	1	2	2	2	46359.24609375	42115.93359375	38444.41015625	41992.32421875	41662.44921875	43536.33203125	50538.953125	73314.1796875	69890.3984375	58321.11328125	52655.37109375	68601.6953125	60439.8359375	65890.484375	119028.5546875	114700.84375	122663.2265625	106732.5703125	109032.3515625	121272.71875	107546.1875	94515.453125	118974.046875	95775.984375	89431.8828125	96130.28125	90576.4296875	99119.6875	82066.5703125	82258.0625	69343.7265625
A0A075B6H8	IGKV1D-42	Probable non-functional immunoglobulin kappa variable 1D-42	A0A075B6H8	KVD42_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43625.84375	41899.12109375	42981.625	38390.265625	46301.6484375	43597.65234375	42658.375	72574.3671875	77890.9765625	88301.890625	89246.6640625	86298.53125	88593.9296875	85818.3046875	120690.8359375	116462.125	111852.21875	121624.7890625	118999.03125	123925.3671875	123242.625	99757.875	84128.0625	108761.3125	100523.9765625	109337.671875	107894.4375	108184.96875	88345.1328125	89476.234375	85840.3984375
A0A075B6H9	IGLV4-69	Immunoglobulin lambda variable 4-69	A0A075B6H9	LV469_HUMAN	3	4	4	3	3	3	3	4	4	4	4	4	4	4	3	3	3	4	3	3	3	4	4	2	3	4	4	4	4	4	3	62843.48828125	66652.671875	49608.6328125	62429.37109375	61286.984375	62758.1171875	60800.71875	64157.3125	79023.6171875	100626.5625	77274.1484375	72533.5625	72472.2578125	78849.578125	48693.27734375	52146.8359375	52324.7265625	42472.66796875	56538.6640625	41233.94140625	54476.04296875	63490.75	67550.859375	66511.1484375	64971.26953125	49905.88671875	59701.00390625	65034.12109375	65199.5078125	64586.2265625	57334.13671875
A0A075B6I0	IGLV8-61	Immunoglobulin lambda variable 8-61	A0A075B6I0	LV861_HUMAN	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	67327.8515625	62958.46484375	71119.359375	73893.203125	64745.53125	66904.859375	65042.17578125	203000.46875	198949.171875	190953.46875	175774.375	204472.265625	179305.9375	183897.84375	172618.09375	169666.453125	165630	165946.859375	165951.21875	170947.234375	162512.4375	108457.03125	126983.796875	102973.1796875	102237.25	106508.828125	98973.7890625	110623.125	137550.515625	134543.921875	135644.1875
A0A075B6I1	IGLV4-60	Immunoglobulin lambda variable 4-60	A0A075B6I1	LV460_HUMAN	2	2	2	2	2	2	2	1	2	2	1	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4407.01806640625	6039.34765625	4291.48193359375	1105.2945556640625	5848.060546875	5830.9619140625	6765.02001953125	1136.0302734375	243.78614807128906	250.08892822265625	22.43195915222168	NaN	1267.5179443359375	1379.8460693359375	13590.7041015625	14499.6923828125	10745.8525390625	13997.2783203125	15378.5859375	15171.7958984375	15023.22265625	15669.900390625	11985.3203125	8706.576171875	13444.9716796875	14275.2890625	14573.625	12965.8583984375	8013.85107421875	9979.24609375	7846.125
A0A075B6I4	IGLV10-54	Immunoglobulin lambda variable 10-54	A0A075B6I4	LVX54_HUMAN	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	3	4	4	4	3	4	4	4	4	4	4	37051.484375	43876.75390625	45180.9375	40279.90625	45123.65234375	43405.60546875	41014.18359375	24078.310546875	25787.7109375	23215.498046875	25461.23828125	22119.0859375	25285.095703125	25640.349609375	32897.65625	28100.54296875	27340.34765625	32468.59375	28440.244140625	28525.603515625	30143.19921875	26047.779296875	21793.03515625	25134.376953125	17301.611328125	18585.876953125	18088.41015625	16874.087890625	28269.40234375	32350.41015625	36417.28125
A0A075B6I9	IGLV7-46	Immunoglobulin lambda variable 7-46	A0A075B6I9	LV746_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28999.658203125	28393.41796875	32710.271484375	28115.04296875	26410.869140625	26144.728515625	29504.4453125	50748.50390625	49877.3359375	51384.23046875	52766.53125	50744.3046875	51778.546875	46672.875	63622.2109375	60391.96875	59062.7421875	63967.73046875	61433.0234375	56402.1875	58996.109375	53354.265625	55350.4140625	56344.74609375	53511.07421875	56590.0546875	54039.85546875	53178.34375	52479.6796875	48344.86328125	46949.25
A0A075B6J9	IGLV2-18	Immunoglobulin lambda variable 2-18	A0A075B6J9	LV218_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	55492.12109375	58328.2265625	58044.15234375	54439.00390625	56434.52734375	55996.3984375	53564.66015625	74053.234375	75261.8046875	76285.03125	77503.875	81080.34375	71720.5625	74661.453125	118871.4140625	115539.0078125	115857.3984375	117300.359375	119002.515625	116780.125	119180.6171875	100934.390625	110885.2109375	107296.265625	97582.28125	105167.0703125	100451.890625	105007.28125	93136.640625	87644.1015625	92110.140625
A0A075B6K4	IGLV3-10	Immunoglobulin lambda variable 3-10	A0A075B6K4	LV310_HUMAN	3	2	2	2	2	2	2	3	3	3	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	3	27394.017578125	27164.79296875	28650.853515625	31725.697265625	28899.044921875	33475.80859375	28033.369140625	41196.85546875	44444.3125	38331.921875	40344.6640625	42841.53515625	42783.5625	41763.91015625	28855.5703125	24617.423828125	27896.44921875	24282.025390625	22821.0703125	23190.080078125	23696.01171875	60633.3671875	62876.046875	68303.84375	67827.921875	65317.61328125	58596.21484375	62839.7734375	40507.64453125	42354.42578125	37168.1640625
A0A075B6K5	IGLV3-9	Immunoglobulin lambda variable 3-9	A0A075B6K5	LV39_HUMAN	7	7	5	8	9	7	7	11	10	10	11	10	9	11	9	10	9	9	9	10	10	11	10	11	11	11	11	11	11	10	10	119183.4765625	114473.9453125	115369.8984375	110446.6484375	113165.8671875	116356.3203125	106208.7265625	255681.734375	290232.78125	254459.671875	250175.890625	289827.21875	260452.84375	255797.15625	373839.5	361057.75	375605.71875	387308.5	378825.625	359234.0625	363830.46875	280573.0625	272670.59375	311877.875	289923.1875	286408.8125	249144.84375	271851.53125	257676.8125	263396.65625	260151.28125
A0A075B6P5;P01615	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28	A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	7	8	7	8	7	7	7	9	9	9	9	9	9	9	8	8	8	8	8	7	9	9	9	9	9	9	9	9	9	9	9	109508.671875	108441.6015625	116461.890625	108730.9453125	113557.3515625	108935.3359375	111855.2578125	170429.734375	167506.359375	165543.609375	143637.3125	172312.953125	134493.953125	143286.84375	171734.6875	163734.390625	180943.5625	159427.9375	141199.96875	146549.6875	157615.203125	161675.28125	259786.890625	144534.671875	163499.6875	154880.8125	153916.515625	152578.3125	144686.09375	149974.890625	150523.3125
A0A075B6Q5	IGHV3-64	Immunoglobulin heavy variable 3-64	A0A075B6Q5	HV364_HUMAN	2	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	2	3	2	3	2	3	3	2	3	2	3	21318.71875	16373.162109375	14970.0146484375	14346.6884765625	27576.634765625	12969.0595703125	20875.310546875	22059.669921875	13713.703125	17986.841796875	26432.736328125	25450.087890625	23183.521484375	20078.287109375	24428.958984375	21825.6796875	28036.87890625	26078.3828125	21892.49609375	31750.822265625	22216.7421875	34673.33984375	27994.427734375	24929.66796875	33736.5390625	33577.39453125	21412.650390625	37807.6171875	21948.259765625	22378.12109375	20909.19140625
A0A075B6R2	IGHV4-4	Immunoglobulin heavy variable 4-4	A0A075B6R2	HV404_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18038.220703125	17267.888671875	14790.6650390625	17974.087890625	14759.978515625	20670.416015625	17296.244140625	21288.189453125	22310.044921875	21708.291015625	21546.037109375	28518.279296875	24185.935546875	32316.00390625	16365.9931640625	18547.9140625	16050.5517578125	18514.52734375	16859.025390625	12080.9677734375	16425.07421875	26099.658203125	16755.103515625	21076.341796875	26068.8046875	23605.28515625	24871.95703125	23762.1171875	19063.546875	17596.958984375	21904.3515625
A0A075B6R9;A0A0C4DH68	IGKV2D-24;IGKV2-24	Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24	A0A075B6R9;A0A0C4DH68	KVD24_HUMAN;KV224_HUMAN	6	6	6	6	6	6	6	9	8	9	9	9	8	8	7	7	8	8	8	8	8	7	7	8	6	7	6	8	7	8	7	27385.0390625	27520.861328125	22420.884765625	23183.021484375	22458.4296875	26960.3828125	21932.640625	83202.6953125	78795.78125	74803.7109375	69512.0078125	79470.734375	73749.2265625	81225.4609375	58477.78125	52048.203125	57392.9921875	61088.83984375	56982.47265625	57987.68359375	55211.15625	41982.01171875	56573.84765625	53735.4609375	52662.69140625	53422.484375	52453.10546875	53605.1640625	52111.91015625	52040.27734375	53874.9921875
A0A075B6S5	IGKV1-27	Immunoglobulin kappa variable 1-27	A0A075B6S5	KV127_HUMAN	16	16	17	17	17	17	15	16	17	16	15	16	14	16	16	16	16	17	16	16	16	16	16	16	16	17	16	16	17	17	17	755731.4375	711968.3125	708097.5625	682346.1875	763215.875	839444.5625	721216.8125	1600714.75	1750976.25	1659686.375	1751647.25	1929072	1675484.875	1858914.5	2020376.125	1989981.375	2003661.875	2048173	1999158.75	2101362.75	2290742	1927265.5	1775709.25	2027216.75	1952139.5	2157623.25	1970336.5	2074996.375	1718711.625	1671084.75	1725654.875
A0A075B6S6;P06310	IGKV2D-30;IGKV2-30	Immunoglobulin kappa variable 2D-30;Immunoglobulin kappa variable 2-30	A0A075B6S6;P06310	KVD30_HUMAN;KV230_HUMAN	6	7	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	46785.921875	58710.80078125	61289.265625	57423.109375	59786.6640625	58910.3671875	59633.98046875	102222.09375	112790.2421875	99902.9453125	90699.8203125	104849.3125	91140.1953125	93678.4375	91762.203125	85294.5625	92329.9375	90496.984375	80882.25	83986.21875	94800.234375	68615.5234375	79646.9453125	66529.8671875	71696.2265625	71245.4921875	60950.8984375	69076.28125	78461.9453125	85289.9609375	82488.5859375
A0A075B6S9;P0DSN7	IGKV1-37;IGKV1D-37	Probable non-functional immunoglobulinn kappa variable 1-37;Probable non-functional immunoglobulinn kappa variable 1D-37	A0A075B6S9;P0DSN7	KV137_HUMAN;KVD37_HUMAN	2	3	3	3	3	3	3	3	3	2	2	3	3	3	2	2	3	3	2	3	2	3	3	3	3	2	3	3	3	3	3	70302.8671875	69971.921875	77232.2421875	75534.5546875	73888.828125	67880.78125	75276.2578125	208309.1875	209087.15625	223199.140625	217627.90625	207304.6875	214535.8125	197025.234375	239617.671875	241434.359375	209756.484375	192846.890625	241329.65625	209867.828125	235118.8125	155855.0625	155195.203125	160654.78125	155125.296875	165422.046875	161261.765625	164062.6875	170042.8125	174628.421875	169123.984375
A0A087WSX0	IGLV5-45	Immunoglobulin lambda variable 5-45	A0A087WSX0	LV545_HUMAN	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	8104.70751953125	10053.1298828125	5883.5009765625	5373.21630859375	14603.2763671875	9199.890625	8397.462890625	19735.591796875	19102.10546875	15597.4873046875	14400.6064453125	19716.79296875	18066.353515625	18398.72265625	6392.919921875	9572.890625	6049.6826171875	8487.3603515625	7527.021484375	9748.6279296875	7668.2451171875	15207.798828125	10989.876953125	12887.8251953125	12371.9033203125	13695.1884765625	9703.2861328125	12140.7109375	13676.66796875	13006.208984375	10570.298828125
A0A087WSY6	IGKV3D-15	Immunoglobulin kappa variable 3D-15	A0A087WSY6	KVD15_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	70016.078125	74659.1640625	71293.203125	87145.0078125	95039.9921875	82017.0859375	101278.796875	102533.3125	103586.140625	80742.8984375	71511.25	100111.2890625	87722.9453125	90143.0703125	103822.6484375	95795.4375	70081.8203125	106878.8125	79161.5234375	81962.96875	93272.5625	90195.53125	78537.1875	98159.9296875	119264.84375	94467.53125	112332.1875	105538.2265625	81916.109375	89192.375	91967.3125
A0A087WW87;P01614	IGKV2-40;IGKV2D-40	Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40	A0A087WW87;P01614	KV240_HUMAN;KVD40_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6974.974609375	10003.29296875	9664.2041015625	7414.466796875	8241.6591796875	12104.51171875	10246.92578125	25368.4921875	23966.931640625	29805.625	24240.125	26277.703125	27544.873046875	29913.69140625	37027.4609375	38776.81640625	36729.9765625	39274.7578125	37070.3046875	34332.94140625	31788.501953125	19123.322265625	16118.8291015625	20237.779296875	17442.083984375	21535.615234375	18618.314453125	17069.373046875	25232.59765625	21359.421875	26540.154296875
A0A0A0MRZ8;P04433	IGKV3D-11;IGKV3-11	Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11	A0A0A0MRZ8;P04433	KVD11_HUMAN;KV311_HUMAN	19	20	18	19	19	17	17	20	20	20	20	20	20	20	20	20	20	20	19	20	20	20	20	20	20	20	20	20	20	20	20	591535.0625	562421.375	602889.125	578266.4375	559065.75	616501.625	615842.375	1075160.625	1145610.375	1049256.5	991558.25	1110622.375	1025493.4375	1072461.25	1558940.875	1505227.75	1570287.25	1512020	1573137.375	1587170.375	1534399.375	1270611.875	1271004.625	1258661.375	1221128.75	1278534.75	1214143.625	1294827.875	1143055.5	1168214.75	1167952.875
A0A0A0MS14	IGHV1-45	Immunoglobulin heavy variable 1-45	A0A0A0MS14	HV145_HUMAN	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9092.0810546875	10681.02734375	9857.6318359375	9169.5	9796.0673828125	12704.775390625	12882.0146484375	33766.71875	35374.55859375	35265.43359375	36782.9140625	36559.609375	38267.578125	36132.5546875	27940.892578125	33522.98828125	32413.51171875	32331.412109375	34017.52734375	33116.01171875	30776.232421875	15742.927734375	14390.3876953125	12717.7626953125	10516.587890625	17982.482421875	14972.9365234375	13729.380859375	26324.69140625	22669.78125	25395.533203125
A0A0A0MS15	IGHV3-49	Immunoglobulin heavy variable 3-49	A0A0A0MS15	HV349_HUMAN	2	2	3	2	3	3	2	2	2	2	3	3	2	2	3	3	3	3	3	3	2	3	2	3	3	3	3	2	3	2	2	48262.23828125	49176.36328125	51364.17578125	54793.14453125	51094.4296875	53076.375	52486.1796875	107934.6015625	100809.5859375	101288.9453125	96519.6875	104825.4453125	105749.6484375	110608.2578125	93738.734375	94181.9609375	88217.390625	96643.5703125	93689.453125	94055.140625	86899.8671875	110151.78125	91821.421875	116758.6171875	110880.84375	117645.8359375	115247.3203125	121590.1328125	93334.25	89770.15625	91830.9375
A0A0A0MT36	IGKV6D-21	Immunoglobulin kappa variable 6D-21	A0A0A0MT36	KVD21_HUMAN	3	3	3	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	9874.228515625	11062.123046875	16234.7041015625	13798.9423828125	9464.3056640625	15403.8896484375	11482.4072265625	34372.515625	28787.38671875	28373.42578125	33200.171875	37592.37109375	33339.22265625	38069.953125	36352.2890625	29590.2734375	28358.75390625	27077.810546875	25288.255859375	28815.998046875	36760.6171875	35673.64453125	56065.7421875	58413.14453125	51188.7109375	46238.671875	54008.67578125	55879.8828125	32853.78125	36919.75	21990.150390625
A0A0A0MT89	IGKJ1	Immunoglobulin kappa joining 1	A0A0A0MT89	KJ01_HUMAN	4	3	3	3	3	3	4	4	4	4	4	4	3	4	4	4	4	3	4	3	3	4	4	4	3	3	4	4	4	4	4	38975.14453125	37366.64453125	35857.30078125	40882.47265625	44079.0078125	37021.01171875	45828.9453125	67940.3984375	72777.796875	62744.6015625	60569.828125	72091.8828125	63449.4609375	70862.125	57361.75390625	55321.29296875	65966.75	66322.6484375	62936.87890625	62472.40234375	59670.37890625	77244.1171875	76812.90625	74785.3515625	74818.984375	76808.1796875	76320.3359375	77046.8046875	63199.6171875	66375.2421875	58991.421875
A0A0B4J1U3	IGLV1-36	Immunoglobulin lambda variable 1-36	A0A0B4J1U3	LV136_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17038.634765625	15369.98828125	14986.1962890625	15885.2978515625	15169.037109375	14983.197265625	18422.7890625	32466.279296875	34824.1328125	35838.55859375	33156.97265625	33276.13671875	30636.46484375	34286.94140625	54202.25	57509.3046875	53771.4609375	53528.07421875	53165.09765625	51507.28515625	56920.015625	29788.986328125	25481.08203125	29712.7109375	25213.6015625	27922.119140625	28985.2265625	27879.1875	37442.01953125	35785.0390625	34454.36328125
A0A0B4J1U7	IGHV6-1	Immunoglobulin heavy variable 6-1	A0A0B4J1U7	HV601_HUMAN	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	60326.2890625	60143.0625	66388.4296875	60490.71484375	61107.09375	58672.98046875	62646.734375	93757.765625	90156.1171875	103005.8125	100564.5	109277.15625	94425.171875	92428.8671875	91114.109375	86776.9609375	87219.125	90441	88204.3359375	92902.359375	89309.828125	100510.9296875	90593.1953125	102738.8984375	97196.921875	105726.8515625	101184.3359375	105977.4765625	86428.671875	83681.6875	98249.5078125
A0A0B4J1V0	IGHV3-15	Immunoglobulin heavy variable 3-15	A0A0B4J1V0	HV315_HUMAN	7	6	7	6	7	5	7	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	48644.1953125	49526.0546875	47975.09765625	42527.69921875	51609.5859375	47685.46875	46014.7890625	80061.953125	81371.7265625	83067.8671875	74811.2109375	81626.25	78933.3203125	81577.09375	116854.375	117272.1953125	110604.4453125	109111.890625	112296.5390625	108350.484375	114427.5703125	93692.0703125	92613.7578125	95386.21875	98829.828125	98717.3671875	96663.2890625	98585.2890625	86538.78125	83260.3515625	86515.40625
A0A0B4J1V1	IGHV3-21	Immunoglobulin heavy variable 3-21	A0A0B4J1V1	HV321_HUMAN	10	13	11	12	13	12	11	14	14	13	14	14	13	13	15	15	15	15	15	14	15	14	14	14	15	15	15	15	14	15	15	402864.21875	391637.28125	365494.53125	411482.15625	410101.5	444509.875	402808.1875	733813.75	762630.25	806635.5	732448.9375	789913.25	758971.375	745910	780379.375	804241.625	748312.5625	822266.1875	838396.9375	827297.625	793568.4375	784242.625	739410.25	811307.9375	747870.4375	843609.375	777399.5	791477.625	728123.125	697024	679877.3125
A0A0B4J1V2	IGHV2-26	Immunoglobulin heavy variable 2-26	A0A0B4J1V2	HV226_HUMAN	1	3	1	1	1	2	1	1	2	2	1	2	1	3	1	1	2	1	1	1	1	2	1	1	2	2	1	1	2	2	3	45205.703125	64356.84765625	42140.56640625	42914.53515625	40011.9921875	44717.015625	42514.04296875	62069.58984375	66503.484375	73101.9453125	53238.6171875	63830.14453125	58200.140625	59972.58203125	55884.14453125	63402.38671875	54222.73828125	63169.39453125	64222.98046875	64276.84375	63452.02734375	43161.7421875	52639.8515625	62099.2578125	45274.34375	91686.7578125	58906.44140625	60937.49609375	44022.93359375	42160.83203125	64331.2734375
A0A0B4J1V6	IGHV3-73	Immunoglobulin heavy variable 3-73	A0A0B4J1V6	HV373_HUMAN	3	3	3	3	3	3	3	5	5	5	4	5	5	5	4	4	4	5	5	4	5	5	5	5	5	5	5	5	5	5	4	72193.6171875	75192.9765625	74609.5	76284.421875	72524.3828125	76818.1328125	73827.84375	213436.59375	209789.765625	224937.890625	217015.203125	227989.6875	210631.40625	213160.015625	173504.171875	176444.03125	170389.296875	175415.859375	170397.46875	174077.71875	171591.75	152757.578125	143233.875	148932.28125	150904.515625	164377.546875	152181.203125	153488.28125	156125.546875	151143.28125	153852.328125
A0A0B4J1X5	IGHV3-74	Immunoglobulin heavy variable 3-74	A0A0B4J1X5	HV374_HUMAN	5	4	5	3	4	5	3	6	6	5	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	22403.6328125	25835.396484375	24818.802734375	26054.689453125	23630.1796875	24207.208984375	23948.572265625	42944.59375	42749.99609375	43369.01953125	40088.69921875	52008.45703125	40845.56640625	43102.26171875	71548.9140625	67407.6484375	64985.20703125	68321.0078125	64196.7109375	71409.1328125	71069.0625	56737.7890625	52668.1171875	56891.84375	56720.98828125	59669.3515625	53470.1484375	60974.10546875	50121.62109375	52510.56640625	52863.1796875
A0A0B4J1X8	IGHV3-43	Immunoglobulin heavy variable 3-43	A0A0B4J1X8	HV343_HUMAN	2	3	3	1	3	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	2	3	3	3	3	11885.9296875	8961.044921875	12724.828125	9607.2529296875	11532.7421875	12401.103515625	10786.6982421875	18736.568359375	20438.67578125	22715.771484375	31056.556640625	19996.123046875	23392.482421875	20366.59765625	31343.576171875	28675.74609375	26336.162109375	26622.150390625	25558.939453125	25822.2265625	24281.5625	17476.826171875	16089.3798828125	13450.3603515625	18855.41796875	23574.4453125	15694.361328125	17594.078125	19680.310546875	17455.857421875	20596.751953125
A0A0B4J1Y8	IGLV9-49	Immunoglobulin lambda variable 9-49	A0A0B4J1Y8	LV949_HUMAN	4	4	3	3	3	3	4	2	2	0	2	1	2	2	4	4	4	4	4	4	4	4	3	4	3	4	4	4	4	4	3	16748.361328125	16600.2421875	17588.462890625	16317.2939453125	18426.724609375	19875.369140625	16511.66796875	8839.6171875	5392.91064453125	NaN	4063.427978515625	3249.75	3740.59375	6911.1455078125	54854.8359375	52391.44921875	52320.91015625	48105.734375	58182.484375	56286.4453125	55183.5625	31330.091796875	26892.212890625	36996.3671875	33083.36328125	32655.43359375	32965.9609375	33746.828125	31234.578125	27131.43359375	28349.587890625
