PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	PG.ProteinNames	[1] ID106583_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[2] ID106559_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[3] ID106567_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[4] ID106555_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[5] ID106579_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[6] ID106563_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[7] ID106571_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[8] ID106584_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[9] ID106560_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[10] ID106568_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[11] ID106556_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[12] ID106580_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[13] ID106564_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[14] ID106572_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[15] ID106585_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[16] ID106561_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[17] ID106569_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[18] ID106557_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[19] ID106581_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[20] ID106565_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[21] ID106573_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[22] ID106586_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[23] ID106562_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[24] ID106570_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[25] ID106558_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[26] ID106582_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[27] ID106566_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[28] ID106574_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[29] IDSPQC_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[30] IDSPQC_02_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[31] IDSPQC_03_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[1] ID106583_01_MA10140C_6010_080323.htrms.PG.Quantity	[2] ID106559_01_MA10140C_6010_080323.htrms.PG.Quantity	[3] ID106567_01_MA10140C_6010_080323.htrms.PG.Quantity	[4] ID106555_01_MA10140C_6010_080323.htrms.PG.Quantity	[5] ID106579_01_MA10140C_6010_080323.htrms.PG.Quantity	[6] ID106563_01_MA10140C_6010_080323.htrms.PG.Quantity	[7] ID106571_01_MA10140C_6010_080323.htrms.PG.Quantity	[8] ID106584_01_MA10140C_6010_080323.htrms.PG.Quantity	[9] ID106560_01_MA10140C_6010_080323.htrms.PG.Quantity	[10] ID106568_01_MA10140C_6010_080323.htrms.PG.Quantity	[11] ID106556_01_MA10140C_6010_080323.htrms.PG.Quantity	[12] ID106580_01_MA10140C_6010_080323.htrms.PG.Quantity	[13] ID106564_01_MA10140C_6010_080323.htrms.PG.Quantity	[14] ID106572_01_MA10140C_6010_080323.htrms.PG.Quantity	[15] ID106585_01_MA10140C_6010_080323.htrms.PG.Quantity	[16] ID106561_01_MA10140C_6010_080323.htrms.PG.Quantity	[17] ID106569_01_MA10140C_6010_080323.htrms.PG.Quantity	[18] ID106557_01_MA10140C_6010_080323.htrms.PG.Quantity	[19] ID106581_01_MA10140C_6010_080323.htrms.PG.Quantity	[20] ID106565_01_MA10140C_6010_080323.htrms.PG.Quantity	[21] ID106573_01_MA10140C_6010_080323.htrms.PG.Quantity	[22] ID106586_01_MA10140C_6010_080323.htrms.PG.Quantity	[23] ID106562_01_MA10140C_6010_080323.htrms.PG.Quantity	[24] ID106570_01_MA10140C_6010_080323.htrms.PG.Quantity	[25] ID106558_01_MA10140C_6010_080323.htrms.PG.Quantity	[26] ID106582_01_MA10140C_6010_080323.htrms.PG.Quantity	[27] ID106566_01_MA10140C_6010_080323.htrms.PG.Quantity	[28] ID106574_01_MA10140C_6010_080323.htrms.PG.Quantity	[29] IDSPQC_01_MA10140C_6010_080323.htrms.PG.Quantity	[30] IDSPQC_02_MA10140C_6010_080323.htrms.PG.Quantity	[31] IDSPQC_03_MA10140C_6010_080323.htrms.PG.Quantity
O75347	TBCA	Tubulin-specific chaperone A	O75347	TBCA_HUMAN	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	14	14	14	13	14	14	14	89637.4921875	95882.59375	100051.859375	96382.265625	93142.1875	92919.109375	93829.4296875	75560.3125	74726.609375	74057.0625	72243.4453125	73592.8203125	76618.8125	71866.7890625	77900.734375	82478.3203125	83180.375	81852.1953125	83457.5078125	79369.21875	80505.7265625	72702.4765625	85674.3984375	74118.515625	76496.2265625	77843.3203125	77642.5	75220.515625	79259.7734375	85104.09375	85070.546875
O75348	ATP6V1G1	V-type proton ATPase subunit G 1	O75348	VATG1_HUMAN	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	16900	21197.60546875	22014.8359375	20245.083984375	20454.439453125	22701.8203125	21044.65625	19939.2734375	18791.56640625	16816.478515625	13114.771484375	18645.056640625	15780.1416015625	18576.689453125	19893.232421875	20689.1640625	19540.896484375	20745.9375	19409.056640625	18481.568359375	21631.75	14648.919921875	21405.587890625	19162.9296875	18270.478515625	16657.33984375	19324.458984375	15067.6376953125	18543.435546875	21884.642578125	20062.322265625
O75368	SH3BGRL	Adapter SH3BGRL	O75368	SH3L1_HUMAN	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	246446.34375	236610.859375	247897.4375	251985.640625	240880.9375	237411.625	236594.0625	202595.96875	194444.046875	199695.78125	197163.6875	196611.453125	198077.3125	196731.15625	198067.65625	202371.859375	200291.21875	187689.5	191783.53125	192228.515625	198945.453125	211063.734375	237826.59375	208704	221051.21875	217156.390625	221012.265625	210431.453125	212283.046875	208325.75	213829.375
O75396	SEC22B	Vesicle-trafficking protein SEC22b	O75396	SC22B_HUMAN	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	13350.216796875	14646.9384765625	15033.9091796875	14702.6279296875	14342.5166015625	14577.302734375	11982.3388671875	15220.232421875	17485.505859375	17518.58203125	16237.4169921875	13957.544921875	16845.1640625	16500.107421875	10652.2529296875	11492.7216796875	12559.6865234375	11246.28515625	12706.8896484375	11773.2119140625	12479.7744140625	14166.064453125	16336.21875	13828.45703125	13821.83203125	14684.20703125	12838.205078125	13285.62109375	13248.986328125	14177.2685546875	11966.0908203125
O75531	BANF1	Barrier-to-autointegration factor	O75531	BAF_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12012.2587890625	17197.11328125	15419.8798828125	16473.25	19713.06640625	15862.4189453125	11895.5498046875	12468.0185546875	11798.216796875	17158.0078125	12255.693359375	12959.7421875	16964.263671875	6283.56103515625	21298.140625	12767.2919921875	16683.8671875	9323.0673828125	15454.76953125	16238.9345703125	19940.080078125	13375.6435546875	14303.8095703125	13189.41796875	11151.072265625	12774.5625	15199.607421875	16418.677734375	13839.8916015625	13153.990234375	12667.1552734375
O75558	STX11	Syntaxin-11	O75558	STX11_HUMAN	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3589.71923828125	4885.6357421875	4782.86572265625	3589.631591796875	3270.194091796875	3324.1533203125	4475.126953125	7249.49853515625	6811.783203125	7560.18505859375	7140.8193359375	6528.533203125	6901.716796875	6754.9052734375	8022.82470703125	8010.98974609375	6516.21826171875	7534.625	7046.935546875	6062.0849609375	6970.42919921875	6286.4482421875	6352.57666015625	6816.86572265625	7083.98046875	6503.2685546875	7339.8583984375	7722.49072265625	7636.28759765625	7380.8994140625	5941.2880859375
O75636	FCN3	Ficolin-3	O75636	FCN3_HUMAN	9	9	9	8	8	9	8	10	10	10	10	10	9	10	9	10	9	10	9	10	10	10	8	10	10	9	9	9	10	10	10	51417.3125	55172.7890625	53979.25390625	54265.640625	53849.54296875	57436.4140625	52929.1796875	60387.94921875	54630.81640625	63412.390625	61631.96875	67084.078125	64325.45703125	59713.58203125	65900.3046875	67460.1328125	66076.609375	68171.4375	73180.75	73665.0859375	73787.3125	66294.859375	55350.06640625	61847.09765625	67567.734375	63773.12109375	63912.34375	66864.8671875	58843.9453125	58839.26953125	58728.89453125
O75663	TIPRL	TIP41-like protein	O75663	TIPRL_HUMAN	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	16694.83203125	14025.1728515625	13691.837890625	14645.388671875	13739.994140625	12966.111328125	15525.048828125	8148.5517578125	11285.203125	11802.8486328125	11050.1611328125	9520.0830078125	11656.998046875	10887.19140625	6450.15234375	7728.73095703125	7668.26953125	8074.1953125	8457.486328125	7717.5654296875	8306.1435546875	10611.078125	10015.5947265625	10865.2578125	10108.1640625	10129.501953125	10373.9970703125	12241.7890625	10983.64453125	11802.1748046875	10912.47265625
O75688	PPM1B	Protein phosphatase 1B	O75688	PPM1B_HUMAN	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	5724.3779296875	5735.89501953125	4036.31201171875	5370.0849609375	5235.828125	5738.11328125	6045.552734375	4026.454833984375	2778.30029296875	4338.0771484375	5027.73779296875	4501.82958984375	5547.20849609375	6674.953125	6138.7958984375	6039.41943359375	5208.92626953125	5779.10107421875	7009.4599609375	6461.568359375	5976.45654296875	5286.1533203125	4745.1376953125	6291.142578125	5435.25390625	5400.85498046875	5964.24169921875	4262.6181640625	5902.61767578125	4974.25634765625	4692.37255859375
O75695	RP2	Protein XRP2	O75695	XRP2_HUMAN	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10815.9482421875	7577.1826171875	7105.64111328125	504.57952880859375	10028.41015625	9766.6484375	6262.24560546875	5669.82421875	5492.205078125	8612.4052734375	7835.36474609375	8211.1435546875	6649.5107421875	6677.49658203125	6015.92138671875	6018.107421875	5861.24560546875	7072.4111328125	7924.150390625	9270.6513671875	7923.75537109375	9469.5224609375	8978.484375	630.9710693359375	9611.8779296875	8288.21875	8097.36572265625	5897.7724609375	9232.509765625	5816.88232421875	5755.802734375
