PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	PG.ProteinNames	[1] ID106583_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[2] ID106559_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[3] ID106567_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[4] ID106555_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[5] ID106579_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[6] ID106563_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[7] ID106571_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[8] ID106584_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[9] ID106560_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[10] ID106568_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[11] ID106556_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[12] ID106580_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[13] ID106564_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[14] ID106572_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[15] ID106585_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[16] ID106561_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[17] ID106569_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[18] ID106557_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[19] ID106581_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[20] ID106565_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[21] ID106573_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[22] ID106586_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[23] ID106562_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[24] ID106570_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[25] ID106558_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[26] ID106582_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[27] ID106566_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[28] ID106574_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[29] IDSPQC_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[30] IDSPQC_02_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[31] IDSPQC_03_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[1] ID106583_01_MA10140C_6010_080323.htrms.PG.Quantity	[2] ID106559_01_MA10140C_6010_080323.htrms.PG.Quantity	[3] ID106567_01_MA10140C_6010_080323.htrms.PG.Quantity	[4] ID106555_01_MA10140C_6010_080323.htrms.PG.Quantity	[5] ID106579_01_MA10140C_6010_080323.htrms.PG.Quantity	[6] ID106563_01_MA10140C_6010_080323.htrms.PG.Quantity	[7] ID106571_01_MA10140C_6010_080323.htrms.PG.Quantity	[8] ID106584_01_MA10140C_6010_080323.htrms.PG.Quantity	[9] ID106560_01_MA10140C_6010_080323.htrms.PG.Quantity	[10] ID106568_01_MA10140C_6010_080323.htrms.PG.Quantity	[11] ID106556_01_MA10140C_6010_080323.htrms.PG.Quantity	[12] ID106580_01_MA10140C_6010_080323.htrms.PG.Quantity	[13] ID106564_01_MA10140C_6010_080323.htrms.PG.Quantity	[14] ID106572_01_MA10140C_6010_080323.htrms.PG.Quantity	[15] ID106585_01_MA10140C_6010_080323.htrms.PG.Quantity	[16] ID106561_01_MA10140C_6010_080323.htrms.PG.Quantity	[17] ID106569_01_MA10140C_6010_080323.htrms.PG.Quantity	[18] ID106557_01_MA10140C_6010_080323.htrms.PG.Quantity	[19] ID106581_01_MA10140C_6010_080323.htrms.PG.Quantity	[20] ID106565_01_MA10140C_6010_080323.htrms.PG.Quantity	[21] ID106573_01_MA10140C_6010_080323.htrms.PG.Quantity	[22] ID106586_01_MA10140C_6010_080323.htrms.PG.Quantity	[23] ID106562_01_MA10140C_6010_080323.htrms.PG.Quantity	[24] ID106570_01_MA10140C_6010_080323.htrms.PG.Quantity	[25] ID106558_01_MA10140C_6010_080323.htrms.PG.Quantity	[26] ID106582_01_MA10140C_6010_080323.htrms.PG.Quantity	[27] ID106566_01_MA10140C_6010_080323.htrms.PG.Quantity	[28] ID106574_01_MA10140C_6010_080323.htrms.PG.Quantity	[29] IDSPQC_01_MA10140C_6010_080323.htrms.PG.Quantity	[30] IDSPQC_02_MA10140C_6010_080323.htrms.PG.Quantity	[31] IDSPQC_03_MA10140C_6010_080323.htrms.PG.Quantity
P07437	TUBB	Tubulin beta chain	P07437	TBB5_HUMAN	7	6	6	6	6	7	6	6	7	6	7	6	7	7	6	6	6	6	6	6	6	6	6	7	6	7	6	7	6	6	6	58245.6875	63674.39453125	54838.859375	58732.5625	60874.53125	59669.453125	58885.6171875	80570.609375	81293.921875	89397.390625	85322.4375	79613.6640625	80669.8046875	79949.5	72466.671875	74838.5859375	73922.28125	78066.8671875	76822.3203125	75728.078125	70551.3515625	67176.0390625	73148.328125	72367.484375	66524.359375	69944.390625	72583.2421875	70243.1328125	70417.109375	65115.84765625	70023.9921875
P07451	CA3	Carbonic anhydrase 3	P07451	CAH3_HUMAN	29	29	29	29	29	29	28	28	30	28	30	30	30	29	32	31	31	32	31	30	31	30	30	29	30	31	29	29	29	30	31	241862.453125	237551.1875	229721.890625	234392.6875	235273.765625	231222.84375	235667.6875	240599.3125	239864.546875	225929.640625	228546.34375	241214.96875	238411.171875	242888.46875	353585.25	348976.5	360775.6875	350513	364671.09375	351541.125	363841.03125	242521.265625	231863.078125	241777.328125	232840.6875	238380.78125	227607.28125	246218.03125	271980.75	260451.25	253953.8125
P07737	PFN1	Profilin-1	P07737	PROF1_HUMAN	11	12	11	11	13	12	12	12	11	13	12	11	12	12	12	12	11	12	12	12	12	12	13	12	11	11	11	11	11	12	11	181066.953125	186308.265625	186286.53125	194199.859375	177282.625	185873.890625	189714.125	232668.0625	235400.546875	246014.234375	228409.09375	225422.5	226123.765625	224542.703125	227768.28125	234547.484375	231422.640625	235852.65625	226067.625	226944.078125	220373.65625	207532.453125	192480.546875	195151.65625	203478.21875	222590.96875	204324.28125	221970.796875	200733.734375	209078.5	207343.890625
P07738	BPGM	Bisphosphoglycerate mutase	P07738	PMGE_HUMAN	40	39	40	39	40	40	39	38	39	39	38	40	37	37	39	40	39	40	38	39	38	38	37	36	38	38	39	37	40	38	40	1348064.875	1359906.75	1330657.25	1337920.25	1313390.5	1351206.75	1329717	1065685.375	1081706.875	1048623.375	1010778.0625	1000236.9375	1027223.1875	1048278.625	1239441.25	1265208.625	1245692.75	1223412.25	1199042.875	1197976	1216076.5	1118966.5	1231795.75	1086652.125	1115589.5	1059324.75	1128380.5	1056699.625	1148986.25	1161920	1155699.375
P07741	APRT	Adenine phosphoribosyltransferase	P07741	APT_HUMAN	8	7	8	7	8	8	7	7	7	7	7	7	7	8	7	8	7	7	6	7	7	7	7	7	7	8	7	7	8	8	7	62061.8203125	59001.4609375	58851.3203125	59798.49609375	61670.984375	57878.09765625	58281.77734375	55947.65234375	56180.71484375	63652.90625	55449.33203125	58160.484375	55534.1875	59653.33203125	52801.55078125	50087.5390625	53557.37890625	50441.125	51989.55859375	44420.5859375	51672.1328125	48561.18359375	47844.06640625	47276.859375	47832.49609375	52288.640625	47813.5078125	48554.75390625	55997.1015625	49506.2265625	53250.08203125
P07900	HSP90AA1	Heat shock protein HSP 90-alpha	P07900	HS90A_HUMAN	28	29	29	29	26	29	28	26	29	29	29	31	25	28	28	28	31	29	30	27	28	25	31	24	26	24	25	24	28	26	28	169586.71875	167375.78125	172288.4375	167802.109375	167156.96875	173102.15625	167164.1875	166605	162581.921875	159456.90625	162473.5	160427.359375	163011.875	163628.46875	233284.25	235961.6875	236678.578125	232270.453125	232971.359375	236102.265625	240678.265625	141247.59375	148182.21875	136915.875	137285.28125	137948.96875	138517.96875	134186.46875	169102.28125	174799.46875	168563.25
P07902	GALT	Galactose-1-phosphate uridylyltransferase	P07902	GALT_HUMAN	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	17507.626953125	18408.80078125	15387.47265625	16223.6689453125	16704.470703125	16284.330078125	16988.90625	13849.1142578125	14422.01171875	13630.0732421875	16891.5078125	14313.58984375	14878.1044921875	16012.8505859375	16693.44140625	16034.5166015625	14129.9462890625	15051.38671875	15284.44921875	16516.72265625	16490.033203125	14295.3076171875	15298.265625	15190.0419921875	16119.837890625	14211.1962890625	16397.68359375	15443.2197265625	13718.0263671875	12917.021484375	14906.21875
P07910	HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2	P07910	HNRPC_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2445.8330078125	3109.68701171875	7188.51318359375	2330.84130859375	3733.73486328125	4524.240234375	2257.874755859375	3545.482177734375	8884.3408203125	6410.88671875	8221.1669921875	8685.990234375	4561.88525390625	9263.767578125	5100.31396484375	6379.0517578125	4186.56201171875	3953.98583984375	2840.30615234375	5863.20361328125	3446.157958984375	4570.88671875	607.8485717773438	5464.7353515625	4641.99755859375	5410.30078125	6591.7998046875	NaN	5760.42041015625	5867.7744140625	4450.3486328125
P07951	TPM2	Tropomyosin beta chain	P07951	TPM2_HUMAN	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1739.6993408203125	2180.0205078125	NaN	1633.7393798828125	NaN	NaN	NaN	2387.436767578125	4118.7958984375	2394.132080078125	3249.75634765625	3499.96337890625	3587.873046875	4239.0400390625	2185.8544921875	3775.981201171875	3433.456298828125	4586.27685546875	4883.65966796875	3039.0283203125	2116.34814453125	1324.74169921875	701.4674072265625	3356.111572265625	1242.2069091796875	1887.865234375	2710.010986328125	2538.12255859375	3569.087890625	989.8307495117188	2230.27978515625
P07954	FH	Fumarate hydratase, mitochondrial	P07954	FUMH_HUMAN	15	14	15	15	14	14	14	15	14	15	15	14	14	14	14	14	14	14	13	14	14	13	12	14	14	13	13	13	14	14	15	71552.125	69415.015625	69996.1875	68950.3828125	70489.328125	65930.4765625	70060.9765625	66016.2109375	66305.5546875	67816.9765625	64658.75390625	63543.62890625	66922.2734375	66403.1015625	66640.296875	66606.015625	67242.46875	63521.77734375	67641.5	66619.203125	67545.0390625	66084.25	63161.48828125	65220.70703125	63558.90625	64222.44921875	64541.6171875	63543.77734375	63818.21875	65974.6796875	63594.6328125
