"","Total_Rows","Phospho_Rows","Percent_Phospho_Rows","Total_Abundance","Phospho_Abundance","Percent_Phospho_Abundance"
"[1] ID100338_01_MA10140C_6010_010623.htrms.EG.TotalQuantity (Settings)",2300,988,42.96,2104336677.17727,483893990.193484,23
"[2] ID100339_01_MA10140C_6010_010623.htrms.EG.TotalQuantity (Settings)",2306,986,42.76,2328520290.83065,531002794.612775,22.8
"[3] ID100340_01_MA10140C_6010_010623.htrms.EG.TotalQuantity (Settings)",2318,989,42.67,2359497306.49633,655064982.910608,27.76
