PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.Quantity,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.Quantity,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.Quantity
P01743,IGHV1-46,Immunoglobulin heavy variable 1-46,P01743,HV146_HUMAN,1,1,1,75267.0078125,91760.453125,42591.8984375
P01763,IGHV3-48,Immunoglobulin heavy variable 3-48,P01763,HV348_HUMAN,1,0,1,21441.16015625,NaN,5892.37158203125
P01764,IGHV3-23,Immunoglobulin heavy variable 3-23,P01764,HV323_HUMAN,13,13,13,1207190,1230026.625,887083.625
P01766,IGHV3-13,Immunoglobulin heavy variable 3-13,P01766,HV313_HUMAN,1,1,1,15547.75,12123.015625,19190.3515625
P01767,IGHV3-53,Immunoglobulin heavy variable 3-53,P01767,HV353_HUMAN,1,1,2,48454.86328125,62165.83203125,32128.763671875
P01768;P0DP03,IGHV3-30;IGHV3-30-5,Immunoglobulin heavy variable 3-30;Immunoglobulin heavy variable 3-30-5,P01768;P0DP03,HV330_HUMAN;HVC05_HUMAN,4,4,4,74072.578125,97427.21875,56154.0546875
P01780,IGHV3-7,Immunoglobulin heavy variable 3-7,P01780,HV307_HUMAN,3,3,3,259464.265625,190519.625,164433.90625
P01782,IGHV3-9,Immunoglobulin heavy variable 3-9,P01782,HV309_HUMAN,6,5,5,735044.1875,380375.9375,476259.6875
P01814,IGHV2-70,Immunoglobulin heavy variable 2-70,P01814,HV270_HUMAN,1,0,0,27581.587890625,NaN,NaN
P01817,IGHV2-5,Immunoglobulin heavy variable 2-5,P01817,HV205_HUMAN,1,1,1,8623.1982421875,4100.283203125,6868.16455078125
P01833,PIGR,Polymeric immunoglobulin receptor,P01833,PIGR_HUMAN,1,1,0,2015.118896484375,3957.91748046875,NaN
P01834,IGKC,Immunoglobulin kappa constant,P01834,IGKC_HUMAN,28,28,28,15823982,12217325,9694954
P01857,IGHG1,Immunoglobulin heavy constant gamma 1,P01857,IGHG1_HUMAN,97,98,99,24580554,28170044,16602501
P01859,IGHG2,Immunoglobulin heavy constant gamma 2,P01859,IGHG2_HUMAN,34,34,34,12256681,6239542,7723362
P01860,IGHG3,Immunoglobulin heavy constant gamma 3,P01860,IGHG3_HUMAN,10,10,10,1166343.125,1276470.75,595565.3125
P01861,IGHG4,Immunoglobulin heavy constant gamma 4,P01861,IGHG4_HUMAN,16,14,15,4415714.5,1326550.5,1587800.375
P01871,IGHM,Immunoglobulin heavy constant mu,P01871,IGHM_HUMAN,40,39,37,1300133.375,1550513.25,727794.5625
P01876,IGHA1,Immunoglobulin heavy constant alpha 1,P01876,IGHA1_HUMAN,23,23,23,5070279,3208060.5,2431940.5
P01877,IGHA2,Immunoglobulin heavy constant alpha 2,P01877,IGHA2_HUMAN,19,19,19,4357310,2778046.25,2124109.75
P01880,IGHD,Immunoglobulin heavy constant delta,P01880,IGHD_HUMAN,7,7,7,118287.7421875,98092.421875,58721.0234375
P01889,HLA-B,"HLA class I histocompatibility antigen, B alpha chain",P01889,HLAB_HUMAN,2,2,2,14138.9541015625,21046.357421875,19987.6328125
P02008,HBZ,Hemoglobin subunit zeta,P02008,HBAZ_HUMAN,2,2,2,20112.390625,55146.7734375,26502.37890625
P02042,HBD,Hemoglobin subunit delta,P02042,HBD_HUMAN,152,152,153,49209720,56272160,53830696
P02100,HBE1,Hemoglobin subunit epsilon,P02100,HBE_HUMAN,1,1,1,37950.66796875,48085.921875,36336.234375
P02549,SPTA1,"Spectrin alpha chain, erythrocytic 1",P02549,SPTA1_HUMAN,224,226,225,629079.125,619864.8125,645160.625
P02647,APOA1,Apolipoprotein A-I,P02647,APOA1_HUMAN,97,99,97,9787098,11029612,9880736
P02649,APOE,Apolipoprotein E,P02649,APOE_HUMAN,26,26,26,631253.375,489547.96875,432161.03125
P02652,APOA2,Apolipoprotein A-II,P02652,APOA2_HUMAN,13,13,13,3421254.25,2538370.75,2424409.25
P02654,APOC1,Apolipoprotein C-I,P02654,APOC1_HUMAN,13,13,13,622296.625,605153.625,590589.5
P02655,APOC2,Apolipoprotein C-II,P02655,APOC2_HUMAN,4,4,4,562460.375,514196.1875,514645.71875
P02656,APOC3,Apolipoprotein C-III,P02656,APOC3_HUMAN,7,7,7,1435207.75,1198265.625,1140333
P02671,FGA,Fibrinogen alpha chain,P02671,FIBA_HUMAN,89,87,88,5342837.5,3419772.5,4160465.25
P02675,FGB,Fibrinogen beta chain,P02675,FIBB_HUMAN,96,96,95,5306477.5,3649895.5,4315869.5
P02679,FGG,Fibrinogen gamma chain,P02679,FIBG_HUMAN,82,82,82,4482894,2988231.25,3628921.25
P02724,GYPA,Glycophorin-A,P02724,GLPA_HUMAN,5,5,5,48236.4609375,51478.921875,42443.640625
P02730,SLC4A1,Band 3 anion transport protein,P02730,B3AT_HUMAN,71,72,72,4039105.5,4127940.75,4261608
P02743,APCS,Serum amyloid P-component,P02743,SAMP_HUMAN,5,5,5,142036.25,65796.4921875,101995.71875
P02745,C1QA,Complement C1q subcomponent subunit A,P02745,C1QA_HUMAN,4,4,4,103304.59375,50259.3359375,78457.171875
P02746,C1QB,Complement C1q subcomponent subunit B,P02746,C1QB_HUMAN,10,10,10,119589.6796875,54824.046875,86254.296875
P02747,C1QC,Complement C1q subcomponent subunit C,P02747,C1QC_HUMAN,5,5,5,266505.21875,143238.6875,202225.953125
P02748,C9,Complement component C9,P02748,CO9_HUMAN,19,18,18,186922.6875,138141.75,166653.8125
P02749,APOH,Beta-2-glycoprotein 1,P02749,APOH_HUMAN,27,27,26,595921.6875,647097.0625,605338.75
P02750,LRG1,Leucine-rich alpha-2-glycoprotein,P02750,A2GL_HUMAN,10,10,10,291118.65625,322396.625,280158.9375
P02751,FN1,Fibronectin,P02751,FINC_HUMAN,94,96,96,543493.625,536843.1875,501591.5625
P02753,RBP4,Retinol-binding protein 4,P02753,RET4_HUMAN,11,11,11,219316.515625,169779.71875,182524.71875
P02760,AMBP,Protein AMBP,P02760,AMBP_HUMAN,16,16,16,614313.3125,578337.375,594855.5625
P02763,ORM1,Alpha-1-acid glycoprotein 1,P02763,A1AG1_HUMAN,25,25,24,1511532.75,802411.5,1240197.375
P02765,AHSG,Alpha-2-HS-glycoprotein,P02765,FETUA_HUMAN,26,26,25,951185.125,802127.125,867220.125
P02766,TTR,Transthyretin,P02766,TTHY_HUMAN,20,20,19,1068435.125,804495.75,846110.5
P02768,ALB,Albumin,P02768,ALBU_HUMAN,346,349,349,35643380,38796212,36611636
P02774,GC,Vitamin D-binding protein,P02774,VTDB_HUMAN,35,35,35,847971.75,728530,670351.9375
P02775,PPBP,Platelet basic protein,P02775,CXCL7_HUMAN,9,9,9,110912.1640625,196745.78125,209033.078125
P02776,PF4,Platelet factor 4,P02776,PLF4_HUMAN,7,7,7,59386.12890625,110775.078125,113209.6640625
P02786,TFRC,Transferrin receptor protein 1,P02786,TFR1_HUMAN,1,1,1,25573.669921875,17017.52734375,20303.75
P02787,TF,Serotransferrin,P02787,TRFE_HUMAN,142,144,144,5882328.5,6862305.5,6788260
P02788,LTF,Lactotransferrin,P02788,TRFL_HUMAN,30,31,31,372045.96875,648865.0625,632158.5625
P02790,HPX,Hemopexin,P02790,HEMO_HUMAN,55,55,55,2517550.75,2515508,2393448.75
P03951,F11,Coagulation factor XI,P03951,FA11_HUMAN,1,1,1,22590.033203125,17324.494140625,16590.9765625
P03952,KLKB1,Plasma kallikrein,P03952,KLKB1_HUMAN,15,15,15,113424.8203125,105827.71875,104661.0234375
P04003,C4BPA,C4b-binding protein alpha chain,P04003,C4BPA_HUMAN,26,26,26,168653.34375,141753.078125,143058.5
P04004,VTN,Vitronectin,P04004,VTNC_HUMAN,23,23,23,1145561.5,1099999.625,1269107.5
P04040,CAT,Catalase,P04040,CATA_HUMAN,69,70,69,2645064,2904609,2615898
P04070,PROC,Vitamin K-dependent protein C,P04070,PROC_HUMAN,5,5,5,18604.611328125,21919.4375,22077.63671875
P04075,ALDOA,Fructose-bisphosphate aldolase A,P04075,ALDOA_HUMAN,39,39,39,583075.0625,662419.25,645626.625
P04080,CSTB,Cystatin-B,P04080,CYTB_HUMAN,7,7,7,106687.3359375,105213.046875,157588.03125
P04083,ANXA1,Annexin A1,P04083,ANXA1_HUMAN,9,9,9,40432.48828125,45393.0859375,44562.453125
P04114,APOB,Apolipoprotein B-100,P04114,APOB_HUMAN,293,292,292,1142136,783171.4375,688863.3125
P04180,LCAT,Phosphatidylcholine-sterol acyltransferase,P04180,LCAT_HUMAN,3,3,3,40442.41796875,36809.34375,38521.68359375
P04196,HRG,Histidine-rich glycoprotein,P04196,HRG_HUMAN,28,29,29,636990.625,594218.0625,682251.5
P04211,IGLV7-43,Immunoglobulin lambda variable 7-43,P04211,LV743_HUMAN,4,4,4,116733.703125,83107.0625,55340.76171875
P04217,A1BG,Alpha-1B-glycoprotein,P04217,A1BG_HUMAN,26,26,27,808551.5625,738524.0625,670134.9375
P04264,KRT1,"Keratin, type II cytoskeletal 1",P04264,K2C1_HUMAN,12,12,10,64459.09375,50987.71484375,33004.265625
P04275,VWF,von Willebrand factor,P04275,VWF_HUMAN,8,8,8,24319.146484375,24508.69140625,21789.412109375
P04278,SHBG,Sex hormone-binding globulin,P04278,SHBG_HUMAN,10,10,10,46113.1484375,71491.75,35497.05859375
P04406,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,P04406,G3P_HUMAN,45,45,45,1211091.125,1262574.25,1297245.625
P04424,ASL,Argininosuccinate lyase,P04424,ARLY_HUMAN,2,2,2,58811.71484375,71870.421875,64236.609375
P04430,IGKV1-16,Immunoglobulin kappa variable 1-16,P04430,KV116_HUMAN,4,4,3,42967.02734375,50818.59375,41589.51953125
P04632,CAPNS1,Calpain small subunit 1,P04632,CPNS1_HUMAN,7,7,7,110175.578125,116799.4375,108375.9140625
P04792,HSPB1,Heat shock protein beta-1,P04792,HSPB1_HUMAN,3,3,3,7906.572265625,13314.109375,12347.5146484375
P04899,GNAI2,Guanine nucleotide-binding protein G(i) subunit alpha-2,P04899,GNAI2_HUMAN,3,3,3,15178.0986328125,18474.85546875,17703.05078125
P04908;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1,H2AC4;H2AC11;H2AX;H2AC7;H2AC20;H2AC18;H2AC25;H2AC6;H2AC12;H2AC1;H2AC14;H2AJ,Histone H2A type 1-B/E;Histone H2A type 1;Histone H2AX;Histone H2A type 1-D;Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 3;Histone H2A type 1-C;Histone H2A type 1-H;Histone H2A type 1-A;Histone H2A type 1-J;Histone H2A.J,P04908;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1,H2A1B_HUMAN;H2A1_HUMAN;H2AX_HUMAN;H2A1D_HUMAN;H2A2C_HUMAN;H2A2A_HUMAN;H2A3_HUMAN;H2A1C_HUMAN;H2A1H_HUMAN;H2A1A_HUMAN;H2A1J_HUMAN;H2AJ_HUMAN,3,3,3,303896.03125,469614.3125,440772.875
P05089,ARG1,Arginase-1,P05089,ARGI1_HUMAN,11,11,11,87178.421875,98427.9453125,100346.4140625
P05090,APOD,Apolipoprotein D,P05090,APOD_HUMAN,10,10,10,312257.34375,471990.6875,273547.125
P05106,ITGB3,Integrin beta-3,P05106,ITB3_HUMAN,10,12,12,21970.615234375,43078.41796875,38073.01171875
P05109,S100A8,Protein S100-A8,P05109,S10A8_HUMAN,7,7,7,52261.046875,62910.84375,64653.05859375
P05154,SERPINA5,Plasma serine protease inhibitor,P05154,IPSP_HUMAN,8,8,8,54627.21875,45071.2421875,41972.82421875
P05155,SERPING1,Plasma protease C1 inhibitor,P05155,IC1_HUMAN,31,31,31,961761.375,848235.0625,927253.5
P05156,CFI,Complement factor I,P05156,CFAI_HUMAN,15,15,15,129077.875,111812,112585.1640625
P05160,F13B,Coagulation factor XIII B chain,P05160,F13B_HUMAN,11,9,12,10535.0732421875,17148.138671875,15394.111328125
P05161,ISG15,Ubiquitin-like protein ISG15,P05161,ISG15_HUMAN,2,1,2,10946.3271484375,4786.330078125,3247.398193359375
P05164,MPO,Myeloperoxidase,P05164,PERM_HUMAN,14,14,14,95817.3125,92597.6875,126922.8984375
P05198,EIF2S1,Eukaryotic translation initiation factor 2 subunit 1,P05198,IF2A_HUMAN,3,3,3,13784.3798828125,12612.7392578125,11950.5390625
P05386,RPLP1,Large ribosomal subunit protein P1,P05386,RLA1_HUMAN,1,1,1,38205.5625,45273.3671875,35185.09765625
P05387,RPLP2,Large ribosomal subunit protein P2,P05387,RLA2_HUMAN,5,5,5,13026.4814453125,17092.0078125,12033.5615234375
P05452,CLEC3B,Tetranectin,P05452,TETN_HUMAN,8,8,8,59175.06640625,69448.9140625,52334.27734375
P05543,SERPINA7,Thyroxine-binding globulin,P05543,THBG_HUMAN,11,11,11,68161.09375,78797.2109375,74969.8671875
P05546,SERPIND1,Heparin cofactor 2,P05546,HEP2_HUMAN,17,17,17,305339.46875,314093.03125,332544.5
P06132,UROD,Uroporphyrinogen decarboxylase,P06132,DCUP_HUMAN,13,13,12,65157.21484375,69257.7421875,60305.14453125
P06276,BCHE,Cholinesterase,P06276,CHLE_HUMAN,3,3,3,44063.48046875,33051.08984375,38880.72265625
P06312,IGKV4-1,Immunoglobulin kappa variable 4-1,P06312,KV401_HUMAN,6,6,6,1166500.75,1298690.5,877898.1875
P06331,IGHV4-34,Immunoglobulin heavy variable 4-34,P06331,HV434_HUMAN,10,10,10,111353.671875,113260.5390625,77983.4375
P06396,GSN,Gelsolin,P06396,GELS_HUMAN,42,42,42,333408.09375,390912.28125,332604.34375
P06681,C2,Complement C2,P06681,CO2_HUMAN,15,15,14,83422.796875,55938.46484375,62704.00390625
P06702,S100A9,Protein S100-A9,P06702,S10A9_HUMAN,4,4,4,34529.37890625,37361.85546875,46242.25
P06703,S100A6,Protein S100-A6,P06703,S10A6_HUMAN,7,7,7,855211.625,864080.0625,794975.1875
P06727,APOA4,Apolipoprotein A-IV,P06727,APOA4_HUMAN,54,54,55,796438.5625,780261.0625,848798.75
P06730,EIF4E,Eukaryotic translation initiation factor 4E,P06730,IF4E_HUMAN,6,6,6,37216.23046875,38112.5,34765.8828125
P06733,ENO1,Alpha-enolase,P06733,ENOA_HUMAN,30,30,30,313135.5,358665.34375,334212.4375
P06744,GPI,Glucose-6-phosphate isomerase,P06744,G6PI_HUMAN,15,15,15,84205.1953125,97587.609375,86265.671875
P06753,TPM3,Tropomyosin alpha-3 chain,P06753,TPM3_HUMAN,5,5,5,257256.75,255090.796875,257332.796875
P06899;P23527;P33778;Q16778,H2BC11;H2BC17;H2BC3;H2BC21,Histone H2B type 1-J;Histone H2B type 1-O;Histone H2B type 1-B;Histone H2B type 2-E,P06899;P23527;P33778;Q16778,H2B1J_HUMAN;H2B1O_HUMAN;H2B1B_HUMAN;H2B2E_HUMAN,1,1,1,7897.5029296875,14486.3671875,12462.1884765625
P07108,DBI,Acyl-CoA-binding protein,P07108,ACBP_HUMAN,4,4,4,28504.125,34796.2890625,28299.892578125
P07195,LDHB,L-lactate dehydrogenase B chain,P07195,LDHB_HUMAN,27,28,28,396488.59375,424628.25,406730.5625
P07203,GPX1,Glutathione peroxidase 1,P07203,GPX1_HUMAN,12,13,13,184490.5,167562.765625,213510.90625
P07225,PROS1,Vitamin K-dependent protein S,P07225,PROS_HUMAN,19,19,19,77902.4921875,60292.85546875,64854.515625
P07237,P4HB,Protein disulfide-isomerase,P07237,PDIA1_HUMAN,7,7,7,17600.2578125,20988.515625,29316.37109375
P07311,ACYP1,Acylphosphatase-1,P07311,ACYP1_HUMAN,3,3,3,35661.2109375,31113.322265625,35936.88671875
P07357,C8A,Complement component C8 alpha chain,P07357,CO8A_HUMAN,18,17,18,116153.8984375,84859.875,103489.015625
P07358,C8B,Complement component C8 beta chain,P07358,CO8B_HUMAN,22,22,22,101027.3828125,72704.59375,86618.875
P07359,GP1BA,Platelet glycoprotein Ib alpha chain,P07359,GP1BA_HUMAN,1,1,1,43790.046875,59381.53125,55692.4609375
P07360,C8G,Complement component C8 gamma chain,P07360,CO8G_HUMAN,6,6,6,42087.30859375,31838.615234375,44039.984375
P07384,CAPN1,Calpain-1 catalytic subunit,P07384,CAN1_HUMAN,28,28,28,122921.0859375,148604.140625,130924.1328125
P07437,TUBB,Tubulin beta chain,P07437,TBB5_HUMAN,4,4,4,31296.435546875,37090.80078125,30821.884765625
P07451,CA3,Carbonic anhydrase 3,P07451,CAH3_HUMAN,19,19,19,276106.53125,322455.15625,240361.921875
P07737,PFN1,Profilin-1,P07737,PROF1_HUMAN,8,8,8,99506.9609375,139522.90625,138346.828125
P07738,BPGM,Bisphosphoglycerate mutase,P07738,PMGE_HUMAN,27,27,27,843117.125,799724.9375,880252.5625
P07741,APRT,Adenine phosphoribosyltransferase,P07741,APT_HUMAN,5,5,5,50952.3046875,54671.640625,68976.421875
P07900,HSP90AA1,Heat shock protein HSP 90-alpha,P07900,HS90A_HUMAN,38,38,37,125070.4609375,150299.4375,118756.9140625
P07902,GALT,Galactose-1-phosphate uridylyltransferase,P07902,GALT_HUMAN,1,1,1,14857.103515625,11672.9423828125,14219.3876953125
P07954,FH,"Fumarate hydratase, mitochondrial",P07954,FUMH_HUMAN,5,5,5,69092.296875,60409.33203125,66132.015625
P07996,THBS1,Thrombospondin-1,P07996,TSP1_HUMAN,25,29,29,54784.2890625,95216.296875,83940.5078125
P08133,ANXA6,Annexin A6,P08133,ANXA6_HUMAN,0,1,1,NaN,18259.33984375,17343.744140625
P08185,SERPINA6,Corticosteroid-binding globulin,P08185,CBG_HUMAN,12,12,12,224358.90625,186142.9375,193617.078125
P08237,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type",P08237,PFKAM_HUMAN,11,11,11,45301.421875,43432.75,39922.63671875
P08238,HSP90AB1,Heat shock protein HSP 90-beta,P08238,HS90B_HUMAN,4,4,4,35821.4609375,47036.2734375,35843.2890625
P08246,ELANE,Neutrophil elastase,P08246,ELNE_HUMAN,5,5,5,74445.9765625,73211.484375,87865.578125
P08311,CTSG,Cathepsin G,P08311,CATG_HUMAN,6,6,6,67991.2265625,107537.125,101626.609375
P08397,HMBS,Porphobilinogen deaminase,P08397,HEM3_HUMAN,19,19,19,72869.921875,92841.796875,71220.7265625
P08514,ITGA2B,Integrin alpha-IIb,P08514,ITA2B_HUMAN,7,9,9,19348.591796875,36518.77734375,35866.46875
P08519,LPA,Apolipoprotein(a),P08519,APOA_HUMAN,32,27,13,366585.65625,53032.29296875,15324.927734375
P08567,PLEK,Pleckstrin,P08567,PLEK_HUMAN,4,4,4,14389.3828125,20295.24609375,20854.044921875
P08571,CD14,Monocyte differentiation antigen CD14,P08571,CD14_HUMAN,3,3,3,28729.54296875,31747.88671875,26317.509765625
P08603,CFH,Complement factor H,P08603,CFAH_HUMAN,71,71,71,516822.28125,488607.9375,570161.5
P08670,VIM,Vimentin,P08670,VIME_HUMAN,7,7,7,46500.0625,63198.83203125,63849.12890625
P08697,SERPINF2,Alpha-2-antiplasmin,P08697,A2AP_HUMAN,20,20,19,495407.0625,477041.4375,426916.625
P08709,F7,Coagulation factor VII,P08709,FA7_HUMAN,1,1,1,11997.2470703125,9130.919921875,17061.16796875
P08754,GNAI3,Guanine nucleotide-binding protein G(i) subunit alpha-3,P08754,GNAI3_HUMAN,1,1,1,20696.201171875,22164.44921875,20228.443359375
P09104,ENO2,Gamma-enolase,P09104,ENOG_HUMAN,7,7,7,23754.4296875,27404.53125,28709.859375
P09105,HBQ1,Hemoglobin subunit theta-1,P09105,HBAT_HUMAN,8,8,8,183477.828125,222421.703125,192251.09375
P09172,DBH,Dopamine beta-hydroxylase,P09172,DOPO_HUMAN,0,0,1,NaN,NaN,7613.15771484375
P09211,GSTP1,Glutathione S-transferase P,P09211,GSTP1_HUMAN,12,11,12,136433.21875,177379.96875,161246.859375
P09417,QDPR,Dihydropteridine reductase,P09417,DHPR_HUMAN,7,7,7,41845.05078125,42414.0625,42932.4921875
P09493,TPM1,Tropomyosin alpha-1 chain,P09493,TPM1_HUMAN,3,3,3,74946.90625,76191.34375,77861.421875
P09496,CLTA,Clathrin light chain A,P09496,CLCA_HUMAN,2,2,2,39390.375,44539.328125,19218.203125
P09525,ANXA4,Annexin A4,P09525,ANXA4_HUMAN,6,6,6,30505.8046875,26536.8046875,25849.197265625
P09543,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",P09543,CN37_HUMAN,8,7,8,18315.34765625,15368.109375,18476.076171875
P09871,C1S,Complement C1s subcomponent,P09871,C1S_HUMAN,26,26,26,236055.65625,136023.265625,209044.390625
P09960,LTA4H,Leukotriene A-4 hydrolase,P09960,LKHA4_HUMAN,23,23,23,110018.5546875,99990.8046875,99372.703125
P0C0L4,C4A,Complement C4-A,P0C0L4,CO4A_HUMAN,108,92,109,782153.1875,156234.0625,902613.25
P0C0L5,C4B,Complement C4-B,P0C0L5,CO4B_HUMAN,3,3,3,177340.65625,80100.0703125,252190.609375
P0CG47;P0CG48,UBB;UBC,Polyubiquitin-B;Polyubiquitin-C,P0CG47;P0CG48,UBB_HUMAN;UBC_HUMAN,5,5,5,785671.5625,750944.8125,811374.5
P0DJI8,SAA1,Serum amyloid A-1 protein,P0DJI8,SAA1_HUMAN,4,4,4,19986.51953125,17900.75,31496.587890625
P0DMC3,APELA,Apelin receptor early endogenous ligand,P0DMC3,ELA_HUMAN,1,1,1,31084.62109375,36857.80078125,43652.203125
P0DMV8;P0DMV9,HSPA1A;HSPA1B,Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B,P0DMV8;P0DMV9,HS71A_HUMAN;HS71B_HUMAN,21,20,20,286173.9375,329784.34375,335228.09375
P0DOY2,IGLC2,Immunoglobulin lambda constant 2,P0DOY2,IGLC2_HUMAN,21,21,21,5892729,5765206.5,4090783
P0DP23;P0DP24;P0DP25,CALM1;CALM2;CALM3,Calmodulin-1;Calmodulin-2;Calmodulin-3,P0DP23;P0DP24;P0DP25,CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN,11,11,11,173128.3125,180618.28125,191475.375
P0DTE1,IGHV3-38-3,Probable non-functional immunoglobulin heavy variable 3-38-3,P0DTE1,HV383_HUMAN,1,1,1,17722.181640625,57884.33203125,15991.0400390625
P10153,RNASE2,Non-secretory ribonuclease,P10153,RNAS2_HUMAN,2,2,2,24654.578125,34031.421875,48106.85546875
P10412;P16402;P16403,H1-4;H1-3;H1-2,Histone H1.4;Histone H1.3;Histone H1.2,P10412;P16402;P16403,H14_HUMAN;H13_HUMAN;H12_HUMAN,6,6,6,40270.2109375,81329.421875,70117.53125
P10599,TXN,Thioredoxin,P10599,THIO_HUMAN,12,12,12,335089.375,370756.5625,362282.1875
P10643,C7,Complement component C7,P10643,CO7_HUMAN,18,17,18,80359.15625,96290.5546875,70786.140625
P10644,PRKAR1A,cAMP-dependent protein kinase type I-alpha regulatory subunit,P10644,KAP0_HUMAN,5,5,5,24449.8359375,19254.4140625,16859.427734375
P10746,UROS,Uroporphyrinogen-III synthase,P10746,HEM4_HUMAN,4,4,4,25588.53125,26256.724609375,24055.509765625
P10768,ESD,S-formylglutathione hydrolase,P10768,ESTD_HUMAN,12,12,12,180271.515625,208882.203125,235028.859375
P10909,CLU,Clusterin,P10909,CLUS_HUMAN,30,30,30,1038392.125,778818.6875,929267.3125
P11021,HSPA5,Endoplasmic reticulum chaperone BiP,P11021,BIP_HUMAN,8,8,8,27741.818359375,32007.25,37813.17578125
P11142,HSPA8,Heat shock cognate 71 kDa protein,P11142,HSP7C_HUMAN,34,34,34,490409.375,526900.6875,467218.15625
P11166,SLC2A1,"Solute carrier family 2, facilitated glucose transporter member 1",P11166,GTR1_HUMAN,15,15,15,566613.75,595714.625,632696.375
P11169;Q8TDB8,SLC2A3;SLC2A14,"Solute carrier family 2, facilitated glucose transporter member 3;Solute carrier family 2, facilitated glucose transporter member 14",P11169;Q8TDB8,GTR3_HUMAN;GTR14_HUMAN,1,1,1,16340.455078125,11395.4111328125,16530.017578125
P11171,EPB41,Protein 4.1,P11171,EPB41_HUMAN,60,60,60,525247.125,496092.625,541906.6875
P11226,MBL2,Mannose-binding protein C,P11226,MBL2_HUMAN,3,3,3,13595.8271484375,19295.037109375,7621.52294921875
P11233,RALA,Ras-related protein Ral-A,P11233,RALA_HUMAN,2,2,2,19929.552734375,20047.978515625,16573.1015625
P11277,SPTB,"Spectrin beta chain, erythrocytic",P11277,SPTB1_HUMAN,210,210,211,836149.875,827462.75,867309.5625
P11413,G6PD,Glucose-6-phosphate 1-dehydrogenase,P11413,G6PD_HUMAN,13,13,13,72763.1484375,84252.421875,80132.5546875
P11586,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic",P11586,C1TC_HUMAN,19,19,19,63313.4375,59958.5078125,51483.37109375
P11678,EPX,Eosinophil peroxidase,P11678,PERE_HUMAN,3,3,3,10405.69921875,16092.896484375,21029.986328125
P12259,F5,Coagulation factor V,P12259,FA5_HUMAN,15,16,15,33991.97265625,28975.01171875,31567.443359375
P12429,ANXA3,Annexin A3,P12429,ANXA3_HUMAN,2,2,2,10909.916015625,11311.529296875,9970.2177734375
P12724,RNASE3,Eosinophil cationic protein,P12724,ECP_HUMAN,1,4,4,4227.53076171875,28544.2578125,40896.55859375
P12814,ACTN1,Alpha-actinin-1,P12814,ACTN1_HUMAN,13,14,14,22925.96875,42272.53515625,39539.6484375
P12955,PEPD,Xaa-Pro dipeptidase,P12955,PEPD_HUMAN,8,8,8,23525.21875,39441.95703125,37554.48828125
P13224,GP1BB,Platelet glycoprotein Ib beta chain,P13224,GP1BB_HUMAN,2,2,2,14826.177734375,22307.30078125,24359.625
P13489,RNH1,Ribonuclease inhibitor,P13489,RINI_HUMAN,15,16,16,227974.640625,235287.96875,264916.96875
P13639,EEF2,Elongation factor 2,P13639,EF2_HUMAN,4,4,4,11656.310546875,15378.142578125,12672.1064453125
P13645,KRT10,"Keratin, type I cytoskeletal 10",P13645,K1C10_HUMAN,10,10,9,34119.91015625,24389.619140625,18189.955078125
P13671,C6,Complement component C6,P13671,CO6_HUMAN,21,21,21,151772.4375,147226.90625,131626.5
P13693,TPT1,Translationally-controlled tumor protein,P13693,TCTP_HUMAN,1,1,1,21282.322265625,23799.751953125,24943.509765625
P13716,ALAD,Delta-aminolevulinic acid dehydratase,P13716,HEM2_HUMAN,28,28,28,572196.875,614116.0625,529052
P13796,LCP1,Plastin-2,P13796,PLSL_HUMAN,18,18,17,73381.0390625,69479.8671875,76407.4921875
P13798,APEH,Acylamino-acid-releasing enzyme,P13798,ACPH_HUMAN,22,21,21,386613.8125,356947.15625,383375.375
P13987,CD59,CD59 glycoprotein,P13987,CD59_HUMAN,5,5,5,42267.77734375,49767.22265625,49116.10546875
P14151,SELL,L-selectin,P14151,LYAM1_HUMAN,1,1,1,9396.443359375,10137.4365234375,5102.20068359375
P14174,MIF,Macrophage migration inhibitory factor,P14174,MIF_HUMAN,2,2,2,306241.3125,322447.84375,303747.15625
P14209,CD99,CD99 antigen,P14209,CD99_HUMAN,0,1,1,NaN,2822.510498046875,4995.439453125
