PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.Quantity,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.Quantity,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.Quantity
O14602;P47813,EIF1AY;EIF1AX,"Eukaryotic translation initiation factor 1A, Y-chromosomal;Eukaryotic translation initiation factor 1A, X-chromosomal",O14602;P47813,IF1AY_HUMAN;IF1AX_HUMAN,1,1,1,3434.6748046875,1363.236328125,4255.71435546875
O14618,CCS,Copper chaperone for superoxide dismutase,O14618,CCS_HUMAN,7,7,7,120202.5,133786.84375,139534.34375
O14737,PDCD5,Programmed cell death protein 5,O14737,PDCD5_HUMAN,3,3,3,21117.880859375,16463.294921875,19231.28125
O14744,PRMT5,Protein arginine N-methyltransferase 5,O14744,ANM5_HUMAN,7,7,7,29294.6796875,33235.59765625,26638.87109375
O14791,APOL1,Apolipoprotein L1,O14791,APOL1_HUMAN,10,13,10,285809.46875,230490.0625,257524.34375
O14818,PSMA7,Proteasome subunit alpha type-7,O14818,PSA7_HUMAN,14,14,14,163655.109375,152691.359375,164417.8125
O14950;P19105,MYL12B;MYL12A,Myosin regulatory light chain 12B;Myosin regulatory light chain 12A,O14950;P19105,ML12B_HUMAN;ML12A_HUMAN,6,6,6,45489.65234375,55986.1953125,55318.23046875
O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,O14964,HGS_HUMAN,5,5,4,17784.814453125,16415.052734375,17930.64453125
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,O14979,HNRDL_HUMAN,2,2,2,7645.9794921875,8588.9501953125,7108.380859375
O14980,XPO1,Exportin-1,O14980,XPO1_HUMAN,12,12,12,29522.365234375,29107.28125,29341.3671875
O15067,PFAS,Phosphoribosylformylglycinamidine synthase,O15067,PUR4_HUMAN,17,18,18,57480.6640625,59209.828125,55868.5625
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,O15145,ARPC3_HUMAN,1,1,1,11966.5654296875,27768.708984375,27071.345703125
O15212,PFDN6,Prefoldin subunit 6,O15212,PFD6_HUMAN,1,1,1,29208.65234375,16813.427734375,27720.296875
O15400,STX7,Syntaxin-7,O15400,STX7_HUMAN,1,1,1,20767.642578125,21294.587890625,26417.142578125
O15455,TLR3,Toll-like receptor 3,O15455,TLR3_HUMAN,3,3,3,2585020.25,2675631.75,2853212.75
O15498,YKT6,Synaptobrevin homolog YKT6,O15498,YKT6_HUMAN,1,1,1,21033.416015625,21313.31640625,19563.078125
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5,O15511,ARPC5_HUMAN,1,1,1,31578.89453125,39077.671875,42009.21484375
O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3,O43242,PSMD3_HUMAN,10,10,10,28057.02734375,21750.34765625,28734.580078125
O43396,TXNL1,Thioredoxin-like protein 1,O43396,TXNL1_HUMAN,8,8,8,98100.265625,95148.28125,102014.7265625
O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,O43488,ARK72_HUMAN,9,9,9,78207.2578125,78359.3671875,74914.0703125
O43583,DENR,Density-regulated protein,O43583,DENR_HUMAN,2,2,2,10946.4248046875,11404.1103515625,13746.623046875
O43598,DNPH1,5-hydroxymethyl-dUMP N-hydrolase,O43598,DNPH1_HUMAN,4,4,5,25035.9140625,28808.6171875,27104.78125
O43633,CHMP2A,Charged multivesicular body protein 2a,O43633,CHM2A_HUMAN,7,7,7,27231.32421875,19204.72265625,35054.8203125
O43665,RGS10,Regulator of G-protein signaling 10,O43665,RGS10_HUMAN,3,3,3,22987.978515625,25834.890625,17574.404296875
O43681,GET3,ATPase GET3,O43681,GET3_HUMAN,5,5,5,59777.89453125,64682.53515625,59141.9921875
O43707,ACTN4,Alpha-actinin-4,O43707,ACTN4_HUMAN,1,1,1,10643.1767578125,12904.6533203125,13968.7587890625
O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,O43765,SGTA_HUMAN,4,4,4,29407.03515625,27062.763671875,30329.814453125
O43813,LANCL1,Glutathione S-transferase LANCL1,O43813,LANC1_HUMAN,6,6,6,73620.28125,66455.890625,70576.703125
O43866,CD5L,CD5 antigen-like,O43866,CD5L_HUMAN,10,10,9,186143.828125,228352.90625,124522.5625
O43896,KIF1C,Kinesin-like protein KIF1C,O43896,KIF1C_HUMAN,1,1,1,156009.9375,141017.703125,139365.25
O60234,GMFG,Glia maturation factor gamma,O60234,GMFG_HUMAN,4,4,4,10243.2001953125,12778.873046875,11782.138671875
O60256,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,O60256,KPRB_HUMAN,10,10,10,58907.1796875,60183.1875,63744.1796875
O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,O60506,HNRPQ_HUMAN,2,2,3,8439.080078125,8893.2470703125,9786.935546875
O60610,DIAPH1,Protein diaphanous homolog 1,O60610,DIAP1_HUMAN,10,10,10,28313.27734375,28889.66796875,28107.9296875
O60664,PLIN3,Perilipin-3,O60664,PLIN3_HUMAN,6,6,6,21693.888671875,19255.201171875,22689.466796875
O60684,KPNA6,Importin subunit alpha-7,O60684,IMA7_HUMAN,3,3,3,15406.611328125,14826.158203125,13557.3623046875
O60749,SNX2,Sorting nexin-2,O60749,SNX2_HUMAN,1,1,1,5743.38818359375,5731.9619140625,5606.8740234375
O60763,USO1,General vesicular transport factor p115,O60763,USO1_HUMAN,1,1,1,1309.1549072265625,1984.17822265625,1727.8343505859375
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880,H2BC12;H2BC12L;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14;H2BC13,Histone H2B type 1-K;Histone H2B type F-S;Histone H2B type 1-D;Histone H2B type 1-C/E/F/G/I;Histone H2B type 2-F;Histone H2B type 1-H;Histone H2B type 1-N;Histone H2B type 1-M;Histone H2B type 1-L,O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880,H2B1K_HUMAN;H2BFS_HUMAN;H2B1D_HUMAN;H2B1C_HUMAN;H2B2F_HUMAN;H2B1H_HUMAN;H2B1N_HUMAN;H2B1M_HUMAN;H2B1L_HUMAN,8,8,8,143756.078125,211458.875,212055.59375
O60888,CUTA,Protein CutA,O60888,CUTA_HUMAN,2,2,2,57269.99609375,48932.21484375,52245.9765625
O75015;P08637,FCGR3B;FCGR3A,Low affinity immunoglobulin gamma Fc region receptor III-B;Low affinity immunoglobulin gamma Fc region receptor III-A,O75015;P08637,FCG3B_HUMAN;FCG3A_HUMAN,1,1,1,13791.8134765625,19081.265625,15334.9765625
O75083,WDR1,WD repeat-containing protein 1,O75083,WDR1_HUMAN,8,8,8,39739.34375,46578.71484375,44848.85546875
O75131,CPNE3,Copine-3,O75131,CPNE3_HUMAN,2,2,2,19027.560546875,22757.76953125,22599.9765625
O75223,GGCT,Gamma-glutamylcyclotransferase,O75223,GGCT_HUMAN,6,6,6,63505.29296875,66818.3359375,63410.203125
O75340,PDCD6,Programmed cell death protein 6,O75340,PDCD6_HUMAN,5,5,5,21784.080078125,23706.560546875,21904.84765625
O75347,TBCA,Tubulin-specific chaperone A,O75347,TBCA_HUMAN,10,10,10,56981.44140625,65099.67578125,60076.53515625
O75348,ATP6V1G1,V-type proton ATPase subunit G 1,O75348,VATG1_HUMAN,1,1,1,26504.5234375,26187.9375,27195.509765625
O75368,SH3BGRL,Adapter SH3BGRL,O75368,SH3L1_HUMAN,6,6,6,178076.125,213462.46875,186950.125
