PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.Quantity,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.Quantity,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.Quantity
P60709;P63261,P60709;P63261,ACTB;ACTG1,"Actin, cytoplasmic 1;Actin, cytoplasmic 2",ACTB_HUMAN;ACTG_HUMAN,21,22,22,256028.484375,381376.625,378479.1875
P60985,P60985,KRTDAP,Keratinocyte differentiation-associated protein,KTDAP_HUMAN,1,1,1,39876.203125,42584.93359375,30196.75
P61626,P61626,LYZ,Lysozyme C,LYSC_HUMAN,5,5,5,156451.34375,167709.921875,139703.828125
P61769,P61769,B2M,Beta-2-microglobulin,B2MG_HUMAN,3,3,3,59164.36328125,58692.12890625,68804.171875
P61916,P61916,NPC2,NPC intracellular cholesterol transporter 2,NPC2_HUMAN,1,1,1,3523.156494140625,5458.5830078125,8111.95654296875
P62328,P62328,TMSB4X,Thymosin beta-4,TYB4_HUMAN,2,2,2,21670.41015625,32722.3671875,18441.67578125
P62736;P63267,P62736;P63267,ACTA2;ACTG2,"Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",ACTA_HUMAN;ACTH_HUMAN,2,2,2,22779.748046875,35431.5234375,32504.515625
P62805,P62805,H4C1,Histone H4,H4_HUMAN,1,1,1,8945.1318359375,15791.1220703125,12744.419921875
P62937,P62937,PPIA,Peptidyl-prolyl cis-trans isomerase A,PPIA_HUMAN,7,7,7,13488.076171875,22327.849609375,21637.8671875
P63104,P63104,YWHAZ,14-3-3 protein zeta/delta,1433Z_HUMAN,5,5,5,18741.994140625,28393.29296875,27493.927734375
P67936,P67936,TPM4,Tropomyosin alpha-4 chain,TPM4_HUMAN,3,3,3,8840.556640625,13920.0400390625,12280.619140625
P68363,P68363,TUBA1B,Tubulin alpha-1B chain,TBA1B_HUMAN,1,1,1,7414.5322265625,12007.7294921875,11533.103515625
P68366,P68366,TUBA4A,Tubulin alpha-4A chain,TBA4A_HUMAN,4,4,4,13978.9130859375,22560.75390625,25515.46875
P68871,P68871,HBB,Hemoglobin subunit beta,HBB_HUMAN,27,27,27,2717072,4315332.5,4842666.5
P69891,P69891,HBG1,Hemoglobin subunit gamma-1,HBG1_HUMAN,1,1,0,2896.112548828125,34303.44921875,NaN
P69905,P69905,HBA1,Hemoglobin subunit alpha,HBA_HUMAN,59,59,59,2063867.625,3287771,3552122.25
P80108,P80108,GPLD1,Phosphatidylinositol-glycan-specific phospholipase D,PHLD_HUMAN,29,29,29,152773.65625,182451.40625,202432.984375
P80748,P80748,IGLV3-21,Immunoglobulin lambda variable 3-21,LV321_HUMAN,14,15,15,1253874.625,1914865.875,1212925.875
P98160,P98160,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,PGBM_HUMAN,7,8,8,11910.8154296875,14556.8837890625,10485.2705078125
Q01459,Q01459,CTBS,Di-N-acetylchitobiase,DIAC_HUMAN,1,1,1,9.321516990661621,354.0352783203125,212.93333435058594
Q01518,Q01518,CAP1,Adenylyl cyclase-associated protein 1,CAP1_HUMAN,2,2,2,10290.1787109375,19247.9296875,18202.26171875
Q03591,Q03591,CFHR1,Complement factor H-related protein 1,FHR1_HUMAN,18,17,17,970466.625,1035338.25,798915.3125
Q04756,Q04756,HGFAC,Hepatocyte growth factor activator,HGFA_HUMAN,16,16,17,61277.7109375,96859.2265625,98157.109375
Q06033,Q06033,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,ITIH3_HUMAN,31,31,31,321468.84375,327011.46875,374761.40625
Q07507,Q07507,DPT,Dermatopontin,DERM_HUMAN,1,1,1,8440.6689453125,8148.69482421875,10285.9130859375
Q08380,Q08380,LGALS3BP,Galectin-3-binding protein,LG3BP_HUMAN,14,15,15,65743.640625,128539.25,215829.765625
Q08830,Q08830,FGL1,Fibrinogen-like protein 1,FGL1_HUMAN,3,3,3,8042.7646484375,11502.677734375,3399.02490234375
Q12805,Q12805,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,FBLN3_HUMAN,15,15,15,80659.046875,84135.3984375,76106.3203125
Q12860,Q12860,CNTN1,Contactin-1,CNTN1_HUMAN,1,1,1,7910.0625,13622.2939453125,8606.3125
Q12907,Q12907,LMAN2,Vesicular integral-membrane protein VIP36,LMAN2_HUMAN,1,1,1,20149.21875,17480.978515625,13258.2255859375
Q13093,Q13093,PLA2G7,Platelet-activating factor acetylhydrolase,PAFA_HUMAN,3,3,3,6563.68896484375,11013.271484375,6843.68994140625
Q13103,Q13103,SPP2,Secreted phosphoprotein 24,SPP24_HUMAN,4,4,4,40240.84765625,41349.85546875,41819.421875
Q13201,Q13201,MMRN1,Multimerin-1,MMRN1_HUMAN,5,5,5,11787.2939453125,12613.62109375,11117.763671875
Q13418,Q13418,ILK,Integrin-linked protein kinase,ILK_HUMAN,3,3,3,5485.12060546875,7408.556640625,8025.9736328125
Q13569,Q13569,TDG,G/T mismatch-specific thymine DNA glycosylase,TDG_HUMAN,1,1,1,122291.53125,109411.4375,64417.4296875
Q13619,Q13619,CUL4A,Cullin-4A,CUL4A_HUMAN,1,1,1,72928.84375,51499.2734375,100174.3359375
Q13790,Q13790,APOF,Apolipoprotein F,APOF_HUMAN,1,1,1,141417.5625,197280.765625,164786.328125
Q13822,Q13822,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,ENPP2_HUMAN,6,6,6,13324.947265625,22532.732421875,12729.66796875
Q14118,Q14118,DAG1,Dystroglycan 1,DAG1_HUMAN,1,1,1,23636.30078125,25731.37109375,20529.81640625
Q14515,Q14515,SPARCL1,SPARC-like protein 1,SPRL1_HUMAN,2,2,2,4946.72412109375,12068.9443359375,6925.8271484375
Q14520,Q14520,HABP2,Hyaluronan-binding protein 2,HABP2_HUMAN,18,18,18,212293.78125,177537.671875,237707.84375
Q14573,Q14573,ITPR3,"Inositol 1,4,5-trisphosphate receptor type 3",ITPR3_HUMAN,1,1,1,34836.31640625,36041.984375,28994.193359375
Q14624,Q14624,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,ITIH4_HUMAN,83,83,83,2044264.75,1664662.125,1978630.375
Q14766,Q14766,LTBP1,Latent-transforming growth factor beta-binding protein 1,LTBP1_HUMAN,1,2,2,2567.974609375,4672.86328125,8984.2216796875
Q15063,Q15063,POSTN,Periostin,POSTN_HUMAN,1,1,1,2142.587890625,3610.2744140625,2187.216064453125
Q15113,Q15113,PCOLCE,Procollagen C-endopeptidase enhancer 1,PCOC1_HUMAN,3,4,4,14092.765625,18483.873046875,22025.759765625
Q15166,Q15166,PON3,Serum paraoxonase/lactonase 3,PON3_HUMAN,3,3,3,37203.16015625,61648.01953125,50528.7578125
Q15485,Q15485,FCN2,Ficolin-2,FCN2_HUMAN,8,8,8,66871.5546875,64683.453125,62273.09765625
Q15582,Q15582,TGFBI,Transforming growth factor-beta-induced protein ig-h3,BGH3_HUMAN,15,14,15,79394.4765625,75845.1875,78909.015625
Q15848,Q15848,ADIPOQ,Adiponectin,ADIPO_HUMAN,3,3,3,22200.703125,30489.296875,30955.970703125
Q16610,Q16610,ECM1,Extracellular matrix protein 1,ECM1_HUMAN,26,24,26,188218.46875,165140.609375,215739.28125
Q16627,Q16627,CCL14,C-C motif chemokine 14,CCL14_HUMAN,1,1,1,404.94671630859375,6112.21533203125,3483.01025390625
Q3V5L5,Q3V5L5,MGAT5B,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B",MGT5B_HUMAN,1,0,0,29195.072265625,NaN,NaN
Q5JTW2,Q5JTW2,CEP78,Centrosomal protein of 78 kDa,CEP78_HUMAN,1,1,1,2229189.5,1759169.75,1731289.5
Q5SZK8,Q5SZK8,FREM2,FRAS1-related extracellular matrix protein 2,FREM2_HUMAN,1,1,1,233251.5625,121594,170778.609375
Q6EMK4,Q6EMK4,VASN,Vasorin,VASN_HUMAN,6,6,6,48300.55859375,55347.1015625,53482.26171875
Q6Q788,Q6Q788,APOA5,Apolipoprotein A-V,APOA5_HUMAN,3,3,3,12337.5380859375,20068.912109375,13547.6455078125
Q6UX71,Q6UX71,PLXDC2,Plexin domain-containing protein 2,PXDC2_HUMAN,1,1,1,2785.604248046875,3567.15576171875,4349.23779296875
Q6UXB8,Q6UXB8,PI16,Peptidase inhibitor 16,PI16_HUMAN,4,6,6,17598.142578125,30351.24609375,28551.708984375
Q6UY14,Q6UY14,ADAMTSL4,ADAMTS-like protein 4,ATL4_HUMAN,1,1,1,20528.931640625,23444.939453125,16381.6044921875
Q76LX8,Q76LX8,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,ATS13_HUMAN,3,3,3,15921.4033203125,12923.599609375,21093.193359375
Q86U17,Q86U17,SERPINA11,Serpin A11,SPA11_HUMAN,1,1,0,2311.043701171875,3099.79150390625,NaN
Q86UD1,Q86UD1,OAF,Out at first protein homolog,OAF_HUMAN,1,1,1,5113.68896484375,3905.1494140625,3074.972900390625
Q86UX7,Q86UX7,FERMT3,Fermitin family homolog 3,URP2_HUMAN,8,8,8,15857.4404296875,26395.751953125,28796.974609375
Q86VB7,Q86VB7,CD163,Scavenger receptor cysteine-rich type 1 protein M130,C163A_HUMAN,2,3,2,6666.5576171875,6334.04833984375,8669.8720703125
Q86XI8,Q86XI8,ZSWIM9,Uncharacterized protein ZSWIM9,ZSWM9_HUMAN,1,1,1,304742.5625,325918.3125,226382.109375
Q86YA3,Q86YA3,ZGRF1,5'-3' DNA helicase ZGRF1,ZGRF1_HUMAN,1,1,1,9625.337890625,6324.55419921875,3483.7919921875
Q8IUE1,Q8IUE1,TGIF2LX,Homeobox protein TGIF2LX,TF2LX_HUMAN,1,1,1,10625.4267578125,11101.2001953125,11025.4755859375
Q8N9W8,Q8N9W8,GARIN2,Golgi-associated RAB2 interactor protein 2,GAR2_HUMAN,1,1,1,358014.875,378639.6875,285353.46875
Q8NBP7,Q8NBP7,PCSK9,Proprotein convertase subtilisin/kexin type 9,PCSK9_HUMAN,4,3,4,13462.94140625,7902.19921875,9580.4580078125
Q92496,Q92496,CFHR4,Complement factor H-related protein 4,FHR4_HUMAN,8,6,8,75646.4609375,35509.6328125,99721.6640625
Q92820,Q92820,GGH,Gamma-glutamyl hydrolase,GGH_HUMAN,2,2,2,40263.20703125,30621.9375,36458.5234375
Q92954,Q92954,PRG4,Proteoglycan 4,PRG4_HUMAN,13,13,14,131784.484375,93895.9765625,106246.828125
Q96EE4,Q96EE4,CCDC126,Coiled-coil domain-containing protein 126,CC126_HUMAN,1,1,1,9929.431640625,8874.2236328125,11564.5361328125
Q96IY4,Q96IY4,CPB2,Carboxypeptidase B2,CBPB2_HUMAN,17,17,17,210708.578125,232641.515625,298053.03125
Q96J42,Q96J42,TXNDC15,Thioredoxin domain-containing protein 15,TXD15_HUMAN,0,1,1,NaN,15321.6201171875,10361.5869140625
Q96KN2,Q96KN2,CNDP1,Beta-Ala-His dipeptidase,CNDP1_HUMAN,20,19,20,67484.71875,54431.59765625,81383.3515625
Q96PD5,Q96PD5,PGLYRP2,N-acetylmuramoyl-L-alanine amidase,PGRP2_HUMAN,32,32,32,732480.8125,727522.25,787079.125
Q99439,Q99439,CNN2,Calponin-2,CNN2_HUMAN,1,1,1,2067.491943359375,4784.57666015625,3534.954345703125
Q99784,Q99784,OLFM1,Noelin,NOE1_HUMAN,2,2,2,22733.83984375,28879.173828125,19576.72265625
Q99969,Q99969,RARRES2,Retinoic acid receptor responder protein 2,RARR2_HUMAN,3,3,3,17301.4765625,12346.8466796875,16545.064453125
Q9BUN1,Q9BUN1,MENT,Protein MENT,MENT_HUMAN,1,1,1,16329.14453125,27153.150390625,15286.3486328125
Q9BWP8,Q9BWP8,COLEC11,Collectin-11,COL11_HUMAN,5,5,5,26230.640625,22723.8671875,21948.236328125
Q9BXR6,Q9BXR6,CFHR5,Complement factor H-related protein 5,FHR5_HUMAN,14,14,14,53751.88671875,44086.80859375,70234.4453125
Q9BXY5,Q9BXY5,CAPS2,Calcyphosin-2,CAYP2_HUMAN,1,1,1,2810972,2241295.75,2462377
Q9BY67,Q9BY67,CADM1,Cell adhesion molecule 1,CADM1_HUMAN,1,1,1,1728.0888671875,4585.158203125,2689.072021484375
Q9BYJ0,Q9BYJ0,FGFBP2,Fibroblast growth factor-binding protein 2,FGFP2_HUMAN,1,1,1,1600.3206787109375,6634.697265625,2769.728271484375
Q9H299,Q9H299,SH3BGRL3,SH3 domain-binding glutamic acid-rich-like protein 3,SH3L3_HUMAN,1,1,1,5554.947265625,14451.427734375,14822.0478515625
Q9H4A9,Q9H4A9,DPEP2,Dipeptidase 2,DPEP2_HUMAN,2,2,2,1994.7772216796875,3809.67919921875,5465.3837890625
Q9H4B7,Q9H4B7,TUBB1,Tubulin beta-1 chain,TBB1_HUMAN,2,3,3,9142.4697265625,11554.5322265625,20464.400390625
Q9H4G4,Q9H4G4,GLIPR2,Golgi-associated plant pathogenesis-related protein 1,GAPR1_HUMAN,1,1,1,14695.8603515625,12924.240234375,13875.435546875
Q9HBI1,Q9HBI1,PARVB,Beta-parvin,PARVB_HUMAN,1,1,1,5345.45947265625,9763.6591796875,11680.4423828125
Q9HDC9,Q9HDC9,APMAP,Adipocyte plasma membrane-associated protein,APMAP_HUMAN,4,4,4,31209.6328125,45148.96875,36285.6484375
Q9NPG3,Q9NPG3,UBN1,Ubinuclein-1,UBN1_HUMAN,4,4,4,4245410,2480284,3337427
Q9NPH3,Q9NPH3,IL1RAP,Interleukin-1 receptor accessory protein,IL1AP_HUMAN,4,4,4,27154.958984375,66583.8125,36340.828125
Q9NPY3,Q9NPY3,CD93,Complement component C1q receptor,C1QR1_HUMAN,2,2,2,5597.5556640625,12291.265625,8127.74951171875
Q9NQ79,Q9NQ79,CRTAC1,Cartilage acidic protein 1,CRAC1_HUMAN,12,12,12,37977.83203125,38810.390625,41307.72265625
Q9NU22,Q9NU22,MDN1,Midasin,MDN1_HUMAN,1,1,0,6732.55322265625,5997.99609375,NaN
Q9NZP8,Q9NZP8,C1RL,Complement C1r subcomponent-like protein,C1RL_HUMAN,9,9,9,109572.65625,98158.2109375,117751.3046875
Q9P0K7,Q9P0K7,RAI14,Ankycorbin,RAI14_HUMAN,1,1,1,55649.203125,57910.07421875,51717.265625
Q9UBP4,Q9UBP4,DKK3,Dickkopf-related protein 3,DKK3_HUMAN,1,1,1,10529.8359375,12730.7861328125,10006.029296875
Q9UBX5,Q9UBX5,FBLN5,Fibulin-5,FBLN5_HUMAN,2,2,2,7087.30419921875,8337.4541015625,8492.9404296875
Q9UGM5,Q9UGM5,FETUB,Fetuin-B,FETUB_HUMAN,7,7,7,134627.53125,126699.0546875,81838.0546875
Q9UHG3,Q9UHG3,PCYOX1,Prenylcysteine oxidase 1,PCYOX_HUMAN,5,5,4,20407.19140625,24111.908203125,14072.025390625
Q9UJJ9,Q9UJJ9,GNPTG,N-acetylglucosamine-1-phosphotransferase subunit gamma,GNPTG_HUMAN,1,1,1,3528.68359375,9474.9677734375,8992.9326171875
Q9UK55,Q9UK55,SERPINA10,Protein Z-dependent protease inhibitor,ZPI_HUMAN,22,22,22,146989.09375,141418.65625,138860.921875
Q9ULI3,Q9ULI3,HEG1,Protein HEG homolog 1,HEG1_HUMAN,1,1,1,20922.74609375,25760.10546875,20558.599609375
Q9UNN8,Q9UNN8,PROCR,Endothelial protein C receptor,EPCR_HUMAN,3,3,3,9671.77734375,19768.2421875,27360.8125
Q9UNW1,Q9UNW1,MINPP1,Multiple inositol polyphosphate phosphatase 1,MINP1_HUMAN,3,3,3,15345.0078125,14185.388671875,14532.72265625
Q9Y274,Q9Y274,ST3GAL6,"Type 2 lactosamine alpha-2,3-sialyltransferase",SIA10_HUMAN,1,1,1,47356.89453125,75467.65625,48378.9765625
Q9Y337;Q9Y5K2,Q9Y337;Q9Y5K2,KLK5;KLK4,Kallikrein-5;Kallikrein-4,KLK5_HUMAN;KLK4_HUMAN,1,1,1,134752.6875,161158.546875,156708.625
Q9Y490,Q9Y490,TLN1,Talin-1,TLN1_HUMAN,27,31,31,19661.9765625,32132.73046875,32771.46875
Q9Y5C1,Q9Y5C1,ANGPTL3,Angiopoietin-related protein 3,ANGL3_HUMAN,1,1,1,35912.7890625,14319.896484375,23174.140625
Q9Y5Y7,Q9Y5Y7,LYVE1,Lymphatic vessel endothelial hyaluronic acid receptor 1,LYVE1_HUMAN,5,5,5,20069.525390625,21134.904296875,21765.052734375
Q9Y646,Q9Y646,CPQ,Carboxypeptidase Q,CBPQ_HUMAN,1,1,1,4607.8818359375,9319.685546875,10213.376953125
Q9Y6R7,Q9Y6R7,FCGBP,IgGFc-binding protein,FCGBP_HUMAN,17,19,19,42181.79296875,55661.4765625,69320.5546875
