PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.Quantity,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.Quantity,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.Quantity
P06733,P06733,ENO1,Alpha-enolase,ENOA_HUMAN,3,4,4,10827.359375,12972.6875,13527.423828125
P07195,P07195,LDHB,L-lactate dehydrogenase B chain,LDHB_HUMAN,5,6,6,12531.12109375,18778.138671875,17150.9296875
P07225,P07225,PROS1,Vitamin K-dependent protein S,PROS_HUMAN,33,32,33,413442,358374.25,385470.4375
P07237,P07237,P4HB,Protein disulfide-isomerase,PDIA1_HUMAN,1,1,1,2137.938232421875,2130.81396484375,2792.386474609375
P07307,P07307,ASGR2,Asialoglycoprotein receptor 2,ASGR2_HUMAN,1,1,1,10514.7705078125,5377.13623046875,12403.4599609375
P07333,P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor,CSF1R_HUMAN,4,4,4,29919.17578125,27714.359375,33633.45703125
P07339,P07339,CTSD,Cathepsin D,CATD_HUMAN,1,1,1,8228.6533203125,7372.2421875,7189.27783203125
P07357,P07357,C8A,Complement component C8 alpha chain,CO8A_HUMAN,33,29,33,525756.375,404837.90625,508008.34375
P07358,P07358,C8B,Complement component C8 beta chain,CO8B_HUMAN,32,32,32,303322.3125,225037.828125,306505.6875
P07359,P07359,GP1BA,Platelet glycoprotein Ib alpha chain,GP1BA_HUMAN,5,5,5,51336.06640625,60722.4609375,63974.8984375
P07360,P07360,C8G,Complement component C8 gamma chain,CO8G_HUMAN,12,12,12,143646.046875,128735.734375,153311.203125
P07437;P68371;Q13509;Q13885;Q9BVA1,P07437;P68371;Q13509;Q13885;Q9BVA1,TUBB;TUBB4B;TUBB3;TUBB2A;TUBB2B,Tubulin beta chain;Tubulin beta-4B chain;Tubulin beta-3 chain;Tubulin beta-2A chain;Tubulin beta-2B chain,TBB5_HUMAN;TBB4B_HUMAN;TBB3_HUMAN;TBB2A_HUMAN;TBB2B_HUMAN,2,2,2,3266.612060546875,12904.0546875,9672.384765625
P07602,P07602,PSAP,Prosaposin,SAP_HUMAN,1,1,1,29956.220703125,25928.3125,21177.494140625
P07737,P07737,PFN1,Profilin-1,PROF1_HUMAN,5,5,5,39671.9375,73221.984375,69346.8515625
P07996,P07996,THBS1,Thrombospondin-1,TSP1_HUMAN,33,35,35,110034.015625,131250.671875,150144.234375
P07998,P07998,RNASE1,Ribonuclease pancreatic,RNAS1_HUMAN,3,3,3,20314.46484375,24952.830078125,21480.50390625
P08185,P08185,SERPINA6,Corticosteroid-binding globulin,CBG_HUMAN,18,18,18,521936.90625,532718.9375,549255.9375
P08253,P08253,MMP2,72 kDa type IV collagenase,MMP2_HUMAN,1,1,1,1312.365234375,7282.56103515625,5034.056640625
P08311,P08311,CTSG,Cathepsin G,CATG_HUMAN,4,4,4,25017.78515625,11969.5625,9165.7587890625
P08514,P08514,ITGA2B,Integrin alpha-IIb,ITA2B_HUMAN,3,3,3,6789.87451171875,9793.74609375,10977.529296875
P08519,P08519,LPA,Apolipoprotein(a),APOA_HUMAN,73,56,44,5571471.5,883717.875,253733.625
P08567,P08567,PLEK,Pleckstrin,PLEK_HUMAN,1,1,1,21211.416015625,33735.89453125,39514.60546875
P08571,P08571,CD14,Monocyte differentiation antigen CD14,CD14_HUMAN,13,13,13,75049.4375,81181.5078125,67687.078125
P08603,P08603,CFH,Complement factor H,CFAH_HUMAN,123,123,123,2413317.25,2236068,2719079.25
P08637,P08637,FCGR3A,Low affinity immunoglobulin gamma Fc region receptor III-A,FCG3A_HUMAN,3,3,3,25746.466796875,30873.498046875,27541.771484375
P08697,P08697,SERPINF2,Alpha-2-antiplasmin,A2AP_HUMAN,36,36,36,1349658.125,1421048.25,1315163.25
P08709,P08709,F7,Coagulation factor VII,FA7_HUMAN,8,8,8,23776.43359375,24033.099609375,20743.357421875
