File,Glycan_Composition,Moiety_Mass_(Da),Glycan_Type,Glycan_Mass_(Da),num_Protein,num_Site,Percent_Relative_Abundance_in_Sample
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,1897.682,4,4,0.9808
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2262.8142,5,6,0.9567
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2262.8142,5,6,0.9132
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,1897.682,4,4,0.9
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(4),0,Complex/Hybrid,3517.2275,7,14,0.896
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(4),0,Complex/Hybrid,3517.2275,7,14,0.8894
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(5)Fuc(1),0,Complex/Hybrid,1809.666,4,4,0.8855
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(3),0,Complex/Hybrid,3226.1321,6,14,0.8757
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,1897.682,4,4,0.8718
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(2),0,Oligo-Mannose,1378.4756,5,5,0.8564
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(5)Fuc(1),0,Complex/Hybrid,1809.666,4,4,0.8532
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(4),0,Complex/Hybrid,3517.2275,8,15,0.8274
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2)Fuc(2),0,Complex/Hybrid,2862.0203,15,17,0.8252
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(4),0,Complex/Hybrid,1622.5815,9,11,0.7853
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(1)Fuc(2),0,Complex/Hybrid,2570.9249,11,15,0.7809
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(5)Fuc(1),0,Complex/Hybrid,1809.666,3,3,0.7744
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(8)HexNAc(6)NeuAc(4)Fuc(3),0,Complex/Hybrid,4117.454,2,2,0.7636
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(3)HexNAc(5)Fuc(1),0,Complex/Hybrid,1647.6132,3,3,0.6349
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2262.8142,5,6,0.6272
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(10)HexNAc(8)NeuAc(2),0,Complex/Hybrid,3827.3539,2,2,0.5571
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(3),0,Complex/Hybrid,3226.1321,6,11,0.5443
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(4),0,Complex/Hybrid,1622.5815,11,12,0.5114
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(3)HexNAc(5)Fuc(1),0,Complex/Hybrid,1647.6132,3,3,0.5034
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(3)HexNAc(3)Fuc(1),0,Complex/Hybrid,1241.4544,3,3,0.4827
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(3)HexNAc(3)Fuc(1),0,Complex/Hybrid,1241.4544,3,3,0.4627
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(3),0,Complex/Hybrid,3226.1321,4,6,0.4439
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(4),0,Complex/Hybrid,1622.5815,14,15,0.4379
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(4)NeuAc(1),0,Complex/Hybrid,2075.7298,5,5,0.4368
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(3)HexNAc(3)Fuc(1),0,Complex/Hybrid,1241.4544,3,3,0.4084
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(3)HexNAc(5)Fuc(1),0,Complex/Hybrid,1647.6132,3,3,0.4061
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(1),0,Complex/Hybrid,2278.8091,11,15,0.3877
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,2221.7877,5,5,0.3866
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(5)Fuc(1),0,Complex/Hybrid,1971.7188,6,6,0.3841
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(3)Fuc(1),0,Complex/Hybrid,1403.5073,4,4,0.3811
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1548.5448,16,21,0.3704
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(5)Fuc(1),0,Complex/Hybrid,1971.7188,7,8,0.3688
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(5)Fuc(1),0,Complex/Hybrid,1971.7188,5,6,0.3626
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(4),0,Complex/Hybrid,1460.5287,3,3,0.3507
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(1)Fuc(2),0,Complex/Hybrid,2570.9249,12,15,0.34
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(4)Fuc(2),0,Complex/Hybrid,1914.6973,14,15,0.3244
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(4),0,Complex/Hybrid,1460.5287,3,3,0.3201
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(1),0,Complex/Hybrid,2278.8091,13,17,0.3183
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(3)Fuc(1),0,Complex/Hybrid,1403.5073,4,4,0.3093
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(3)Fuc(1),0,Complex/Hybrid,1403.5073,4,4,0.3044
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2)Fuc(2),0,Complex/Hybrid,2862.0203,11,14,0.2957
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1548.5448,21,26,0.2912
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(2),0,Complex/Hybrid,2935.0367,6,11,0.2894
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(2),0,Complex/Hybrid,2935.0367,4,9,0.2759
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(4)Fuc(4),0,Complex/Hybrid,2206.8131,7,8,0.2541
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(1),0,Complex/Hybrid,2278.8091,4,6,0.2489
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2)Fuc(2),0,Complex/Hybrid,2862.0203,14,20,0.2408
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(7)HexNAc(2),0,Oligo-Mannose,1540.5284,4,4,0.2324
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2)Fuc(1),0,Complex/Hybrid,2715.9624,8,17,0.2271
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1548.5448,19,21,0.2241
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(1)Fuc(2),0,Complex/Hybrid,2570.9249,9,16,0.2171
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(8)HexNAc(2),0,Oligo-Mannose,1702.5813,4,4,0.2109
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(6)NeuAc(3),0,Complex/Hybrid,2902.0265,1,2,0.2075
