Glycan_Composition	avg_pct_rel_abundance_Ti_IMAC_glycan	sd_pct_rel_abundance_Ti_IMAC_glycan	avg_pct_rel_abundance_PolyA_rep1_glycan	sd_pct_rel_abundance_PolyA_rep1_glycan	avg_pct_rel_abundance_PolyA_rep2_glycan	sd_pct_rel_abundance_PolyA_rep2_glycan
H(5)N(4)S(2)	34.5034666666667	1.19695372647957	43.5108333333333	1.95942375287566	37.7219666666667	0.650391223290516
H(5)N(4)S(1)	8.6117	0.359997097210519	8.10093333333333	0.44185071385405	7.2706	0.215976318146226
H(6)N(5)S(3)	7.86323333333333	0.346847694721088	9.45006666666667	0.737376839433768	14.9164333333333	0.398445157246683
H(4)N(4)F(1)	5.02866666666667	0.423993022741334	1.8655	0.08625004347825	0.0131666666666667	0.00349618840072061
H(5)N(4)S(1)F(1)	5.16173333333333	0.168717051104307	3.532	0.050542160618636	3.21726666666667	0.202691941954616
H(5)N(4)F(1)	4.35036666666667	0.581732621857614	2.95243333333333	0.105165314307206	0.600166666666667	0.0368088757412303
H(5)N(4)S(1)F(2)	3.3822	1.34918863395746	0.589666666666667	0.447604226223718	0.279066666666667	0.171989602398905
H(3)N(4)F(1)	1.96593333333333	0.175748238492832	0.0596	0.0182156526097749	0.000766666666666667	0.000208166599946613
H(5)N(4)S(2)F(1)	1.91913333333333	0.136153051134866	3.33936666666667	0.170909927544696	3.54546666666667	0.0871032337708155
H(6)N(5)S(2)	1.70576666666667	0.039950260741744	2.36976666666667	0.123547413300859	2.9262	0.358516736011026
H(9)N(2)	1.26746666666667	0.149280987849536	1.98066666666667	0.0436286985060675	2.70256666666667	0.262129840600671
H(6)N(5)S(3)F(1)	1.25363333333333	0.0932811520797922	4.544	0.0354509520323503	8.13633333333333	0.185209323019478
H(6)N(2)	1.08053333333333	0.194115463921176	0.0219	0.0108586371152185	0.0136	0.000519615242270664
H(5)N(4)F(2)	0.8613	0.469291817529349	0.105966666666667	0.101701589630317	0.0514	0.0232785308814796
H(4)N(4)S(1)F(1)	0.917533333333333	0.056575730957128	1.31836666666667	0.0700043093911605	0.125366666666667	0.0224018600418209
H(5)N(5)S(1)F(1)	0.832366666666667	0.179005819272261	0.7402	0.0958288056901473	1.38913333333333	0.0399815374058245
H(7)N(6)S(4)	0.870933333333333	0.0378451229794981	0.652	0.0728588361147775	1.09036666666667	0.0462063127000341
H(7)N(6)S(3)	0.6213	0.225963625391345	0.433433333333333	0.0528566299846418	1.2625	0.20246202112989
H(6)N(5)S(2)F(2)	0.4539	0.322724758889057	0.0446666666666667	0.00223681320930768	0.246066666666667	0.203744382335645
H(5)N(4)	0.5782	0.183080228315348	0.257033333333333	0.00686755657663869	0.145033333333333	0.0559633213214989
H(6)N(5)S(1)F(2)	0.446	0.296470251458726	0.0469333333333333	0.00655921743299712	0.0658666666666667	0.0215486271797842
H(3)N(3)F(1)	0.451266666666667	0.0384468897745102	0.1206	0.0081902380917773	0.0089	0.00393573373083089
H(6)N(4)S(1)	0.197666666666667	0.207356512637856	0.0813333333333333	0.0204912989664719	0.0478333333333333	0.00627800392906323
H(6)N(5)S(1)	0.3183	0.0694	0.702833333333333	0.0185457092971214	0.2138	0.0295196544695225
H(6)N(4)S(1)F(1)	0.168166666666667	0.189198476033327	0.0159333333333333	0.0138904043617648	0.224933333333333	0.0111266946274863
H(5)N(5)F(1)	0.371833333333333	0.0110663152554648	0.2819	0.0248372703814248	0.0583	0.026257760757536
H(4)N(3)F(1)	0.3316	0.0429382114205983	0.1879	0.00535630469633683	0.0522333333333333	0.00617440955341751
