RT	Window.Low	Window.High	204.087
0.0366367	625.534	630.536	0
0.0368256	630.537	635.539	0
0.0369896	635.539	640.541	0
0.0371823	640.541	645.543	0
0.0373461	645.543	650.546	0
0.0375101	650.546	655.548	0
0.0376992	655.548	660.55	0
0.0378632	660.55	665.552	0
0.0380271	665.552	670.555	0
0.038216	670.555	675.557	60.8623
0.0384051	675.557	680.559	0
0.0385944	680.559	685.561	0
0.0387833	685.561	690.564	131.861
0.0396761	690.564	695.566	0
0.0398651	695.566	700.568	0
0.0400567	700.568	705.571	236.604
0.0402483	705.571	710.573	0
0.0404121	710.573	715.575	0
0.0406012	715.575	720.577	0
0.0407651	720.577	725.58	112.677
0.0409291	725.58	730.582	0
0.0411067	730.582	735.584	0
0.0412957	735.584	740.587	62.1729
0.0414872	740.587	745.589	288.193
0.0416511	745.589	750.591	0
0.04184	750.591	755.593	0
0.0420289	755.593	760.596	84.5015
0.0422437	760.596	765.598	0
0.0424327	765.598	770.6	261.402
0.0425993	770.6	775.602	0
0.0427909	775.602	780.605	71.0941
0.0429801	780.605	785.607	164.845
0.0431729	785.607	790.609	222.375
0.0433388	790.609	795.612	0
0.0435292	795.612	800.614	0
0.0437005	800.614	805.616	0
0.0438903	805.616	810.618	164.668
0.0440803	810.618	815.621	144.381
0.0442444	815.621	820.623	0
0.0444333	820.623	825.625	0
0.0446223	825.625	830.627	0
0.0448128	830.627	835.63	0
0.045002	835.63	840.632	0
0.0451659	840.632	845.634	97.9089
0.0453317	845.634	850.637	96.2912
0.0455205	850.637	855.639	0
0.0456948	855.639	860.641	0
0.0458587	860.641	865.643	0
0.0460261	865.643	870.646	76.2857
0.0461927	870.646	875.648	90.1719
0.0463599	875.648	880.65	0
0.0465263	880.65	885.652	156.969
0.0467252	885.652	890.655	0
0.0468892	890.655	895.657	0
0.0470783	895.657	900.659	259.459
0.0472671	900.659	905.662	110.233
0.0474311	905.662	910.664	189.656
0.0476051	910.664	915.666	0
0.0477941	915.666	920.668	519.912
0.0479855	920.668	925.671	0
0.0481789	925.671	930.673	100.026
