"ID108129_02","ID108129_03","ID108129_04","IDPhos_01","IDPhos_02","IDPhos_03"
0,0,0,0,0,0
0,0,0,0,0,0
0,231.987,0,0,0,0
0,0,104.461,0,89.6427,104.486
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
175.379,0,0,0,0,0
0,0,82.8634,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
85.8372,0,103.254,0,0,0
0,147.682,0,0,0,0
58.6446,0,0,0,0,0
0,0,83.2162,0,0,0
0,133.116,161.543,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,213.042,252.597,0,0,0
0,59.3502,0,103.554,0,0
0,0,0,0,0,0
0,0,0,0,0,0
63.7233,263.081,0,72.9843,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
118.592,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,114.455,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,68.6678,0,0,0,0
100.404,0,960.666,0,0,0
0,0,0,0,0,0
0,67.7037,0,0,0,132.788
0,0,0,0,0,231.962
0,0,0,0,0,0
0,99.3689,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
118.65,0,0,0,0,0
0,0,0,0,0,0
0,0,0,80.1416,0,0
0,0,0,0,0,0
125.908,0,0,0,0,0
186.569,0,0,0,0,0
0,0,0,0,0,0
247.602,0,222.658,0,0,0
0,0,306.705,0,0,0
0,0,0,0,0,0
0,110.51,173.722,0,0,0
0,0,0,0,0,0
0,0,102.992,0,0,103.604
0,0,0,0,0,0
0,108.829,65.4387,0,0,0
0,0,150.354,0,0,0
0,0,0,0,0,0
0,316.131,126.11,0,0,156.71
0,220.188,0,0,0,0
163.244,142.886,0,0,0,162.879
0,628.958,0,0,0,0
0,0,109.426,0,0,0
0,144.431,91.6588,0,0,0
90.3735,0,0,0,239.454,0
0,322.053,86.1249,0,0,0
0,0,92.2636,0,0,0
0,0,151.664,0,102.017,0
288.495,0,106.004,0,0,0
0,122.884,303.782,0,0,0
0,283.948,141.739,0,0,0
0,190.878,0,0,0,0
0,625.911,352.42,0,0,0
0,0,0,138.232,0,0
496.248,783.927,176.513,0,0,0
0,0,0,0,0,134.804
0,101.538,0,0,0,0
0,265.892,377.875,0,157.688,0
0,543.653,389.958,0,117.163,0
0,0,250.882,0,0,0
184.855,287.982,259.427,0,0,0
58.8965,188.912,104.688,0,0,0
87.803,546.173,227.421,0,0,0
0,155.722,0,0,0,0
0,329.489,498.415,0,0,0
101.412,0,389.933,0,0,0
101.11,125.177,765.781,0,0,0
110.418,566.989,0,0,0,0
0,378.858,531.784,0,0,0
160.317,0,162.078,0,0,0
0,0,463.839,0,0,0
78.327,74.1184,412.225,0,0,79.3101
0,162.955,259.434,0,0,0
71.9006,362.814,277.497,0,0,0
0,321.02,607.514,0,0,0
193.516,1023.05,493.879,0,0,0
358.273,560.114,578.252,0,0,0
366.282,249.775,0,0,0,0
228.228,130.092,659.48,0,0,222.33
104.058,0,337.048,0,99.7474,0
0,672.761,277.295,234.104,0,0
329.409,412.662,189.038,0,156.71,70.7413
0,372.91,473.686,0,0,0
143.693,209.023,0,0,0,0
0,0,331.958,0,0,0
216.483,0,91.9774,0,0,0
146.12,353.808,327.42,112.072,0,0
0,215.186,140.878,0,0,105.016
0,377.698,235.435,0,0,0
0,158.065,184.636,0,192.078,142.734
164.215,220.339,479.262,0,0,156.73
100.379,457.236,179.563,0,0,0
553.355,200.48,283.727,0,0,0
501.112,0,73.7636,0,277.32,0
422.526,458.773,102.143,0,168.163,212.875
176.06,683.371,217.92,0,0,0
469.044,276.866,448.056,0,154.411,56.4268
698.534,389.241,371.904,0,0,257.688
0,693.565,78.0774,0,0,382.087
821.426,577.876,71.1194,0,0,228.051
54.5911,356.381,259.679,0,92.8857,294.785
328.152,202.723,0,0,110.318,100.051
226.44,286.754,659.533,0,0,0
404.968,924.946,0,0,85.9229,0
85.6861,275.758,212.627,0,113.131,0
381.86,104.566,102.674,0,251.715,96.296
58.6274,111.251,237.451,154.436,0,0
0,418.148,264.316,0,0,97.8584
1121.88,638.437,0,0,0,0
210.821,345.912,316.887,0,0,0
423.535,796.768,428.934,0,84.3503,249.85
365.715,490.767,323.384,0,142.482,0
349.876,197.985,589.806,131.861,0,115.399
0,0,0,0,0,0
0,190.601,0,0,0,0
0,0,0,0,0,0
0,365.829,0,0,187.411,0
67.9866,0,0,0,71.8212,0
0,97.5299,81.4073,0,81.8111,0
0,0,0,0,0,0
0,56.4268,0,0,0,70.7616
0,53.809,0,0,0,0
0,0,315.854,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,76.8151,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
352.094,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,123.388,0,0,0
0,0,0,0,0,0
0,72.9339,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,104.865
0,0,0,0,0,0
69.3048,0,0,0,0,0
0,0,0,0,0,0
0,0,149.116,0,0,0
0,0,0,0,0,114.592
0,0,0,0,0,0
0,0,93.2717,0,0,0
0,0,0,0,0,0
0,0,252.421,0,0,0
0,0,98.1329,0,0,0
0,71.5941,251.564,0,188.988,0
0,222.552,238.899,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
158.872,0,0,0,0,0
0,0,0,0,0,0
0,0,97.052,0,79.4901,0
0,0,0,0,0,0
315.703,0,144.05,0,0,111.402
0,0,150.277,0,0,0
0,0,0,0,0,0
0,207.996,0,0,0,0
0,0,249.394,120.59,0,0
0,192.743,60.9631,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,201.161,0,0,0,0
0,0,57.6869,0,0,97.8806
60.8623,0,110.283,0,0,0
0,103.957,283.753,0,0,0
0,151.967,116.533,0,0,0
131.861,0,82.0821,0,0,0
0,0,79.5367,0,0,136.503
0,66.5831,0,0,0,225.58
236.604,74.9752,0,0,0,0
0,0,0,0,0,0
0,0,463.823,0,0,0
0,0,0,0,0,0
112.677,0,0,0,0,0
0,0,146.442,0,0,0
0,0,0,0,60.711,0
62.1729,0,246.776,0,0,0
288.193,302.471,0,0,0,0
0,120.767,0,0,0,0
0,207.688,291.534,0,0,0
84.5015,470.104,310.839,0,0,0
0,129.588,109.376,0,0,0
261.402,181.428,134.46,0,0,109.401
0,0,283.091,0,0,0
71.0941,75.2525,649.449,0,0,0
164.845,69.4309,126.966,0,0,0
222.375,150.354,70.6858,0,0,0
0,368.043,0,0,0,0
0,199.63,429.663,0,0,0
0,0,326.716,0,120.812,0
164.668,102.445,426.815,0,0,0
144.381,201.513,689.394,0,0,0
0,223.233,168.272,0,0,210.41
0,197.683,536.268,0,0,99.547
0,405.094,666.083,148.006,0,0
0,172.052,0,0,0,0
0,406.177,657.238,0,0,0
97.9089,0,232.285,0,0,0
96.2912,213.874,459.988,0,156.276,183.98
0,0,358.848,0,0,0
0,451.865,142.314,0,158.274,0
0,211.443,65.8774,0,0,0
76.2857,1268.86,731.607,0,0,0
90.1719,193.852,503.712,0,0,0
0,569.862,1341.97,0,0,0
156.969,148.435,93.2466,0,0,0
0,581.986,541.334,0,0,183.091
0,275.201,454.211,0,0,0
259.459,245.264,515.059,143.801,0,0
110.233,0,581.405,0,0,0
189.656,266.231,370.003,0,0,0
0,315.236,311.897,0,0,191.912
519.912,233.771,359.402,0,0,0
0,468.565,58.8713,0,72.1491,0
100.026,0,168.869,0,0,153.96
175.656,128.882,157.738,0,0,0
