,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_3,SPQC_4,SPQC_5
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
P01762,26938.46289,29489.83984,27296.41406,29671.82227,22900.62891,28019.44141,24881.39648,30269.42773,30608.93359,32958.13281,26131.70508,27659.72852,30560.11523,29316.42383,21791.14844,32310.3418,35103.27344,33054.48438,33922.63281,31103.8457,17948.62305,17339.88281,17257.02734,18415.48633,22316.28906,21375.1582,23927.59766,19978.5957,18849.33984,41297.52734
P01763,58674.20703,64091.17578,57852.65234,61997.84375,56700.05469,58980.92969,54230.75781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3518.739258,NA,NA,39971.47656,40546.45313,41801.66406,46284.60156,39430.71875,40849.23438,37954.12109,37309.95313,33802.9375,26983.68359
P01764,3942275,4010944.25,4061883.75,4035065,4073549.5,4211935.5,4109360,4670196,4573697,4460745,4529108,4586958.5,4615926.5,4649784,5266383.5,5321932,5201812.5,5230134.5,5445885,4937694,3471449.5,3439402.75,3364048,3379425,3370816.5,3503383.5,3618290,4019867.25,4003366.5,4091225
P01766,70898.44531,73656.00781,69868.99219,67291.71094,68132.4375,66377.94531,66568.86719,63090.20313,63187.71875,61206.58984,64578.13281,62422.60156,64724.64453,65698.57813,95769.67188,92988.16406,92292.24219,90182.78906,91980.75,79364.39063,66667.82813,66910.49219,67852.78125,71166.25781,70639.04688,69544.88281,66571.875,71770.39844,67061.45313,67235.25781
P01767,259651.4844,260418.9375,234396.7656,277805.375,242417.6875,253976.3906,272762.2188,361977.6563,332989.4375,366386.0313,319083.0938,278885.4375,377499.4688,374303.7188,327236.7813,317879.8438,363558.9063,359972.0313,362083.3438,352103.8125,237713.1094,231781.3594,224466.5,203557.9219,215642.6875,228012.7969,213835.7031,192129.4688,197439.2344,244807.7344
P01768;P0DP03,358058.4375,317626.875,370609,314372.6875,344587.7813,323634.1875,334842,514273.0313,515957.9375,498273.9688,486709.7188,502329.8125,497483.2188,475823.1875,367045.2188,388432.3125,380099.5313,382091.0938,369259.9375,371960.25,304935.4375,311598.75,293615.4375,302722.0938,290602.25,294623.75,288727.4688,357041.0938,373514.8438,354382.3125
P01780,253950,242010.875,235759.6719,252625.5781,245394.9531,245237.8906,263449.4063,197627.0938,195318.6094,192502.4844,184654.75,186839.875,206345.5625,196897.0625,268204.0938,268420.2813,268648.75,283814.3125,299519.7813,312704.25,168762.5625,181369.7031,164581.5469,178615.9688,177473.4688,171872.4531,177153.8125,235490.4844,236148.75,240542.9531
P01782,1299459.75,1291810.75,1341967,1337879.25,1332137.75,1285004.75,1229291.375,966686.75,971071,924761.375,943430.0625,948874.4375,953912.875,928737.1875,241197.2344,240800.375,334501.875,386770.3125,299531.5938,293635.9063,1037421.875,1070452.125,1044128.25,1070775.875,1088605.75,1058930.5,1059029.5,925128.25,950406.375,907917.1875
P01814,31365.45703,34480.10547,33602.04297,33602.60547,31340.68164,33009.14063,33738.26172,NA,3353.597656,NA,NA,5441.913574,4883.539063,NA,22865.17773,24284.58594,25975.74219,27547.68359,29327.81641,27264.27148,NA,NA,NA,NA,NA,NA,NA,16896.92188,17453.6875,18403.77539
P01817,36979.36328,42696.40234,43044.54297,43743.81641,38636.82031,43659.26563,41500.36719,33384.71094,38577.58203,34316.14844,39105.5625,33985.49609,37095.74219,34492.9375,61085.9375,58168.47266,62111.9375,64529.52344,66007.23438,66732.50781,38911.56641,37728.80469,35330.70313,31719.5293,34998.44141,28401.99805,29030.32813,43654.48047,43312.4375,41902.47266
P01824,692058.9375,700759.875,694082.75,683665.25,692479.125,709242.25,667396.125,943488.75,909347.3125,934306.4375,940837.5625,938767.5,952651.625,918285.125,878053.75,860365.125,870143.4375,881256.5625,869715.9375,815183,555796.3125,565195.0625,551997,589124.5625,544330.375,576617,545659.75,691822.6875,680069.375,687157.5625
P01833,17051.84375,17046.39648,17794.92578,16220.24609,16628.78906,15036.24219,16672.23633,28846.07813,27460.89453,27871.54883,28618.05273,27336.56055,27156.90234,27474.09766,21308.50195,21991.52148,20728.13672,20440.04883,18107.8125,15945.35352,14393.08594,14772.28906,13872.69629,13954.84863,14064.02051,13865.00391,13234.69238,16902.80469,17697.71289,18286.82617
P01834,47283096,47214632,46413520,45444956,46572096,46648344,46148328,42378884,41365808,42041516,41342240,40278684,40675344,41933128,36616384,35506144,34631552,35504092,35947372,37681576,34314424,33166026,33820876,33016500,32908920,32954204,33728752,37156588,38687336,39445424
P01857,40605392,41260792,40771152,40239748,41081476,40908212,40718988,51515188,50364568,50241148,50537432,50162448,50510752,49625016,29887856,29411524,28915110,28986528,29854464,28195646,32057978,31242814,30967042,31396472,31061344,30967094,30981482,37338396,38073532,38476496
P01859,39898396,38346348,38315248,36783448,38426628,36034400,33669836,23432982,23753716,22851974,23038194,22287244,22765614,22421466,33230422,32151164,32350028,31341000,29842108,28970880,29351286,28622176,28475430,27828196,28110418,27678692,27551268,28483444,28284562,27771612
P01860,3234189.25,3335439,3297534,3272971.25,3393284.5,3282566,3152829.75,3685992.75,3783518.25,3866732.75,3824309,3704359.5,3649298.75,3636303.5,2208621,2175313,2124640.25,2118320.25,2115113.25,1891124.625,1584304.125,1607483.5,1534676.5,1587108.125,1597729.25,1495481,1488053.125,2622399,2622865,2491780
P01861,13872852,14004696,14257092,13637825,14232500,13758774,13456602,5015889,5258632,5164049.5,5108626,5004619,5090313.5,5172868,5730704.5,5674961.5,5608807.5,5253115,5464238,5139860,6478946.5,6306113,6254805.5,6351107.5,6336676,6379576.5,6215347,7598072.5,7682130,7651497
P01871,5514084.5,5484517.5,5527006.5,5445007.5,5535905.5,5337156.5,5340834,7324287,7262366,7158648,7178930.5,7054742,7201826.5,7146263,4825006.5,4817864,4694953,4797069,4770985.5,4742431.5,3294857.75,3242445.25,3231610.25,3294590.75,3243081.25,3299612,3262934.75,5036233,5065001,5102978.5
P01876,17848100,17821806,17356382,17404592,17154846,16326659,15546855,12416501,12168958,12120301,12082109,11965508,11586732,11519505,18001390,17568618,17620560,17315420,16526933,14992289,9768573,9609203,9552000,9450267,9575686,9332608,9253220,13687006,13468673,13705558
P01877,11059032,11010948,11031408,10772569,10975517,10660049,11011887,8172259.5,8051860,7900078,7870018,7731117.5,8115827.5,7858814.5,10890917,10721966,10685503,11004971,11293498,11480179,6465455,6376693.5,6304287,6454892,6341124,6293222.5,6375802.5,9220057,9296381,9369747
P01880,403809.9375,397003.9688,398992.2188,396892.75,408850.3438,370141.5313,360037.875,363967.0625,361780.75,356469.2188,356279.9375,355046.4063,345935.5,341826.6563,122215.9375,122511.4531,118278.0547,115326.9844,112954.2891,106517.6875,229690.9063,223426.5781,217023.0781,221556.8594,224272.8125,215593.3906,220093.8438,268036.9688,274178.4063,267124.7813
P01889,6769.870605,8437.973633,8745.982422,8091.208496,10037.93066,10286.34375,13953.09961,12463.16211,15632.35645,15133.43262,14715.57324,17358.05664,13456.49023,18647.63867,16232.08984,18491.07227,18163,17053.41406,18486.40039,23316.09375,9936.361328,15124.59961,19104.59961,17207.48047,20213.80078,17327.03516,24638.68359,14262.43848,18458.53711,12114.61328
P02042,1993115.625,4438874.5,5441762,10807485,6977924,14501851,17082354,3346411.75,5024060,4402584.5,7012576.5,9052529,17853894,16271402,5228972.5,5276699.5,9148644,12389081,21060156,23453182,3425517.75,2720918,4284423.5,7236212.5,5451265,11839440,13162336,10416217,10292038,10246609
P02549,NA,1857.515015,3249.264648,8670.154297,2060.822754,7513.674805,10428.92383,3240.518311,1997.934448,2749.140137,5326.487793,5356.851563,8416.040039,12110.72363,3509.962158,2738.480225,5731.69873,8455.597656,13499.07715,9696.150391,1352.407104,NA,1442.481567,2900.769043,4110.893066,5764.72168,9616.670898,6049.744629,5963.891602,6004.449707
P02647,19947616,19818132,19809982,19669442,19838912,19773704,20932122,25541320,25764446,25229734,25485600,25461036,26658552,26501752,26178720,26406900,26160342,26374642,28477052,31605800,22961764,23155892,22902624,23087734,22978298,22915694,23914070,25212910,24546776,24756074
P02649,1621241.125,1595219.125,1611680.75,1578417.25,1583124.25,1586323.875,1645916.625,1404336.125,1425102,1395755.625,1378431.75,1374656.375,1407048,1424715.5,1941085.75,1940209.75,1915296,1916503.75,2015744.75,2164846.5,1251094.875,1239639.25,1223287,1231515.5,1225591.375,1215921.25,1239419.5,1578317.25,1551002.875,1558747.25
P02652,7005174.5,6855799.5,6963855,7069586.5,6882872,6893773,7125145.5,5939888.5,6051394.5,5923161,5989757.5,5905926.5,5974505,5925714,9193692,8904952,8583545,8936942,9336988,9980700,5763188,5900335,5798675.5,5842495,5918431.5,5655044.5,5854304.5,6814694,7318760,7232907.5
P02654,1512549.375,1496559.875,1540213.625,1454261.875,1474788,1553632.5,1769631.375,1703927.5,1679886.375,1639464.25,1635908.875,1651794.5,1856524.75,1836447.625,2095075.875,2072056,2087174.75,2158170,2456038.75,2857932,1661166.5,1610566.375,1580547.5,1669280.125,1619098.125,1766101.875,1795000.625,1923875.25,1911369.625,1971109
P02655,961039.5625,936230.375,911855.5625,909986.0625,953707.125,909846.9375,944583.5625,997341.5625,991674.3125,988302.4375,992687.5625,990228.75,1000795.563,999411.5625,1039012,1034753.688,1048549.875,1052311,1046824.5,1177637.25,1015826.875,963538.3125,995090.4375,1020824.563,985918.0625,1038692.25,990229.75,946507.5,981955.875,979448.25
P02656,3812113.25,3946427.5,3874507.75,3795793.75,3845187.5,3648259,3972131.75,3813555.25,3718768.5,3740100.75,3652648,3642884.25,3498587.5,3466792.25,5150820.5,4764470.5,4904431,4828153.5,5215114,5129822.5,3759051.5,3988626,3806589.5,4080663.75,3814192,3630814.75,3472665,4278350.5,4058733.25,4210812.5
P02671,15000662,14839579,14786676,14761204,15137454,15107352,15565651,11129414,11105107,11147923,11181305,11068977,11594580,11677612,11573713,11500769,11522895,11310148,12537820,13748454,13678841,13672527,13611392,13687346,13671179,14493340,14582717,12792934,12920377,13087314
P02675,14627309,14611706,14593136,14328008,14400099,14119072,13954649,10872186,11060803,10826448,10763090,10549008,10717733,10457651,11133027,11020209,11060929,10772196,10969362,10905180,13169269,13170948,12993647,13142793,12942392,12731628,12675814,12302493,12064281,12087249
P02679,9342161,9309586,9348878,9433765,9456348,9534676,9755920,7197305.5,7226582,7152289,7196243,7072139.5,7340084.5,7257742,7299473.5,7220440,7300524.5,7159934.5,7792331,8038862,8504107,8471970,8413676,8504357,8391275,8468374,8557074,8347584.5,8192730.5,8092402
P02730,3637.823242,14338.77539,13984.10449,85860.99219,56421.96484,533764.6875,533056.9375,10313.41797,16909.3457,11878.02051,83718.27344,74930.76563,589760.25,516644.5,11474.06543,15940.83887,96052.75,105422.2266,657396,503972.125,6392.047852,6786.489258,9039.1875,54521.23438,51987.03906,415655.5313,338988.9063,207481.6406,207207.9688,209553.625
P02741,10967.70996,10331.20996,11775.13867,23034.14844,20841.57227,21662.58789,20485.9707,NA,NA,NA,6884.59375,5311.75,3398.562988,3457.062012,5687.860352,5205.269531,7810.364746,6193.687988,7907.921387,8809.075195,11253.83594,13505.21191,12782.5127,13639.33105,16909.80273,15443.41211,19950.55469,13679.42969,13354.18164,10811.76465
P02743,115098.8672,121590.1172,140697.7656,160382.8906,172177.8125,259205.3906,389659.25,87120.97656,74182.39063,71135.19531,74617.61719,81336.50781,123042.1172,184803.8438,94079.21094,89908.96094,94539.03125,107701.8203,165669.0938,253025.9219,182705.375,144988.375,131747.4844,128584.3047,141738.9063,208783.9844,288669.1563,406790.4688,405260.5313,413551.4688
P02745,298861.5938,287352.5,294475.6563,289476.5938,289732.375,281370,304003.9063,161681.6719,166149.7969,161411.6094,167214.7969,151277.3281,154974.1406,147151.9844,236639.5625,231155.2188,234853.5781,229098.25,240365.9844,253190.6719,236552.25,227017.7344,240608.6406,238115.0625,233772.5,238804.125,232880.0156,236625.6094,232466.5781,228631.25
P02746,228093.2344,223686.3594,232017.4688,228468.5469,229779.6406,228833.125,223841.75,135087.2031,141396.4219,137951.6406,138223.8438,134623.5781,141812.2813,128836.7188,205918.2969,202684.375,206429.5781,205341.9688,196199.5156,179406.2813,205086.1563,205613.7188,203691.5781,214855.9844,202826.6719,200900.9531,195800.9375,180195.0313,189142.1406,186059.5
P02747,949149.3125,933111.75,911993,885100.6875,925035.8125,899828.75,889462.3125,557865.8125,554164.875,531271.1875,547257,500049.2188,536274.8125,516462,769732.25,795619.875,797199,781243.3125,798144.875,770290.1875,807052,788326.9375,806031.4375,798438.8125,801438.5,806895.6875,797865.0625,722554,702370.8125,698486.8125
P02748,898503.375,866032,848390.4375,826378.8125,840717.9375,823670,798208.625,734546,698962.25,699430.375,706934.875,678495.875,680335.0625,670057.8125,599026.4375,584701.625,583376.9375,577044.9375,577015.625,580796.75,885756.4375,843763.8125,820805.125,835643.25,834436.875,822319.75,801443.0625,695349.75,708224.4375,713455.125
P02749,3594967.25,3529371.25,3478835.25,3385151.75,3518553.25,3179047.5,2931334,3862641.25,3864814.75,3806895.75,3772242.25,3648074.75,3511575,3494056,3761408.5,3703103.5,3617153,3617982.75,3212064.25,2784286.75,3805439.5,3777274.25,3729365,3712217.5,3763170.75,3552032,3477902.25,3309180.5,3319757.25,3320823.25
P02750,694144.3125,685692.5,692558.3125,659255.8125,688401.6875,662219.3125,688426.375,863444.9375,883796.6875,851503.5625,858546.5,833677.8125,846306.125,833134.625,648289.375,643020.75,623569.6875,630502.125,659099.0625,709455.125,765032.875,755785.4375,751974.4375,741612.6875,749391.875,714426,714506.125,718700.75,745201.1875,744352.6875
P02751,2010571.5,2232154.25,2186852.75,2185299.5,1978762.125,2095690.25,1859744,2165886,2261777,2162323.5,2207166.75,2076465.5,2075435.875,1952213.875,2065297,1824360.625,1938881.375,1637948,1851504.75,1689227.5,2035289.75,2223089.75,2251520.5,2059409.75,2092367.25,2015523,1934524.875,1951357.5,1985755.75,1977479.875
P02753,965679.75,969189.1875,961841.875,948049.5,981662,924497,922116.8125,725443.4375,727459.625,761477.9375,731577.375,726308.5625,718444.9375,708319.5,923619.25,933580.125,931059.0625,926135.4375,902929.1875,887791.75,831639.875,839904.375,806616.6875,823204.3125,794470.25,809770.125,829845.0625,835886.1875,832642.375,809824.75
P02760,3844181,3755707.75,3749684.25,3551086.5,3586731.25,3432874,3213001,3220257,3186070.75,3208434.75,3050041,2990055.75,2938385,2978307.25,4099009.25,4181186.5,3929834,4044061.25,3588823.25,3235430.25,4055111.75,3909102.75,3811558.75,3762432,3696226.75,3617340,3530255.25,3351336.5,3399798.5,3374085.25
P02763,5347941,5513557.5,5591584.5,5417647.5,5397476,5502038.5,5668217,3663820.75,3564507.75,3621220.25,3656081.25,3611679.25,3678032.25,3617729,4401292.5,4418037.5,4397437,4493310.5,4795229,5056261,5025555,4952930.5,5031162.5,5200739,5108649.5,4992861,4997747.5,4865860,4969855,5222549.5
P02765,3966034.25,3864293,3958671,3899719.5,4006287.25,3910448.5,3897118.5,3906141.25,3932883.25,3821910.75,3852343,3743675.5,3901686.75,3917481,3748817,3752119.5,3716862.5,3669968.5,3709641.25,3736177.25,4147467.5,4083873.5,3980242,4085916.25,4033537.5,4064883,4124140.75,3891272.25,3765771,3710746.5
P02766,3122958.5,2896076.75,2866855.25,2583655.5,2750201.5,2545437.25,2751370.75,2536496.25,2390748.5,2401394,2295665.75,2230327.75,2127108.5,2301278,2591559.25,2577507.75,2322382.25,2306004.75,2330796.75,2591483,2751922.5,2613446.25,2548653.25,2411780,2470511.75,2395519.5,2465195.75,2775066.75,2760612.25,2755652
P02768,56594384,56731188,57183688,55538600,56964168,53300120,48181612,65127572,64419560,64773636,64217120,63469692,61237272,61745828,63432688,63818360,62919116,62963984,56099640,45135212,61943204,60759864,60620188,60514604,60603868,60641868,60758084,53974972,55040072,56380852
P02774,3678022.5,3622395.5,3587387.5,3457645,3608207.75,3364964,3276691.5,3344563.75,3297152.75,3271904,3271177.5,3218269.75,3168350.25,3234700,3081335.75,3128968.5,3035553.5,2973987.25,2903783.75,2778326,3108907.5,3087891.5,3049565.25,3031235.5,3030438.5,3084926,3064716.25,2998667.5,3013134.75,3065348.5
P02775,276730.75,365384.75,414910.0938,347378.1563,358170.9375,348533.6563,334399.125,464220.6563,495980.0625,573256.25,498912.4063,557068.8125,505483.3438,550866.5,559517.5625,523472.875,528517.3125,444124.0625,515342,527289.5,520981.5,578249.5,693057.4375,552189,640558.25,611166.9375,651396.375,501289.9063,498191.9063,491681.1875
P02776,297388.0313,371160.4375,429022.125,371595.0938,386526.2813,352542.5,334323.5625,457479.8125,511935,603971.25,502239,583161.25,499327.8438,554917.4375,621518.75,603310.75,574830.0625,504217.9063,540073.0625,403826.875,539204.9375,585256.0625,711327.3125,569053.875,646037.8125,597335.125,651131.6875,470651,489291.5938,497935.4688
P02786,27878.27148,29254.25977,28855.69922,28815.4082,28870.98633,27720.02148,29569.63672,22030.65039,21977.00977,21927.02148,23989.82617,22337.24805,21078.73438,22596.00195,21724.73242,21368.38086,22074.62891,24305.59766,22886.38477,26773.0957,29081.19531,26804.57227,25598.84375,26805.16992,27709.33008,26224.29297,27446.21875,27424.20117,24187.32617,21735.91602
P02787,16652972,16298665,16154856,15949004,16475172,15911153,15311783,19763148,19667126,19682752,19521422,19368794,19655352,19681118,19737522,19836698,19513694,19532036,19297728,17943176,19292802,19151114,19242212,19040416,19259426,19372634,19439368,17795592,17952694,18003368
P02788,27138.86328,79124.16406,101318.2422,81940.625,100028.9531,88781.47656,113777.6953,19231.67188,66388.32813,111428.7578,73111.4375,120469.6563,110757.8125,134112.9531,77348.11719,109674.5938,83789.91406,124385.1875,84813.49219,132706.5938,16935.16992,83921.41406,130664.1953,94254.3125,144493.2813,104763.2656,168220.4219,93548.59375,92300.36719,92802.89063
P02790,7555630,7650082,7697434,7385662.5,7655934,7453543,7397896,8187363,8132735,8030681,8106119,7960042,8008517.5,7986882,7973273,7991448.5,7874046.5,7857671,7903500,7585951,7778126.5,7777819,7585626.5,7688614,7652750.5,7550333.5,7420488,7762507,7848745,7810155
P03950,30883.06055,27629.63867,26787.74023,25883.43164,25263.04102,23424.53711,21826.48047,28015.39453,27745.60742,27130.64648,26564.02148,26463.44531,23411,23107.9375,16248.10547,15803.06543,16210.72754,14188.6582,11429.5918,11016.63477,29914.58594,28231.65039,27663.17383,24117.60742,28282.36719,26457.93359,24617.04688,19548.28711,19794.66211,19819.74219
P03951,61910.44141,62527.51172,61053.31641,58318.47266,59107.4375,58403.80859,49713.02734,56374.08594,53694.76172,52246.97266,51068.03125,49050.8125,46040.05078,47296.96094,47258.39844,46991.96094,48290.86719,45888.76172,36855.99609,31496.06055,59697.92969,56349.06641,56219.42969,53343.48047,54761.97656,54435.77344,51687.31641,46107.03906,46759.58984,48933.26953
P03952,327718.0625,329296.2188,323594.375,325028.625,328423.3125,303760.7188,272113.625,301794.4375,301097.8125,303464.75,297261.0313,296339.3438,273496.2188,274037.3125,307836.875,313352.0938,297608.5313,303359.5313,263827.9063,215419.0469,323707.8125,326098.125,312379.5625,320366.875,317726,308248.9688,293309.5625,264400.9063,272083.6563,272339.7188
P04003,2002510.5,2080922.875,2030880,1960693.375,1951091.375,1734621,1379204.875,1671863.625,1678169.25,1662657,1661572.75,1639840.625,1457369.5,1450813,1587959.25,1604352.625,1586192.75,1558709.375,1111067.75,623563.5,1680089.375,1668880.625,1655978.5,1659067.375,1664541.125,1571338.25,1513532.875,1280910.625,1275022.5,1260521.625
P04004,2552469.75,2493597.5,2490621.5,2354318.25,2448656.5,2356013.75,2435877,2688458.75,2699417.75,2652875.75,2615180,2513743.5,2557084.75,2519212,2383102,2352402.5,2294520.75,2277426,2352509.25,2415137.5,3172231.5,3145015.75,3106787.5,3094735,3091226.25,2992987.5,2950968.75,2566624,2541432.75,2523565
P04040,18095.86133,37388.64063,41009.61328,82979.40625,55470.72266,98892.17188,115795.8906,33067.48438,46673.30469,47096.10156,65978.14844,77026.07813,138776.6875,125644.6953,32058.73438,34928.69141,54760.28125,71268.80469,110259.2266,119523.8984,34632.74219,27280.41992,40994.32031,57587.21484,51278.26172,91808.78906,108102.3828,71911.77344,71493.03125,73497.10938
P04070,29754.12695,29679.50391,30067.25977,30004.58203,29200.75586,27484.95898,29439.45703,41229.51953,40022.94922,41419.70313,41664.14453,39082.99609,37199.38672,35931.99219,46699.91016,46688.09375,43632.71484,46914.21484,47426.08594,47065.36719,47966.62109,46429.48047,44880.73047,45567.46094,45096.875,42229.08984,41857.26563,39179.56641,40479.62109,42807.80859
P04075,14482.7998,22965.99805,26356.35156,33945.91016,25470.94141,48013.69531,52833.64844,26660.64844,31357.92188,35003.51563,33743.74219,36720.60547,63486.89844,57692.27344,32942.82422,36651.70703,37756.09375,37363.99219,62861.125,64518.5,26314.39648,29828.35938,43120.28516,33440.15234,37276.83594,47590.81641,55456.55078,39777.78516,41892.71094,38485.92188
P04080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67035.00781,73733.32813,68013.10938,61744.37891,62653.54688,73108.34375,64316.77344,73372.28906,70463.85156,60786.76172,NA,56073.10547,67682.72656,58785.03516,56920.60156,54677.10938,NA,71649.28906,NA
P04083,519.0666504,869.4047852,1080.293335,6277.775879,4632.862305,12688.19824,14564.42676,NA,992.0813599,938.9996948,4989.844238,3041.643066,13709.62695,8441.505859,1317.016968,NA,4365.238281,2853.387695,8830.536133,8743.494141,566.1949463,995.5372314,1733.057495,4199.129883,4558.873047,8945.641602,13078.36523,5402.424805,5954.366211,6439.90332
P04114,3081345.25,3068964.25,3056632.5,3025891,3017460.75,3009725.5,3070777.25,2374550.25,2356011,2327172.25,2343371,2299976.5,2317416.75,2254246,2111217,2080943.625,2069963.5,2081145.875,2172510.5,2252332,2128673.75,2126350.25,2086428.625,2135229.25,2108221.75,2012704.625,2018467.125,2378144.5,2385251,2389320
P04180,82796.40625,84240.45313,85026.95313,84188.76563,86905.125,89901.6875,86787,78186.52344,74009.59375,75791.16406,73306.22656,72788.71094,78755.27344,79327.38281,83094.8125,79504.40625,82806.35938,85520.98438,89190.78906,97060.53125,93833.80469,93391.65625,88466.13281,86573.35156,89165.375,90756.09375,91741.25781,89055.08594,85377.03906,82713.92969
P04196,2402658.5,2362759.75,2369344.75,2297240.75,2369096.75,2286407.25,2334774.5,2516054,2497825.5,2467872.75,2454884.5,2440280.75,2407152.5,2433181.5,2482535.75,2451457.75,2438126.75,2388660.75,2455472.25,2655900.5,3134061.5,3001179.25,2950376,3007005.75,2944827.75,2889796.25,2927959.75,2628089.75,2603373.25,2577585.25
P04211,192628.4063,193733,190813.5938,200085.2188,191413.875,202040.2656,222501.2969,156209.0156,158281.6563,151570.0313,153059.8125,166717.8281,163632.4375,167562.0938,257847.8906,271805.0313,280521.1875,286665.1875,318290.0938,350270.2813,101961.8281,98296.51563,98617.59375,96358.80469,98911.15625,98300.61719,105159.3359,208607.0313,195597.3594,197059.7969
P04217,3962885,3911783,3870784,3854637.25,3957746.5,3723425.75,3861216,4047785,4074742,4004646,3953433.5,3902716,3986871,3994669,4688609,4740579,4655293,4642251,4834005,5045513,3667558,3597039,3559935,3588740.5,3567853.25,3536484.75,3612037.25,3981753.5,4007312.5,3987613.75
P04264,29834.7207,47946.73438,10549.46387,5727.075195,2651.168457,22664.68945,61119.01953,64523.32422,46291.32813,38148.66016,27129.82813,9404.890625,83879.17969,12612.66602,36729.92969,8635.996094,3130.157959,7302.822266,4896.294434,9785.59082,15153.625,38952.50391,5032.662109,4112.196777,18253.80273,40554.60938,53631.29297,9132.605469,11057.28906,9528.768555
P04275,82249.42969,88800.49219,91091.80469,84109.07813,84779.51563,73139.0625,62806.96094,81422.78906,84609.9375,87863.84375,87599.67188,84397.9375,69074.19531,70251.42188,70402.03906,70690.60156,67139.26563,65974.69531,53110.67188,49847.75,78622.4375,90466.875,94288.72656,83738.54688,94616.65625,76932.22656,77852.77344,59146.26172,61119.16797,61474.16016
P04278,181353.125,166771.7031,171855.4063,165945.8438,177990.9688,176205.125,177876.8594,322105.0625,317809.4063,318361.6875,316021.8125,308448.9063,320889.7813,315317.375,110958.3828,108785.5078,111860.9375,106560.1484,113636.3047,107161.4141,168021.9844,162475.0625,159055.2969,164007.2031,161655.6094,151193.7656,157064.625,203740.25,202742,196637.625
P04406,22880.04102,33204.17188,44637.03906,73853.42969,47873.81641,103771.8672,126561.0703,35817.95703,42285.125,50121.67578,58101.57813,60399.64844,140567.6094,116062.2422,46066.39063,49175.07031,58658.26953,62681.56641,131421.9844,126732.6406,44754.07813,50362.73828,76125.79688,63251.14063,71471.51563,106506.4922,128458.5547,72456.63281,76139.17969,72468.94531
P04430,78767.24219,78140.50781,79406.75781,76722.86719,75264.97656,74470.46875,73767.42188,106640.7344,108524.8047,104355.6406,103650.6016,102259.3281,101324.9609,99428.6875,98826.71094,90394.09375,93439.82813,88315.20313,89552.66406,86741.60156,91001.24219,94826.00781,87389.32031,91555.46875,87160.875,83512.24219,80903.71875,86070.60156,95373.47656,87096.39844
P04746;P0DTE7;P0DTE8;P0DUB6;P19961,4046.226807,3736.893066,3376.054932,4517.71582,4695.865234,5402.813965,4863.348145,6979.745605,5630.370605,6876.491211,5881.17041,5417.530273,5275.026367,4434.756836,3450.199219,4395.725586,4133.114746,2670.685547,1877.31958,4077.887695,2947.141113,2802.396484,2655.615967,2078.087891,NA,2746.284668,2487.283936,2975.628906,3155.876221,NA
P04921,NA,NA,NA,8.219157219,NA,30516.80078,32628.25781,NA,NA,NA,NA,NA,35704.48828,27501.84961,NA,NA,4496.656738,3910.138916,41105.5625,29361.87305,NA,NA,NA,1668.721069,1246.949585,31754.64453,28762.75586,8282.245117,11878.0752,10775.3584
P05019,13181.12988,10313.83789,11762.53223,10608.87695,11730.66211,8942.457031,7766.328125,15334.05566,15671.18848,13920.70996,14746.7334,14247.27148,14523.14648,8222.363281,10587.87207,10704.2207,13734.74414,9851.428711,3807.42334,6549.968262,15608.15625,16605.73047,15966.08789,16561.33008,16582.64844,13527.25977,12809.03418,8037.160645,9430.563477,8832.447266
P05067,2986.422607,5864.916016,7093.724121,6042.160645,8751.639648,5784.225098,6054.519531,6961.021484,8493.021484,11609.74121,9852.59082,11188.59375,8899.930664,11016.37793,10911.74316,11554.97656,7171.025391,6517.103516,6214.101563,4909.828125,8641.780273,10710.81445,14001.76465,8139.677246,9866.395508,12237.07813,14075.01563,10247.35742,8079.012207,7062.756348
