,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_3,SPQC_4,SPQC_5
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
O75636,103640.5547,107652.3906,101617.3125,105690.9063,96287.04688,112743.9219,113044.0391,112938.3516,109260.1406,110585.4219,117250.1797,112793.5625,115230.5625,114989.0625,125507.7969,122445.8672,126594.4219,128335.5938,140242.7656,145060.4844,50443.69141,51245.84375,55629.59375,54955.09766,54194.36719,53343.60938,51686.73047,109067.9453,104443.4609,108342.8906
O75882,142235.7813,128984.7813,131845.4063,120528.2969,126121.5859,103613.0078,90478.09375,155424.375,156298.6875,156291.6406,151514.4844,142522.5469,120064.4688,118837.1406,146380.2813,144812.5938,138718.9844,136577.0938,101083.3516,86560.08594,130033.0391,128032.3125,127584.1172,124413.1484,124886.6719,113543.7656,99463.77344,101763.7422,98414.57813,101665.0703
O94915,34878.73828,34254.21094,29128.93164,25027.42188,31599.79688,25481.55859,35498.63281,34056.20313,35142.36328,32628.14258,24597.88672,32438.32422,22998.9707,35732.58594,47902.42969,44223.93359,36022.39453,40745.91016,28442.43555,27798.89258,56071.86328,60658.23438,80062.60938,34612.37891,72165.04688,50987.67188,69622.17969,12663.50684,37888.78516,70377.71094
O94941,180650.5625,178782.7813,181846.4063,184933.4844,185388.9375,182383.4688,178151.7188,184205.7656,184722.8125,185097.875,183698.8281,180319.7344,183744.2344,183100.25,117045,117508.4375,120491.7031,116960.3281,127880.0703,130088.7031,122287.5391,115568.9141,117729.5078,121025.2578,116404.0938,119632.7813,120839.8047,153337.5,150585.5313,154060.8125
O95399,17163.82813,14366.15918,17742.08789,13094.60059,11176.35938,12776.27344,6292.586426,23639.59766,20096.97266,17141.71484,22794.24609,18486.67578,NA,14961.31152,17892.62109,18046.94922,15288.41992,12346.36426,8069.772461,NA,14378.78125,17628.16602,17122.13281,20355.58594,16202.13574,13236.46387,16022.56641,12856.90039,18190.25391,13121.49512
O95445,354691.5625,355980.75,353061.75,345406.1875,347873.4688,345900.9063,346547.4375,479331.5313,473842.2813,478523.5313,467634.2813,458914.0938,474369.875,451872.0313,472233.75,465155.6875,472687.1563,474196.7188,490300.5313,485110.25,374999.3125,358604.2813,365777.3125,373848.0625,370138.3438,359557.875,358136.1563,412632.9063,411254.4063,421939.8125
O95497,2259.691406,1226.218994,4320.266602,3324.408936,3026.727783,3610.494385,5806.892578,10290.15918,7479.802734,10818.44727,9774.514648,8912.686523,14684.88965,11748.74023,5908.850098,2764.277588,6952.821777,6171.814941,8225.229492,7002.760742,1862.710327,1536.689697,1291.06958,NA,NA,NA,NA,6139.310547,6852.602051,10338.09668
O95810,12170.4541,9779.977539,9572.580078,4869.020508,6873.771973,8142.393066,11429.64063,16073.74805,11421.74023,14819.87109,11716.98047,10236.5332,8302.515625,97641.28125,10936.87109,15547.24316,11704.06445,8517.557617,7656.847168,8615.111328,15949.21777,17113.75,23253.02734,11596.29883,12710.38477,11518.43359,13775.25391,12176.17188,10612.72168,12188.30957
O96002,13.79756927,13.96282291,13.2407217,9.860956192,13.19288063,10.620574,NA,NA,NA,NA,NA,13.61353683,NA,NA,10.62186241,4300.873047,14.67228889,3239.692627,11.97360229,NA,15.21395302,10.55562019,13.92227745,10.114048,13.5771389,3345.643066,15.7174387,11.46007633,13.46065998,14.41781044
P00001,3504836.75,3556552,3450560.25,3506193.25,3450054,3343516.5,3458664,3300868,3321305.75,3236766,3224934,3189651.25,3171680.75,3053116.75,3235306.75,3109172.5,3108600.5,3126684.5,3165883.5,3103987,3035149.75,2995823,2942542.75,3001107.5,2979670.5,2799054,2770030.75,3092730.75,3095791.25,3092000.25
