,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_0h,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_1,SPQC_2,SPQC_3
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
P07108,10225.37793,8422.707031,10177.70898,11869.29199,9167.244141,11522.06055,11592.0166,14444.2002,12105.15137,13500.79785,15658.10742,15263.71289,14388.82227,14149.96582,13419.37695,14013.14551,14852.65625,13301.4209,12319.63672,13516.58887,12291.02441,10380.02344,11665.86719,10093.78516,12782.29004,12997.9502,11184.0791,11255.51367,12149.55664,11555.2002,13545.48438
P07195,553026.75,558120.375,564133.4375,555351.75,551272.8125,543824.3125,563056.1875,607655,621852.125,608622.5,604575.6875,607328.875,625796.0625,589242.125,603640.9375,593716.5625,613417.125,602044,601094.6875,590651.1875,586905.4375,584812.9375,570124.125,572948.1875,578033.5625,586242.75,599434,563831.25,577516.0625,579309.3125,566954.6875
P07203,760198.6875,680985.6875,808343.3125,812434.4375,813617.5,777897,786508.125,694224.9375,593310.625,652160.5625,688024,694616.75,689198.5625,698904.3125,757267,831699.5,799592.25,764998.5625,829252.5,801119.6875,765540.6875,848599.875,841138.6875,823381.8125,824752.625,823773.75,833033.8125,817245.9375,717197.0625,780866.375,739722.3125
P07225,66357.125,70559.07813,65195.16797,66160.6875,72462.44531,65385.54688,71096.79688,49363.66406,46430.875,50156.89063,49162.37891,48444.26172,48148.80078,48900.34375,50221.97266,48405.84766,48620.96484,50714.81641,50488.45313,59918.03906,56205.58984,52892.57813,52879.18359,56710.75,56259.59766,52415.91406,50757.17578,58177.82422,57289.04688,54442.45703,50720.86328
P07237,9495.988281,11234.55273,10726.9541,11738.00781,10369.6709,10095.78125,10807.17676,10959.43164,15310.79492,11808.36914,12245.74121,12822.1709,11581.2168,11576.63379,7660.709473,8389.645508,9260.821289,8306.320313,8134.925781,7935.29541,8178.345703,17287.96289,21258.68359,20266.20898,16811.1582,19809.03125,17674.02539,17856.23828,12437.73047,12484.13965,13408.08398
P07311,30115.79688,32056.6543,28881.79883,29002.44727,27424.89063,24171.53125,29088.39844,31624.26953,32583.53906,30084.39258,32750.02734,29685.22656,32025.98438,27781.5293,34439.83594,34317.90234,34847.95703,35993.95313,34790.59375,35137.22266,34352.39844,35566.87109,34135.375,35443.8125,34848.0625,38121.02344,39513.19922,36769.04688,34071.09766,31104.80273,30303.00391
P07357,123891.5391,113795.2109,112617.1641,117852.3516,127980.4766,121253.3438,127642.25,81342.72656,79767.32813,76944.57813,81179.5625,77641.96094,78758.58594,80457.55469,74402.13281,74481.67969,68848.66406,70795.375,74423.90625,83882.24219,79710.82813,106309.4297,101121.9063,107885.5234,107442.0781,100079.9609,99680.13281,117903.3516,92134.91406,90641.77344,92177.8125
P07358,189176.3281,180220.7344,179463.9063,186017.1563,198930.9688,192842.875,196757.3281,117195.0547,109145.6641,110546.3516,115400.9844,115803.4141,121710.8438,120458.1875,118412.9688,113755.3047,103563.8125,113154.7031,113045.3828,137812.1719,133836.7344,160660.5781,154915.4063,166829.4844,166428.6875,158698.9688,163294.7656,186005.0313,145794.8594,145217.3281,147441.2031
P07359,6338.527832,16610.63672,18626.22266,20638.49805,18221.81055,18879.36719,21105.33789,19190.82227,32032.74414,32928.12109,26147.48828,31020.32813,19752.34961,25445.63672,13471.04102,14174.48242,14676.9707,12119.38477,11379.21973,8363.041016,14766.21777,17916.95898,30610.36523,41007.78906,25510.3418,30864.93359,22123.55469,30134.37695,20352.54883,21207.16602,23679.45313
P07360,32209.19922,34944.07031,27976.6582,33039.51172,30991.33008,27912.90625,30632.5,20945.58008,25367.23242,22719.83984,23969.38672,23104.45313,23962.94727,23429.32031,20420.26563,21227.64648,19265.58594,19371.43164,16899.71094,25600.63086,24378.81055,31930.98828,28841.44531,31128.59375,31242.33008,30323.36719,31334.3125,31076.5918,25298.70703,24462.7207,26680.04297
