,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_0h,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_1,SPQC_2,SPQC_3
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
A0A075B6H8,58955.57422,44922.98047,39532.61719,54092.73438,43526.46094,32759.30664,55067.46875,30418.43945,26813.56836,16052.94336,27754.50781,28278.00391,24710.66211,27256.64844,33200.5625,32424.02539,35236.80859,33146.69531,32516.37305,32083.86914,35880.63672,15492.07031,17936.64258,18322.45508,16918.22266,15542.0166,17794.38477,20046.63477,31534.36523,29742.70508,24440.40234
A0A075B6I0,26743.41797,20439.77734,23494.625,27941.95898,30640.85742,28623.90234,32803.36719,16033.50684,13573.94336,15848.88574,17358.20508,17027.13281,16336.90723,16842.79883,21708.4043,22457.68359,20969.19922,20762.7168,23921.12305,26508.54102,24069.93555,46079.51172,50758.23438,52756.96484,53909.50391,52362.71484,47325.81641,63208.08203,29285.50195,30073.89453,30289.52539
A0A075B6I4,47977.97656,57496.43359,43126.85938,49432.03516,53731.33594,50023.49219,54963.87109,81413.35156,85152.625,76476.65625,78092.86719,75363.82813,86553.78906,84757.98438,6983.518066,6245.562988,7448.814941,7081.117676,7729.226074,8491.780273,6251.566406,NA,NA,NA,NA,NA,NA,NA,32742.03906,35088.91406,31741.05859
A0A075B6J1,NA,3930.08252,1354.932373,NA,NA,NA,NA,4340.995605,4942.418457,2790.760254,3611.490723,2670.031738,3336.517578,3553.249512,NA,NA,NA,NA,NA,NA,NA,NA,NA,1644.142456,NA,1263.642212,1062.743408,NA,453.4683533,1335.267944,NA
A0A075B6J9,43784.13672,45604.90234,40976.20703,47632.56641,45316.26953,39755.94922,49964.5625,19538.08008,19072.71484,15503.45605,21943.58789,20181.27734,20876.02539,19034.80859,53050.82813,50991.8125,30027.18359,47579.39844,36462.41406,55315.86719,42186.52344,14980.68848,14904.75,15739.33301,19139.96484,17134.35547,18699.3125,18265.41406,34796.63281,25859.26953,28816.48828
A0A075B6K2,8847.930664,8845.652344,7525.534668,7416.240234,6291.301758,6087.699219,8082.292969,10604.10352,9219.958984,10190.57227,9335.095703,9361.515625,9663.883789,8847.710938,5946.768555,6446.397949,6958.964844,6373.76123,6924.106445,6531.522949,7344.88623,1964.359497,1808.889648,1614.786743,1113.554932,3776.106445,1704.998535,NA,6758.962891,7644.291504,5805.479492
A0A075B6K4,418714.8125,440726.3125,376307.5,389393.4375,434172.2813,389814.5938,443073.5313,481946.3125,480407.3438,491767.7188,491605.75,478558.75,464042.75,507798.5938,230228.0156,236200.6719,240072.125,250266.8281,267768.1875,269744.5,275650.5625,257381.6875,269597.7188,282775.125,299649.375,269649.75,265394.9063,278321.5625,331313.0313,339379.75,343430.0313
A0A075B6K5,11468.06055,26401.98828,17258.87695,19247.51563,14897.15918,16616.79492,16444.27734,12857.69238,18404.73438,15112.40527,14038.84961,10987.38086,19055.55273,13106.32813,13817.56836,20652.80078,12695.60547,22028.78125,10991.39063,23214.10742,26753.75195,7790.628906,10699.36133,13177.28809,12173.15234,8896.832031,5277.51416,6988.294434,8846.960938,12867.37012,15373.58105
A0A075B6P5;P01615,181050.8438,98495.44531,182210.5938,203864.0781,225529.9219,203102.1719,213772.4063,129507.0625,84742.52344,125165.7344,140097.2813,141189.0313,144012.5938,148547.8594,152251.4219,159847.1875,151994.125,156933.1094,162456.9844,168221.6875,179306.0313,145004.1094,157943.4688,164103.9375,160802.0156,159153.8125,156620.5781,180678.2188,154449.2656,160037.8438,164923.8594
A0A075B6Q5,20310.39844,31963.74805,22895.05078,25174.2168,21938.18164,24263.95508,25554.50195,24272.18359,23588.01172,22556.34961,24056.60352,23234.04297,25966.57422,23081.38086,27511.6875,24892.01367,25328.7793,26300.96289,23136.07031,29195.90234,30317.18359,15343.42871,16498.80664,18847.03125,18625.93164,15811.68945,17474.96094,16769.2832,20897.25391,21684.28516,24452.50586
A0A075B6R2,NA,NA,NA,NA,NA,4839.228516,2112.703369,9673.027344,5534.455078,10363.39844,9764.224609,10462.52246,9346.469727,15707.37598,12688.15918,13446.49316,13723.62402,14960.94434,12137.75586,17405.08789,16391.88672,7852.317383,9452.744141,12347.28516,11204.14453,11426.44922,11405.27246,10966.26563,11108.43555,9857.213867,11211.38672
A0A075B6R9;A0A0C4DH68,64577.30859,63579.57422,53538.30078,66500.71875,70387.92188,51886.91016,68845.91406,56829.49219,62086.77344,54846.37891,56667.20703,50233.61719,55191.85156,53095.68359,83460.0625,88929.5625,79483.25,87756.59375,75099.21875,105704.75,104685.6719,54684.52344,50358.71484,56312.69531,59964.03906,57492.65625,47396.66016,72323.51563,68474.73438,69065.42969,60785.09766
A0A075B6S2;A2NJV5,1111372.75,1186511,934282.8125,915519.625,972926.4375,917891.6875,972856.0625,566335.875,651119.6875,587728.8125,582527.9375,565810.3125,541191.125,532765.3125,816077.8125,777516.6875,757786.125,768434.4375,897461.875,953797.5625,1004339,481561.9063,441419.5313,476792.6563,477740.7813,477738.6875,438434.1875,469194.5313,685451.5625,646654.75,651115.125
A0A075B6S5,5875082,6401392,5222074,5559721.5,5564785,5238206,5691881.5,4982734,5920776.5,4507674,4914581.5,4534591,4840614,5038845,3626576.5,3305666,3560083,3348746.5,3393593,3976416,4230720.5,2637539,2535556.25,2896503.75,2637234.75,2499942.5,2625219,3048555.25,4219874.5,4010365.25,4118305
A0A075B6S6,68921.60938,41707.60938,86846.39063,83636.82813,107474.3984,91212.375,112481.2109,69094.71094,35828.39844,74811.14844,74883.17188,73894.58594,79789.0625,88740.84375,51031.96875,52526.11328,52457.14844,50292.76172,51753.65625,57679.00391,55090.67969,56728.51953,57773.16406,61050.53906,61951.54297,57961.09375,56381.53516,63212.73828,74124.96094,66680.39063,61275.70703
A0A075B6S9;P0DSN7,384920.625,390357.6875,338450.125,357464.2188,370689.4063,349383.8438,375153.5938,306604.0313,320370.5,287968.875,311911.0625,304967.9375,301525.7813,308307.375,178446.7656,175962.625,179356.5781,174486,174894.5625,198567.9688,194679.9844,137354.0313,136786.3281,143680.9219,154292.7344,130002.7969,150408.5625,162312.0938,250808.7813,257170.2656,254545.0938
A0A0A0MRZ8;P04433,823443.0625,813732.9375,738045.8125,763663,817785.8125,769815.0625,841418.3125,764049.5,858583,753176.1875,783430.875,791685.0625,780303.5625,801634.375,984177.25,911758.5625,896700.4375,942193.9375,976586.25,1060234.25,1092518,706924.0625,698744.5625,742095.25,715490.5,722307.9375,760436.25,815649.375,815483.9375,830342.125,827475.3125
A0A0A0MS14,5285.507813,984.4459839,5224.783203,5258.760254,6375.203125,6928.28418,5464.101074,10037.2627,3000.30249,9543.797852,10915.12012,9731.951172,9326.821289,11066.90527,12743.70215,13730.65234,13247.51758,13208.11816,12338.55762,15068.65234,14273.34766,4386.966797,6295.242676,5313.906738,4351.802246,4452.806641,3640.751709,6088.61084,8205.121094,8251.978516,8427.255859
A0A0A0MS15,113976.3359,114686.5313,104899.0547,102817.5156,114081.3438,97332.89844,116783.5625,61924.78906,58740.77344,59856.625,60293.26172,58150.22656,66012.50781,61281.60156,69495.34375,67117.29688,66227.78906,59083.82813,67654.52344,66225.51563,63946.70703,56724.78906,48161.28906,56274.375,59436.125,53994.85156,58073.57422,58380.92578,74967.99219,72611.72656,70703.39844
A0A0A0MT36,85004.72656,73417.14844,74512.64844,71719.08594,82715.75,76389.95313,83038.65625,41248.62109,57682.85938,42241.17969,49038.30859,51003.84766,49546.14063,52139.23828,51668.24219,53566.86719,43021.75781,37018.58203,51707.53516,59936.99219,61191.5,33537.42188,32882.58984,35574.07422,27603.19336,28067.96094,35110.02734,42550.64844,70718.64844,55488.99219,60752.40625
A0A0B4J1U3,18014.88086,18932.94336,16108.7959,17598.05859,17425.72461,16557.18555,18679.05078,20844.19727,19349.97656,18143.85938,18296.44531,20614.72656,21866.32813,20319.88672,14858.8125,14462.96777,13645.18066,15661.04395,16313.86133,18509.80859,16944.19922,41549.24609,37326.76953,43539.65625,41675.65625,43293.4375,43034.35547,44323.82031,21827.44141,23797.04492,23992.00586
A0A0B4J1U7,79058.44531,96922.61719,75075.25,75722.55469,76356.60938,72310.92969,83650.23438,48502.00781,57407.04297,49729.74219,48450.71094,49287.26563,49687.56641,48779.32813,160206.2031,149660.5156,151834.2031,159684.7188,156724.375,191154.8906,184262.3125,38302.84375,33078.66016,40136.59375,40779.70703,39221.45703,36569.10938,36992.8125,81591.72656,82183.94531,78622.10156
A0A0B4J1V0,39926.70313,51771.74219,34215.19531,40329.07422,38916.00391,31406.64453,53067.64063,53947.17969,52254.11719,46126.23438,49392.51563,51346.73438,51298.71094,47676.05859,71519.94531,70291.14063,64988.46094,72384.84375,60440.72656,83162.92188,79235.76563,24652.23633,28667.22852,29223.25781,31952.69141,29449.93164,31458.90625,33330.24219,39789.69531,47616.23438,51311.09375
A0A0B4J1V1,1020113.063,1068141.25,957406.8125,994448.3125,1109970.75,1011388.375,1098098.125,965771.375,923334,949268.5,943780.375,908778.75,986682.5625,949966.5,1000749.5,988804.75,940298.8125,994109.5,925024.6875,1152072.75,1099095.5,664569.625,666548.6875,725222.0625,681794.1875,665376.8125,630884.1875,702822.25,916025.1875,890682.75,902123.25
A0A0B4J1V2,4428.601074,3869.121582,4137.475586,3231.455811,5489.490723,3214.516113,3054.450928,11785.61914,14790.06055,11429.54688,12577.26758,11531.57031,11726.68262,9527.616211,10582.98242,8153.099121,8725.363281,9231.405273,8343.327148,10327.16992,9780.607422,9749.189453,9588.65625,12205.27734,10888.31934,9894.44043,9370.751953,10738.31934,9730.327148,8857.581055,9638.723633
A0A0B4J1V6,89467.61719,97263.88281,87512.64063,100155.7031,92988.64844,91220.46875,114140.3672,67286.34375,74195.60156,60098.9375,64298.875,59495.61719,64245.35938,62611.36719,31165.79688,22445.04102,20202.66602,26749.76563,26358.35547,33288.98047,23805.83008,34228.39844,34718.03125,39313.98828,39294.76953,35593.27734,38548.55859,39940.96094,57398.88281,56733.66797,59118.39844
A0A0B4J1X5,56647.37891,63215.71484,49460.78516,52825.5,54373.19922,50180.59766,57450.66797,67345.25,80145.63281,65704.82813,66580.46875,65295.34766,72950.875,66784.25781,57195.22656,55800.89063,53824.72656,53906.57031,53711.99609,69188.35938,62779.30859,37475.62109,34245.78906,39070.03125,38598.65234,36750.94141,38147.82031,40273.01172,56629.45703,53533.60547,54366.78516
A0A0B4J1X8,16197.43262,15504.99316,13854.89355,16436.88086,16988.68555,15221.12207,16965.07422,16861.38281,13394.61133,16622.78125,17324.49023,19963.60938,17082.29883,17379.75391,35140.19922,32691.94531,31551.25977,33439.47656,36810.84375,37314.00781,34784.14063,15871.52246,15861.37695,16646.56641,16002.25684,15521.38574,12205.96777,16731.61523,18249.73047,19642.21289,21337.07031
A0A0B4J1Y8,44317.10938,55527.61719,46879.98047,36882.64453,40390.92188,22961.2832,38619.85938,51718.73438,61638.72266,50667.47656,54341.89063,54193.25781,47949.64063,50728.68359,11458.4834,8395.557617,9760.112305,11631.86426,9097.245117,10265.35156,10199.81836,19427.72656,18735.91992,20459.22656,19745.63086,19310.62305,14549.18945,19995.47656,26472.10742,33365.63672,33133.05078
A0A0B4J1Y9,231551.625,246170.7656,206097.0625,217738.5,227118.1094,210445.1406,241083.2813,243360.0938,279864.9375,235177.2344,238093.375,239705.1563,246738.375,249502.3594,197141.8281,194975.4219,183937.0938,184078.4219,183902.875,218421.2656,219954.4219,148202.9531,135975.7656,155951.7969,150894.3125,143023.2188,151845.625,162132.125,218679.4063,196829.1719,195188.8281
A0A0B4J2D9;P0DP09,756456.875,822604.875,679302.5625,713387.0625,751665.5,704341.5625,772820.8125,916304.875,1016991.188,881142.3125,922200.75,894714.25,907342,905422.3125,375507.4063,370204.25,359000.2813,369837.1563,381434.1563,422259.9375,426462.2813,579985.9375,571108.75,621604.25,613053.4375,582570.5625,598894.5625,687382.1875,677063,686203.25,694106.8125
A0A0B4J2H0;P01742,46199.48438,58300.97656,44570.69141,35529.92578,49614.86328,46036.42969,53193.05078,23706.62109,28136.23633,25063.60938,18865.9375,24172.94141,25629.94531,17732.49609,14948.23145,15296.88965,14901.4707,12116.47949,13674.3291,18162.39258,18280.91406,8605.483398,9005.717773,11261.03125,11396.11523,10402.51367,10252.28027,10606.86719,23754.01563,21893.03906,23320.78125
A0A0C4DH24,23659.91602,36325.1875,19894.63672,21479.19531,24645.25195,22274.03125,22107.73828,44453.17969,72005.21875,40594.32031,45098.21094,46705.29297,47110.71875,49045.25781,112476.0156,110493.3125,106479.7813,106744.8672,118119.5859,126177.5313,131195.3438,43860.69531,42819.47266,48175,44752.85938,46967.54688,45069.54297,52547.14844,54527.14844,53014.875,57387.34766
A0A0C4DH25,282693.3125,255780,303838.8438,283174.625,312020.625,280417.4375,304570.75,201903.4688,166173.125,160998.7656,218475.6719,194295.5,175188,218739.2031,200826.2344,207612.5156,189776.2031,189485.7813,198621.8125,206791.0625,224600.6719,129115.7578,133025.5781,135946.3281,138118.8594,111957.3438,98431.17969,154912.4063,198233.1719,211600.0938,192445.3594
A0A0C4DH29,15945.47266,11619.42285,16603,18001.90234,17979.78906,18776.78125,18922.05469,17736.51758,14398.26953,16341.125,18041.96875,16586.36914,17217.39844,15697.37793,18265.73047,18703.26563,17233.74023,17080.4375,17213.52539,21828.25977,20989.27148,17000.37305,14991.3457,15157.15137,17434.10547,14479.40527,16663.41016,19834.61719,18568.63867,20376.44336,17512.41602
A0A0C4DH31,170767.7031,175693.9688,125356.7969,171971.1875,192307.9063,167511.4375,160110.5625,149773.1406,164276.2656,156641.7656,153656.5469,143378.0938,172083.1875,165342.6094,141414.5469,134770.9219,127541.4375,131385.5,121561.7266,168899.4531,158839.8594,71728.60938,72868.14063,93360.0625,71088.65625,69419.99219,69186.53906,86691.74219,137877.6406,132041.125,126205.3359
A0A0C4DH32,24268.64844,26138.07031,19630.59766,19401.86523,20330.94727,18784.96484,20749.19727,12281.82324,10721.27637,11249.84863,9647.439453,7780.479492,10737.79102,9288.631836,34340.47266,33422.37109,32186.35938,33862.53906,34055.55859,37836.65234,38945.61719,10112.8125,10558.71582,9630.152344,15499.80859,7100.181641,14187.79004,13397.39551,15860.73047,18777.71875,18341.42969
A0A0C4DH33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5662.858887,5493.028809,6347.529297,6056.983398,5012.327637,4092.642334,6404.76123,1145.044067,NA,1883.791992
A0A0C4DH34,41314.01563,44213.16406,38631.76563,43605.90625,40775.5,39774.39844,44346.53125,43291.33203,44699.07422,43198.33984,43135.71484,41815.43359,44180.23828,40061.93359,30410.39648,29750.58398,27350.46094,27097.51758,28367.68359,32393.95898,30771.85547,13127.05371,11298.50488,14118.58887,11777.34961,13421.47266,13543.04395,13897.37988,31233.06445,31849.6582,29477.82813
A0A0C4DH35,31448.0957,21275.89648,32241.86914,33381.3125,35424.05078,33765.53125,29687.73828,34082.21484,20235.96094,35005.44922,31708.05078,33055.23047,27490.16992,37627.74609,39335.60156,38058.55859,40612.76172,36908.42188,38592.39844,37578.47266,38081.91016,24970.92188,32665.79883,29923.2207,25307.5332,23481.36914,23249.54883,28612.68555,31382.26758,30928.32617,32893.44531
A0A0C4DH36,295867.8125,311614.25,266889.7813,289358.1875,306348.1875,270344.5625,344998.25,81152.10938,82327.0625,81416.79688,80461.10156,73349.36719,85658.85938,79142.78125,90032.10156,83929.57031,83264.64844,81892.52344,75195.77344,114481.2266,99216.58594,51421.37891,48920.73828,59390.46484,58745.46875,55605.44141,54142.82422,58664.22266,128292.6172,125677.25,119000.7188
A0A0C4DH38,807356.5625,512740.0938,770108.75,804381.5,889836.875,777391.5,896826.25,1031706.938,891140.5625,1023134.313,1238721.375,1102093.375,1223315,1158351.5,1257538.75,1273602.125,1172402.125,1116777,1126045.125,1501713,1394562.25,437275.7813,492873.25,555058.125,468000.5,463143.8125,461512.0313,554064.8125,916712.3125,849399.6875,867327.75
A0A0C4DH39,33148.91797,29362.42969,30229.59375,32384.40625,33425.67969,29915.46875,36320.74609,12672.33984,13186.71582,13762.51172,13128.85547,13246.26465,13290.78711,11339.04883,13126.0459,13102.97656,13126.89746,14829.86914,13062.47559,16468.35938,14404.45117,5844.38623,7301.145508,7914.375,6505.445313,6595.396484,8175.639648,7534.900879,14843.01367,18206.94531,16621.99805
A0A0C4DH43,51856.21094,60742.92578,47732.28906,47537.47266,46165.10156,45097.35547,51431.01172,37013.17578,46445.53516,39555.86719,36528.87109,35192.5,35416.25781,31927.06836,24414.66992,18666.5293,19851.76172,21574.37109,20829.73633,23754.45117,23644.33203,1956.550781,2153.917725,2972.341797,4157.656738,7866.946777,5935.980957,2981.931885,27195.4668,26684.08984,26227.60547
A0A0C4DH67,11672.23047,10481.47363,10583.32227,9001.116211,11086.19531,9694.592773,9529.584961,21388.70117,19253.72656,24403.51758,23928.27734,22133.01758,23915.91016,20183.40234,19660.12695,17793.86133,14949.09766,19591.80469,20766.20117,24981.34766,21911.39844,23705.44922,22888.30469,24160.58984,22006.49414,16936.44336,23586.56445,21952.38867,17929.09961,20400.35156,16980.65234
A0A0C4DH69,282523.8438,505208,286380.1563,269380.375,262331.9063,283755.125,328729.1875,367245.9688,633665.875,380877.3125,396110,343352.125,358630.5,353323.7188,836138.75,716163.5,768283.4375,778312.375,912209.6875,868379.6875,1004420.5,676753.625,586171.0625,612686.1875,610068.375,497919.4063,547969.75,565513.6875,472809.2813,501967.4063,552486.625
A0A0C4DH72,693286.125,587084.625,603893.8125,657835.6875,766426.3125,642734.3125,729049.125,159433.9375,191774.2969,138335.4688,159830.625,146619.2813,156527.7656,162164.375,241970.2344,300126.0938,289768.2813,212322.1719,273414.9063,319462.0938,296939.5625,162149.9688,187868.0625,222822.7344,195354.1875,173291.3438,160205.7656,223136.125,334884.2813,296868.8125,284215.7188
A0A0C4DH73;P01611,612235.375,629918.6875,501844.5,551029.8125,566507.1875,493674.2813,614733.25,605465.0625,746444,523338.6563,644488.1875,634750.25,605249.75,616720.4375,543604.6875,560283.875,538495.125,519446.4375,565081.625,590242.9375,665563.9375,365543.4375,361544.3438,396370.4688,367890.0313,375467.6875,363526.7188,437182.125,523956.5625,554069.625,572279.1875
A0A0J9YX35,27262.15625,24763.26367,30979.10742,24857.22461,24857.86328,21420.44141,26598.9668,49728.51563,47042.57813,48475.72266,49728.70703,43914.33594,49467.55078,38122.30469,64901.55859,61291.50781,59439.62109,61335.96484,57541.5,73483.08594,71377.69531,28323.22852,28933.32422,29962.94727,25301.61328,28865.73242,27910.91211,23914.99023,34392.03906,39371.875,38258.26172
A0A0J9YXX1,17110.5332,21507.87695,13436.15918,15867.36621,16810.00195,15517.9043,18344.58789,10466.97852,7903.513184,12459.9502,9394.449219,10008.97461,10501.58301,9391.655273,47482.55078,49842.89844,47229.38281,42569.39844,45844.10156,56981.71875,51266.65625,5147.49707,6623.472656,7710.414063,7605.844238,5956.595215,9240.276367,7558.208008,24491.76758,24140.68164,25902.76563
A0A1B0GTI8,12802.70898,16367.34961,10844.26367,NA,10110.3418,14477.37793,12233.9541,35751.42188,44338.77734,39589.72656,36589.25,31323.53711,39050.63672,38463.98438,NA,NA,NA,NA,NA,NA,NA,11906.46387,NA,14996.66309,10982.89648,14389.72363,NA,NA,NA,21913.21094,13225.38281
A0A1W2PPM1,6689.316406,13198.43848,6663.950684,5206.042969,6535.143066,4945.754395,7924.521484,9437.395508,26395.75,9789.147461,6680.456055,9438.112305,11458.73438,8468.451172,15676.90039,10512.10645,16742.14453,17865.67383,22898.36523,17834.52734,16467.83008,18863.68359,17088.10547,17854.4375,20938.15625,25476.05859,30714.51758,15002.93848,4609.226563,12970.69141,27009.92969
A0M8Q6,25670.62109,13219.40234,10535.49121,22778.26758,29204.27344,13691.77148,17431.89063,24100.77148,13334.4043,31021.20508,25065.15039,18773.05469,15106.16309,28054.9043,2495.261475,2290.687256,1789.489746,2231.130127,3004.560303,4193.391602,2546.101074,25785.64258,24342.26758,25380.46094,16245.97266,9151.572266,13340.67285,32245.99609,26813.89844,25124.13867,14264.69238
A4D1P6,3187.914307,6127.719727,4161.90625,4493.939453,5333.605957,5479.252441,4245.953125,3665.770996,6468.85791,5996.478516,4081.270996,4478.159668,4754.077637,5287.625977,4192.051758,3528.697021,4009.342773,5453.263184,3517.366699,3923.392822,3525.125,4284.109375,5257.081055,4139.057129,4426.618164,4975.724609,4567.382813,4546.012695,3087.30835,5271.405273,4026.674805
A6NDG6,10451.24707,11385.37012,12115.12305,10809.35156,12437.06934,12360.21289,11440.71191,12789.44434,13000.04004,11903.42773,11525.29785,12683.65527,11746.49512,10520.2627,14036.21094,11616.04199,11011.22363,14521.16992,14155.43652,13213.74316,11726.62598,14246.08691,12879.7793,11388.36426,13269.29785,12002.60938,11609.63574,10970.84668,8661.044922,12332.13086,11429.07617
A8MYA2,30657.8125,6017.163086,33147.33203,37231.64844,35006.75391,45601.99609,34649.59375,36236.97656,10108.20996,34937.89844,31983.36914,34571.75391,50712.08594,47808.45703,39605.07031,36953.70703,47093.96484,45227.30859,42386.24609,37679.17578,32959.33594,38207.66016,39010.80859,35125.12109,35110.23828,40028.36328,38579.39844,35334.5,35212.78906,34059.07422,50487.44141
B2RUZ4,3373.228027,6053.03418,4739.665527,9360.708984,6288.663086,11624.98633,10402.69531,3018.338623,3365.916992,5420.435547,8240.648438,8406.987305,14254.69238,12349.66113,6422.459961,3966.00415,5888.686523,14264.01855,13775.05469,20598.01563,19058.00586,3379.239746,4635.253906,4327.819824,5730.413086,5617.37793,10697.89355,10316.84668,6527.120605,8249.523438,5687.884766
B9A064,733325.0625,737950,640689.625,664993.4375,731140.4375,693345.1875,746812.25,687341.5625,709551.75,635005,686181.0625,673883.875,678062.625,698298.375,485607.0625,477921.5938,460549.5938,480256.0313,498990.125,529176.25,529030.875,334196.25,325776.0625,344374.125,351009.9375,330693.0625,332704.6563,361559.7188,539846.1875,501123.4688,547942.5625
E9PAV3;Q13765,16336.52539,15827.5957,16637.00781,16776.13281,15126.35156,14538.57227,15026.60254,13225.84375,13700.09277,13616.10449,12751.05078,12875.23145,11981.53613,11187.52539,11041.73633,10570.25684,10638.57227,9882.438477,11714.62109,9687.132813,9175.470703,14149.68066,14095.25293,12966.82813,13945.92969,13725.76367,14246.57031,12618.8418,13411.19629,13334.65723,13961.14648
O00151,NA,NA,3943.456543,2834.832275,3413.800049,2269.435059,1738.60144,3626.949707,131.3488617,7264.452637,5783.222656,6653.941895,3745.379883,5163.444824,1403.311523,4894.616211,3562.836182,2940.364502,2854.083008,2779.465088,3120.803467,2240.523193,6413.760742,9249.823242,4810.351074,6539.568359,4529.555176,6658.477051,4341.397949,4098.319824,2687.625488
O00187,20105.16797,21508.2168,19550.58398,17879.57813,21599.07813,19843.7793,20451.57422,20005.59961,18478.82617,16691.19727,19663.28906,18713.5293,18341.16992,19613.99023,18247.15039,17019.12109,17025.89648,18579.17773,19226.93359,20293.25391,19937.78711,10007.76563,10871.85938,9587.254883,7097.208496,6913.309082,9290.614258,10807.72168,16879.61133,16365.94824,16275.93164
O00194,1316.883667,NA,4248.795898,4042.298828,3630.022217,2370.03125,2199.873779,3849.125,NA,6988.939941,5886.530762,5899.701172,3250.128662,4954.144043,NA,3957.373779,5010.288574,3585.238281,3110.387695,3281.888184,3390.104004,4372.674805,5765.165527,7616.036621,6019.589844,7516.978516,4109.009766,5403.67041,4057.86377,4303.10791,3810.974121
O00214,28573.46875,32225.76367,25230.17188,27290.625,26365.70703,25753.7168,27233.69141,35579.13281,42312.06641,36673.38672,38542.29688,36700.82031,37534.44531,33685.86719,22610.51953,22145.98438,21016.33008,25615.74023,23659.33008,23610.36328,22147.25391,33020.86328,31646.4043,30588.72852,31565.79883,30199.64648,33108.83984,27082.62109,29907.77148,29892.74023,28223.60938
O00231,27825.56836,29926.70313,27618.56641,26636.35352,25393.83789,24868.42578,24912.16016,21820.69727,22668.22461,21527.31445,19886.29297,21126.46875,20569.88672,20523.94531,25313.86133,25118.5,24998.82422,23728.87891,24544.44727,21264.32227,21439.10352,27648.62891,26323.55664,26984.32422,26608.97656,26759.5,25013.88867,24754.66016,25611.18164,24616.83594,24882.16406
O00232,13612.75879,16026.50391,12950.40039,12108.4707,10518.45605,9761.305664,11539.7207,10639.12793,11030.35352,11608.14355,10624.06445,9380.953125,7901.83252,7046.297852,14307.2998,14443.44043,12987.39355,11457.11816,9434.042969,9925.960938,10031.67578,13005.50098,12742.45215,13198.76855,12879.97363,12771.61328,13384.4541,10038.19824,11156.05273,12420.60645,11813.10547
O00233,128555.4219,124437.3594,141575.7656,130696.6172,131248.3438,144690.6406,129419.8125,104457.1719,94264.36719,101037.6563,101073.2422,103712.3594,99367.64063,103830.4219,107961.8906,114598.8672,112117.9609,116654.7422,111241.0469,106950.1484,104266.3984,112949.6016,119995.7578,114794.6797,112853.1172,112069.2266,120609.7188,121666.6172,113610.9531,113498.3516,110611.4453
O00299,81559.52344,84204.53125,88061.02344,82741.5625,84689.94531,76979.92969,85925.8125,91088.01563,105823.9453,102313.8203,99258.50781,96678.55469,90666.16406,93509.30469,95817.9375,100684.1094,99355.42969,94654.96094,97690.17969,93018.98438,67819.75,87066.83594,94680.8125,94690.94531,85923.44531,91988.78906,92154.55469,84892.33594,93243.76563,87832.33594,92074.36719
O00391,12577.94434,4438.270996,11968.1709,14389.75781,13796.26953,11788.96484,14952.43457,14620.32227,11543.38672,14874.51563,14760.41602,15328.25977,14795.56738,12810.35156,11922.29297,11569.22656,11421.33789,12384.86719,11735.18164,14622.36035,13752.48145,13773.89453,12565.10645,13675.93555,13902.90137,14808.3125,15375.38672,17085.51758,12853.41309,12638.56543,14166.03711
O00410,14936.89258,16364.06055,14717.55566,15356.58105,14549.85547,14233.84082,14363.60352,23686.03516,23118.60156,22662.32813,22811.15234,22075.64063,24030.50195,21680.44727,16619.68555,16159.79199,16399.90625,15969.42383,15760.16113,15342.10645,14712.81348,17981.19922,17308.45703,16893.74023,16913.16211,17554.50586,17297.30078,16054.18652,17976.94531,17430.68359,17094
O00429,1519.418823,1592.713013,NA,999.7487183,1588.687866,2056.361572,NA,2178.203125,4033.76416,2898.189697,3332.572021,4652.500977,2628.650635,2216.354736,NA,1057.505859,1764.041626,1239.690674,991.5112305,1226.215454,NA,4290.824219,5269.29834,5189.35791,5280.401367,5849.543457,4383.777832,4639.087891,2051.100342,2640.066162,3081.177734
